priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
1	84270	0x1492e	1	2	1	2	20	0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 -1	-15 -2 1 -3 4 7 12 -8 1 -4 0 1 5 -5 -7 8 -9	-1 35 -1 15 10 -4 -4 10 -3 -7 -9 -1 -7 3 -12 -14 -1	2 1 -1 1 0 -1 0 0 -1 -2 -2 1 2 0 -1 0 1
2	72842	0x11c8a	1	2	1	2	20	0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1	-10 -4 -2 -2 3 5 7 -4 0 -5 1 -2 3 -1 -3 5 -5	22 -61 -10 -38 -18 16 28 -22 -19 -2 15 -3 5 17 30 3 0	0 3 -2 -3 0 2 -2 -1 2 0 1 -1 -1 0 0 0 -1
3	89283	0x15cc3	1	2	1	2	20	0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 1	-9 -4 -2 -3 4 5 7 -3 0 -5 1 -3 3 -1 -3 5 -5	9 -58 -7 -23 -11 9 24 -21 -13 0 14 -7 11 11 19 4 1	1 3 -2 -2 0 2 -1 -1 2 0 1 -1 -1 0 1 0 -1
4	72673	0x11be1	1	2	1	2	20	0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 1	-10 -4 -3 -3 3 6 7 -4 0 -5 1 -2 4 -1 -4 5 -5	17 -41 -8 -26 -12 12 20 -14 -14 -3 11 -2 2 13 21 0 0	1 2 -2 -2 0 1 -1 -1 1 -1 0 -1 -1 0 0 0 -1
5	126170	0x1ecda	2	3	1	3	22	-1 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0	-6 -2 1 -2 2 2 6 -3 1 -3 0 -1 1 -1 -2 3 -4	7 -8 -2 -8 -5 5 8 -6 -6 0 3 -2 1 6 7 -2 0	2 3 -2 -1 1 0 -1 -1 0 -2 -1 1 0 1 -1 1 1
6	50407	0x0c4e7	2	3	1	3	20	-1 0 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 0	-6 -2 -2 0 3 3 8 -4 1 -5 -1 -1 1 -1 -2 3 -4	-3 24 0 15 7 -3 2 3 -4 -5 -7 -6 -1 3 -11 -13 0	1 -1 -1 2 0 -3 1 1 -2 -2 -3 2 2 0 -1 1 2
7	33733	0x083c5	2	3	1	3	22	-1 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0	-7 -2 -3 0 2 4 8 -5 1 -5 -1 0 2 -1 -3 3 -4	5 41 -1 12 6 0 -2 10 -5 -8 -10 -1 -10 5 -9 -17 -1	1 -2 -1 2 0 -4 1 1 -3 -3 -4 2 2 0 -2 1 2
8	50060	0x0c38c	2	3	1	3	19	-1 0 -1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	-6 -2 -3 -1 3 4 8 -4 1 -5 -1 -1 2 -1 -3 3 -4	-8 44 2 27 13 -7 -6 11 1 -6 -11 -5 -4 -1 -20 -16 0	2 -2 -1 3 0 -4 2 1 -3 -3 -4 2 2 0 -1 1 2
9	96561	0x17931	2	3	1	3	22	-1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0	-11 -2 -2 0 4 4 10 -6 1 -7 0 -1 3 -2 -3 6 -6	9 18 -4 0 1 3 5 3 -9 -7 -5 -1 -7 10 0 -14 -1	1 2 -2 0 1 -1 0 0 -1 -2 -2 1 1 1 -1 0 1
10	102754	0x19162	2	3	1	3	20	-1 0 0 -1 0 0 1 0 0 0 0 0 0 0 0 0 0	-11 -2 -2 -2 4 5 10 -6 2 -6 0 -1 4 -3 -4 6 -6	-11 9 0 19 11 -6 3 0 0 -2 0 -9 5 2 -13 -10 1	2 1 -2 0 0 -1 1 0 -1 -2 -2 0 1 0 0 1 1
