priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
1	17315	0x043a3	0	1	1	1	3	0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0	-14 -4 0 -3 3 7 10 -7 0 -4 1 0 4 -3 -6 7 -8	20 -28 -8 -28 -13 12 17 -11 -16 -4 5 1 -2 13 21 -1 -1	1 3 -2 -2 0 1 -2 -1 1 -1 0 0 0 0 -1 0 0
2	1002	0x003ea	0	1	1	1	5	0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0	-13 -4 0 -4 4 7 10 -6 0 -4 1 -1 4 -3 -6 7 -8	7 -25 -5 -13 -6 5 13 -10 -10 -2 4 -3 4 7 10 0 0	2 3 -2 -1 0 1 -1 -1 1 -1 0 0 0 0 0 0 0
3	88362	0x1592a	0	1	1	1	4	0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0	-13 -4 -2 -3 4 8 11 -6 0 -6 0 -1 5 -3 -6 7 -8	6 13 -4 0 1 1 3 3 -8 -7 -7 0 -5 5 -1 -9 -1	2 1 -2 1 0 -1 0 0 -1 -2 -2 1 1 0 -1 0 1
4	17608	0x044c8	0	1	1	1	4	0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0	-14 -4 -1 -4 3 8 10 -7 0 -4 1 0 5 -3 -7 7 -8	15 -8 -6 -16 -7 8 9 -3 -11 -5 1 2 -5 9 12 -4 -1	2 2 -2 -1 0 0 -1 -1 0 -2 -1 0 0 0 -1 0 0
5	34315	0x0860b	1	2	1	2	4	-1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1	-6 -3 -3 -1 3 3 6 -2 1 -6 0 -3 2 0 -1 3 -3	4 -33 -5 -8 -3 5 19 -14 -10 -2 10 -9 8 10 8 -4 1	1 1 -2 -1 0 0 0 0 0 -1 -1 0 0 0 0 1 0
6	89280	0x15cc0	1	2	1	2	5	0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 1	-6 -3 -2 -2 4 3 5 -1 0 -5 0 -3 3 -1 -1 4 -3	7 -53 -5 -20 -10 8 22 -20 -11 1 13 -7 11 10 17 4 1	0 2 -2 -2 0 2 -1 -1 2 0 1 -1 -1 0 1 0 -1
7	65902	0x1016e	1	2	1	2	4	0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1	-6 -3 -2 -1 3 3 5 -1 0 -5 0 -3 2 0 -1 3 -3	16 -40 -8 -22 -9 11 23 -15 -16 -5 11 -5 3 15 18 -4 0	0 1 -1 -1 0 1 -1 0 1 0 0 0 0 0 0 0 -1
8	105436	0x19bdc	1	2	1	2	4	0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1	-6 -3 -1 -2 2 3 4 -2 0 -3 1 -2 2 0 -2 3 -3	7 -54 -6 -18 -7 8 23 -19 -11 0 17 -8 10 11 16 2 1	2 2 -3 -3 -1 2 -1 -1 1 -1 0 -1 -1 0 0 1 -1
9	1539	0x00603	1	2	1	2	4	0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1	-9 -4 -4 -2 4 6 8 -3 0 -7 0 -3 4 -1 -3 5 -5	8 -20 -6 -10 -4 5 14 -8 -11 -5 3 -4 2 9 8 -5 0	1 1 -2 0 0 0 0 0 0 -1 -1 0 0 0 0 0 0
10	67966	0x1097e	1	2	1	2	3	0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 1	-7 -3 -4 0 2 4 5 -3 0 -5 1 -2 2 0 -2 3 -3	12 -31 -8 -16 -5 8 18 -10 -13 -6 9 -4 1 12 13 -5 0	0 1 -1 -1 -1 1 -1 0 1 0 0 -1 0 0 0 0 -1
11	89390	0x15d2e	1	2	1	2	4	0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 -1	-11 -2 1 -3 2 6 8 -6 0 -2 1 1 4 -4 -6 6 -7	2 12 -2 -1 0 -1 -3 4 -3 -3 -7 3 -4 0 -1 -2 -1	2 1 -1 1 0 -1 0 0 -1 -2 -1 1 1 0 -1 0 1
12	87249	0x154d1	1	2	1	2	5	0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 1	-6 -3 -2 -2 3 4 5 -2 0 -4 1 -2 3 -1 -2 4 -3	4 -44 -5 -14 -6 5 17 -15 -8 0 11 -6 9 7 12 3 1	1 2 -2 -2 -1 2 -1 -1 2 0 1 -2 -1 0 1 0 -1
13	125245	0x1e93d	1	2	1	2	3	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1	-6 -3 -2 -3 3 4 5 -1 1 -4 0 -3 3 -1 -2 3 -3	-4 -49 -4 -3 1 2 21 -18 -7 0 16 -13 15 7 5 0 2	1 0 -1 -1 -1 1 0 0 1 0 0 -1 0 -1 1 1 -1
14	130629	0x1fe45	2	3	1	3	3	-1 -1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0	-3 -1 0 1 1 0 4 -2 1 -3 0 -1 -1 0 0 1 -2	2 2 -2 2 2 1 6 -2 -5 -3 1 -4 0 5 -1 -7 0	1 2 -1 0 0 0 -1 0 0 -1 -1 1 1 1 -1 1 1
15	58279	0x0e3a7	2	3	1	3	4	-1 -1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0	-4 -1 1 0 0 0 3 -3 1 -1 1 0 -1 0 -1 1 -2	11 -19 -4 -14 -6 8 12 -8 -8 -1 9 -2 0 9 12 -2 0	1 3 -1 -2 0 1 -2 -1 1 -1 0 0 0 1 -1 1 0
16	97912	0x17e78	2	3	1	3	3	-1 -1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0	-7 -2 -2 0 2 3 7 -4 1 -5 0 -1 1 -1 -2 3 -4	12 15 -4 -6 -3 5 3 3 -8 -6 -5 2 -8 7 4 -9 -1	0 2 0 1 1 -1 -1 0 0 -1 -1 1 1 1 -1 0 1
17	124106	0x1e4ca	2	3	1	3	4	-1 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0	-7 -2 -1 -1 1 3 6 -5 1 -3 1 0 1 -1 -3 3 -4	3 1 -2 -2 -1 2 3 -1 -3 -1 1 -1 -1 3 2 -3 0	2 3 -2 -1 0 0 -1 -1 0 -2 -1 0 0 1 -1 1 1
18	58240	0x0e380	2	3	1	3	5	-1 -1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	-7 -2 1 -1 1 2 5 -3 1 -3 1 -1 1 -1 -2 3 -4	7 -22 -5 -11 -3 5 12 -8 -8 -2 8 -3 2 8 9 -2 0	2 4 -2 -2 0 2 -2 -1 1 -1 0 0 0 1 -1 1 0
19	121093	0x1d905	2	3	1	3	3	-1 0 -1 0 0 0 0 0 0 1 0 0 0 0 0 0 0	-7 -2 -1 -1 2 3 7 -5 1 -3 0 0 1 -1 -3 3 -4	6 3 -2 -1 -1 4 8 -3 -7 -3 1 -4 -1 7 2 -8 0	1 0 -1 0 0 -2 0 0 -1 -2 -2 1 1 0 -1 1 1
20	38415	0x0960f	2	3	1	3	5	-1 0 0 -1 0 0 0 0 0 1 0 0 0 0 0 0 0	-8 -1 0 -1 3 2 7 -4 2 -4 0 -1 2 -2 -2 4 -4	-3 -11 -2 7 6 0 12 -7 -5 -2 8 -10 6 8 -3 -9 1	1 1 -1 -1 0 0 0 0 0 -1 -1 0 1 0 0 1 0
