priority_rank	orbit_mask	orbit_hex	short_orbit_mask	coefficient_l1	support_count	maximum_absolute_coefficient	minimal_unoriented_count	section_basis_w	short_basis_w
1	9	0x00009	119	2	2	1	3	-1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0	-1 -1 -1 0 -1 -1 -1 0 0 0 0 0 0 0 0 0 0
2	33	0x00021	248	2	2	1	5	-1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0	0 0 0 -1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0
3	257	0x00101	11980	2	2	1	6	-1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0	-2 0 -1 1 0 0 -1 1 0 -1 1 1 0 -1 0 0 0
4	513	0x00201	11589	2	2	1	3	-1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0	-1 0 -1 2 0 0 -1 2 -1 -2 1 1 0 -1 0 0 0
5	18	0x00012	87	2	2	1	3	0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0	-1 -1 -1 0 -1 0 -1 0 0 0 0 0 0 0 0 0 0
6	34	0x00022	251	2	2	1	4	0 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0	1 -1 0 -1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0
7	66	0x00042	71	2	2	1	4	0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0	-1 1 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0
8	16388	0x04004	16259	2	2	1	5	0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0 0	-1 -1 -2 2 0 0 0 1 -1 -1 1 1 -1 -1 0 0 0
9	32776	0x08008	60933	2	2	1	2	0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 -1 0	3 2 3 -2 0 0 2 -2 0 1 -1 -1 0 1 1 -1 0
10	1032	0x00408	74252	2	2	1	3	0 0 0 -1 0 0 0 0 0 0 1 0 0 0 0 0 0	0 2 1 -1 0 0 0 0 0 -1 0 0 0 -1 0 0 -1
11	32784	0x08010	60966	2	2	1	3	0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -1 0	4 1 3 -2 0 -1 2 -2 0 1 -1 -1 0 1 1 -1 0
12	8208	0x02010	26248	2	2	1	5	0 0 0 0 -1 0 0 0 0 0 0 0 0 1 0 0 0	0 0 0 1 2 0 0 1 0 -1 1 0 0 -1 -1 0 0
13	32800	0x08020	61066	2	2	1	3	0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 -1 0	2 1 2 -1 0 0 2 -1 0 1 -1 -1 0 1 1 -1 0
14	65600	0x10040	43306	2	2	1	4	0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1	0 1 0 1 2 1 0 0 -1 0 0 -1 0 1 0 -1 0
15	2112	0x00840	14616	2	2	1	4	0 0 0 0 0 0 -1 0 0 0 0 1 0 0 0 0 0	0 0 0 3 1 0 0 2 -1 -2 2 1 -1 -1 0 0 0
16	576	0x00240	11521	2	2	1	4	0 0 0 0 0 0 -1 0 0 1 0 0 0 0 0 0 0	-1 0 0 2 0 0 0 2 -1 -2 1 1 0 -1 0 0 0
17	2176	0x00880	14677	2	2	1	5	0 0 0 0 0 0 0 -1 0 0 0 -1 0 0 0 0 0	-1 0 -1 2 1 0 -1 2 -1 -2 2 1 -1 -1 0 0 0
18	4352	0x01100	12237	2	2	1	6	0 0 0 0 0 0 0 0 -1 0 0 0 -1 0 0 0 0	-1 0 -1 1 0 0 -1 1 -1 -1 1 1 0 -1 0 0 0
19	33280	0x08200	49975	2	2	1	3	0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 1 0	1 1 1 0 -1 -1 0 0 -1 -1 0 0 0 0 1 -1 0
20	8704	0x02200	19353	2	2	1	4	0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0	1 0 0 -1 1 0 0 -1 1 1 0 -1 0 0 -1 0 0
21	33792	0x08400	117769	2	2	1	5	0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 1 0	3 2 2 -3 -2 -2 0 -2 0 0 -1 -1 0 0 1 -1 -1
22	17408	0x04400	73145	2	2	1	4	0 0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0	1 2 2 -3 -1 -1 0 -1 1 0 -1 -1 1 0 0 0 -1
