orbit_mask	orbit_hex	minimum_norm	good_primes	surviving_target_indices
2749	0x00abd	12	131	
38285	0x0958d	12	131	
38575	0x096af	12	131	
40520	0x09e48	12	131	
60468	0x0ec34	12	131	
71978	0x1192a	12	131	
79502	0x1368e	12	131	
81774	0x13f6e	12	131	
83637	0x146b5	12	131	
87075	0x15423	12	131	
89073	0x15bf1	12	131	
90310	0x160c6	12	131	
91180	0x1642c	12	131	
91227	0x1645b	12	131	
92030	0x1677e	12	131	
93001	0x16b49	12	131	
95501	0x1750d	12	131	
96112	0x17770	12	131	
96238	0x177ee	12	131	
96321	0x17841	12	131	
96546	0x17922	12	131	
99245	0x183ad	12	131	
105076	0x19a74	12	131	
105434	0x19bda	12	131	
105792	0x19d40	12	131	
106108	0x19e7c	12	131	
106195	0x19ed3	12	131	
106666	0x1a0aa	12	131	
108453	0x1a7a5	12	131	
109689	0x1ac79	12	131	
110188	0x1ae6c	12	131	
111794	0x1b4b2	12	131	
114300	0x1be7c	12	131	
115020	0x1c14c	12	131	
115574	0x1c376	12	131	
115848	0x1c488	12	131	
116204	0x1c5ec	12	131	
116350	0x1c67e	12	131	
119642	0x1d35a	12	131	
119773	0x1d3dd	12	131	
120256	0x1d5c0	12	131	
122219	0x1dd6b	12	131	
124048	0x1e490	12	131	
124508	0x1e65c	12	131	
124891	0x1e7db	12	131	
127120	0x1f090	12	131	
127434	0x1f1ca	12	131	
129911	0x1fb77	12	131	
130732	0x1feac	12	131	
