curve_id	parameter	family	family_frame_class	leave_one_family_out_group	snapshot_rank_lower_bound	rank_jump_lower_bound_over_generic_17	recognized_public_hit_count_in_family	historical_search_exposure	search_exposure_status	displayed_exceptional_quotient_dimension	quotient_audit_source	fixed_native_cover_inventory_size	fixed_native_rational_split_count	fixed_native_geometric_visibility_rank	fixed_native_visibility_span_primitive	norm8_fitted_genus_one_incidence_directions	norm8_incidence_status	local_prime_block_scores_units_1e12	local_total_nagao_score_units_1e12	local_good_prime_count	local_bad_reduction_prime_count	bad_prime_count	conductor_decimal_digits
11	89117310572254255983994722000/24270473687594386091043190316353	norm12-orbit-08234	published-R17	norm12-orbit-08234	28	11	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5967500468802,4572543227074,4401614479916	14941658175792	24	1	12	142
12	-517322777134156443281121957597/93938104767880054864772987570	norm12-orbit-11952	alternate-Q80	norm12-orbit-11952	29	12	2		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	12	new native exact audit	39147	0	0	True	12	exact fitted positive control	2607449715912,5415319001063,4844003035565	12866771752540	21	3	17	150
65	-66548432944210788697583478000/675319666218423388848915879973	norm12-orbit-08234	published-R17	norm12-orbit-08234	25	8	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6526009047494,5061412758236,4806155000217	16393576805947	24	1	11	100
66	-150572530690755814862306778000/7216651302669840081951218727763	norm12-orbit-08234	published-R17	norm12-orbit-08234	26	9	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5402038910356,4766824200878,4875695303169	15044558414403	24	1	12	108
67	177037742360733777935708282000/373546811505433901324413641533	norm12-orbit-08234	published-R17	norm12-orbit-08234	27	10	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4378833873350,5073407142009,5355570695468	14807811710827	23	2	13	125
351	-1328795128332249413091778368/9355667371956741789361767413	norm12-orbit-074d9	published-R17	norm12-orbit-074d9	25	8	5		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	8	prior exact 074d9/wgxli audit						not run in this audit	4649094629220,4934477356905,3319950013215	12903521999340	21	2	13	99
356	-970521251165766412987689802944/5201452365084059419448702694373	norm12-orbit-074d9	published-R17	norm12-orbit-074d9	29	12	5		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	12	prior exact 074d9/wgxli audit						not run in this audit	5759046079180,3714839231684,4780217524878	14254102835742	21	2	13	139
363	-1158455904970405917875280423497790960/7008997530131828358330671985973631951	norm12-orbit-08f72	alternate-Q80	norm12-orbit-08f72	27	10	3		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	10	new native exact audit	39147	3	2	True		not run in this audit	3504444323879,4212702589065,4683531708966	12400678621910	21	1	13	116
364	-4889478984105233975746550959971939120/31980538646115718907687342513498498947	norm12-orbit-08f72	alternate-Q80	norm12-orbit-08f72	28	11	3		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	11	new native exact audit	39147	2	1	True		not run in this audit	4665832674516,4683501217604,3962341609539	13311675501659	22	0	13	134
376	-2885452538662711051989717312/13394519325797029034300898515	norm12-orbit-074d9	published-R17	norm12-orbit-074d9	22	5	5		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	5	prior exact 074d9/wgxli audit						not run in this audit	6531346899085,4316703186458,4054776215689	14902826301232	23	0	11	75
377	-24894098859432097011003667776/89496335058901143374489629459	norm12-orbit-074d9	published-R17	norm12-orbit-074d9	23	6	5		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	6	prior exact 074d9/wgxli audit						not run in this audit	5209481288977,4228572695635,3441726704485	12879780689097	22	1	14	84
378	-566882880896877014074302259297950480/3961009332576056965142591776688723713	norm12-orbit-08f72	alternate-Q80	norm12-orbit-08f72	24	7	3		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	7	new native exact audit	39147	13	6	True		not run in this audit	3280874463999,4773684767012,3945956528106	12000515759117	20	2	13	94
385	-4569968803191492789881348058432/20219201289082406615406548938643	norm12-orbit-074d9	published-R17	norm12-orbit-074d9	29	12	5		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	12	prior exact 074d9/wgxli audit						not run in this audit	4080479725974,1630510905511,4704346081927	10415336713412	18	5	16	151
389	-2894205664468994496955959240/13458275699231869785327455027	norm12-orbit-07ca9	published-R17	norm12-orbit-07ca9	24	7	3		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4107316919582,4984148888550,4188493105118	13279958913250	22	2	12	92
390	-15016892529059225953186513980120/107318212874126569523668597319401	norm12-orbit-07ca9	published-R17	norm12-orbit-07ca9	26	9	3		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	3236059304545,4353399876841,4708756103673	12298215285059	20	4	14	108
391	-45893899045288706850898992590520/317459242949710578550437826245181	norm12-orbit-07ca9	published-R17	norm12-orbit-07ca9	28	11	3		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	2357601915179,4311777885849,4272611816468	10941991617496	19	5	20	131
