RATIONAL_NAGAO_LOCAL_TABLE_V1
F CURVE302_DET1092_MW17 8 12
B D 8
P 149
1 -20 671670645093
1 0 0
1 -6 201501193528
1 -18 604503580584
1 -21 705254177348
1 -4 134334129019
1 -22 738837709603
1 -7 235084725783
1 -21 705254177348
1 -6 201501193528
1 -22 738837709603
1 0 0
1 1 -33583532255
1 -18 604503580584
1 -10 335835322547
1 -12 403002387056
1 -1 33583532255
1 -15 503752983820
1 -10 335835322547
1 -15 503752983820
1 -21 705254177348
1 -10 335835322547
1 -15 503752983820
1 -14 470169451565
1 -22 738837709603
1 -16 537336516075
1 -4 134334129019
1 -10 335835322547
1 -17 570920048329
1 -4 134334129019
1 -15 503752983820
1 -15 503752983820
1 -18 604503580584
1 0 0
1 -22 738837709603
1 -20 671670645093
1 -19 638087112839
1 -6 201501193528
1 -18 604503580584
1 -20 671670645093
1 -15 503752983820
1 -15 503752983820
1 -18 604503580584
1 -15 503752983820
1 -18 604503580584
1 -24 806004774112
1 -21 705254177348
1 -20 671670645093
1 -6 201501193528
1 -9 302251790292
1 -6 201501193528
1 -17 570920048329
1 -9 302251790292
1 12 -403002387056
1 -20 671670645093
1 -18 604503580584
1 -22 738837709603
1 -1 33583532255
1 -15 503752983820
1 -22 738837709603
1 -21 705254177348
1 -24 806004774112
1 -15 503752983820
1 -24 806004774112
1 -24 806004774112
1 -11 369418854801
1 -12 403002387056
1 -11 369418854801
1 -18 604503580584
1 -10 335835322547
1 -10 335835322547
1 -12 403002387056
1 -19 638087112839
1 -21 705254177348
1 -3 100750596764
1 -22 738837709603
1 -20 671670645093
1 -16 537336516075
1 -21 705254177348
1 -19 638087112839
1 -22 738837709603
1 -22 738837709603
1 -11 369418854801
1 -21 705254177348
1 -1 33583532255
1 -18 604503580584
1 -18 604503580584
1 -15 503752983820
1 -15 503752983820
1 -14 470169451565
1 1 -33583532255
1 -18 604503580584
1 -20 671670645093
1 -14 470169451565
1 -6 201501193528
1 -13 436585919311
1 -19 638087112839
1 -5 167917661273
1 -24 806004774112
1 -16 537336516075
1 -14 470169451565
1 -14 470169451565
1 -4 134334129019
1 -24 806004774112
1 -18 604503580584
1 -15 503752983820
1 -6 201501193528
1 -3 100750596764
1 -21 705254177348
1 -19 638087112839
1 -18 604503580584
1 -5 167917661273
1 -21 705254177348
1 -20 671670645093
1 -8 268668258037
1 -10 335835322547
1 -15 503752983820
1 -18 604503580584
1 -6 201501193528
1 -21 705254177348
1 -5 167917661273
1 -21 705254177348
1 -6 201501193528
