id,rank_lower_bound,family,parameter,a1,a2,a3,a4,a6,source_certificate,source_curve_index
new-20260905-01,25,07ca9,505/794,0,0,0,-16952902416795925705656229789436206106193248427/16,458406201216759011051366051323983779066110951921647401417011905917715/32,compact_atlas_new_curves_v1.json,2
new-20260905-02,25,a1-fibration-04,-1647/91,0,0,0,-688476773111137102191821490424049994483325/3,1165101516390718509105968564565796805019364325383105630925333750/27,prospective_mw16_wide_results_v1.json,8
new-20260905-03,25,a1-fibration-05,307/206,0,0,0,-535750969840829740897764793770405974603361676/3,24589206923553926770353853410094380931395147018679997419164380037680/27,prospective_mw16_results_v1.json,19
new-20260905-04,24,08f72,-704/93,0,0,0,-1953339915976630708387448400388367898527758561/48,85898541079387608928609518805639183682509209880715629005472449881809/864,compact_atlas_new_curves_v1.json,4
new-20260905-05,24,a1-fibration-01,787/103,0,0,0,-1325752240777218002145920208483633420289887,582082004562542708354066813556759282533765959310932974042795234,prospective_mw16_results_v1.json,0
new-20260905-06,24,a1-fibration-05,-227/647,0,0,0,-20483662428231541101883631759362676774512081/48,85563746365229895007456893270709906512724000602494250775028618521/864,prospective_mw16_results_v1.json,14
new-20260905-07,24,a1-fibration-05,509/149,0,0,0,-189461402500518538661377655666681632349036401/48,4522075074255977644251158185388404838157426025220205234051095616649/864,prospective_mw16_results_v1.json,9
new-20260905-08,24,published-R17,-2300/843,0,0,0,-129476809791893687611484370859574682138615020208481/48,1482601351276189465313463501930713510264485060214422487764403004257602527121/864,compact_r17_top64_interim_curves_v1.json,3
new-20260905-09,24,published-R17,-695/97,0,0,0,-5600579676870189262277477545579208601200802267/16,79027524100372328276926578662446553518845833305825784880367954405563/32,compact_r17_wide_new_curves_v1.json,0
new-20260905-10,24,published-R17,33/119,0,0,0,-477204369863469308566383545974820491269987841/48,10378350561224395649301754182052232328693167617063174381946619333889/864,compact_r17_new_curves_v1.json,0
new-20260905-11,23,074d9,-839/505,0,0,0,-3603979099978846000090599223189693362232587/16,1316591910223950958850083762432225465847246061137182940935080355/32,compact_atlas_new_curves_v1.json,1
new-20260905-12,23,08234,-506/9,0,0,0,-12833430397115245567535999636808258021841/48,1448544095739318404851992679926671628284551767516732980718361/864,compact_atlas_new_curves_v1.json,3
new-20260905-13,23,a1-fibration-03,478/49,0,0,0,-9365440140759679263413339554959083997132324667/16,169532515579839126656468437394346455473827871009086952508357823187787/32,prospective_mw16_results_v1.json,12
new-20260905-14,23,published-R17,-1193/1560,0,0,0,-16219753093595809164370478373815299522480381441/48,2951077485775304393649684188289803527062070864616055425999338578849025/864,compact_r17_top64_interim_curves_v1.json,4
new-20260905-15,23,published-R17,-1264/1047,0,0,0,-1158133671999484469512615550756611642886986727061025/48,38544058596892105393823026793493517225541892489780223247743057383222124354225/864,compact_r17_top64_interim_curves_v1.json,0
new-20260905-16,23,published-R17,-3895/3749,0,0,0,-91089626293067350129182301186169574118448051032123627/16,5780183486198878830051653742725682997097778732052560123647416085360962105165427/32,compact_r17_top64_interim_curves_v1.json,2
new-20260905-17,23,published-R17,1229/894,0,0,0,-4628425882016938582956527806498187429823717939587461/3,633935651322233922460884716893853138425463114192298596892572191182286682645918/27,compact_r17_top64_interim_curves_v1.json,5
new-20260905-18,23,published-R17,129/70,0,0,0,-15229459543886340392114817364913356487469061/3,119942205116132817810254767878051191013359469557648763530472057950/27,compact_r17_top64_interim_curves_v1.json,6
new-20260905-19,23,published-R17,2291/2392,0,0,0,-177286742421717153318325800573984951892866885947425/48,2363454597295071863144900811923280325871190116141684434101426688538622063025/864,compact_r17_top64_interim_curves_v1.json,1
new-20260905-20,23,published-R17,44/35,0,0,0,-107880021125197706266250281286830174966347/16,6855976266047524636833613209157794193335816045689039581663875/32,compact_r17_new_curves_v1.json,2
new-20260905-21,22,074d9,148/225,0,0,0,-134089692702519460889394962958882676366073881/48,1561075627934816315488601774219771919731997583008907094131909600765/864,compact_atlas_new_curves_v1.json,0
new-20260905-22,22,11952,744/5,0,0,0,-4063384567920618053835077317387821685695636001/48,259527928889484101754535919006527466781680517100299833243937677827249/864,compact_atlas_new_curves_v1.json,5
new-20260905-23,22,a1-fibration-01,32/253,0,0,0,-207139956293720446723965605606753733949567201/48,3008944074875862942827189642804920106132920316285073995001628490449/864,prospective_mw16_results_v1.json,5
new-20260905-24,22,a1-fibration-01,699/19,0,0,0,-2616694124708660172877303624198138870930021/3,8409339386415740466252941975875560165385478877807700452100503230/27,prospective_mw16_results_v1.json,10
new-20260905-25,22,a1-fibration-04,-20/23,0,0,0,-15934888314775240038746295987121630081/48,82383047242202763540001568211149272618564872920847505729/864,prospective_mw16_results_v1.json,18
new-20260905-26,22,a1-fibration-04,-209/118,0,0,0,-11605134730400506787766524645782712923692,470807652387768006769757541751394657493035578041770983201524,prospective_mw16_results_v1.json,13
new-20260905-27,22,a1-fibration-04,-338/47,0,0,0,-1991619473792148862052840336765938122707281/48,2751339315220982402282073491037598863018830955042260390861023321/864,prospective_mw16_results_v1.json,8
new-20260905-28,22,published-R17,-3/148,0,0,0,-55402466126720854720529875017318832927467241/48,415607032911357131298082239140371703113671438862330072073483753461/864,compact_r17_new_curves_v1.json,1
