observation_id,phase,family,parameter,parameter_height,generic_subgroup_rank_exact,witness_subgroup_rank_exact,witness_quotient_rank_exact,full_curve_rank,cubic_Galois_group,height_limit,completed_initial_boxes,completed_adaptive_boxes
compact192_r17_results_v1.json:074d9-001,initial,074d9,-670/1129,1129,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-002,initial,074d9,-2336/731,2336,17,25,8,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-003,initial,074d9,-807/115,807,17,23,6,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-004,initial,074d9,1133/1165,1165,17,21,4,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-005,initial,074d9,-1773/136,1773,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-006,initial,074d9,1224/931,1224,17,22,5,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-007,initial,074d9,-297/335,335,17,22,5,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-008,initial,074d9,1019/3300,3300,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-009,initial,074d9,-578/3795,3795,17,19,2,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-010,initial,074d9,1811/3542,3542,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-011,initial,074d9,-2021/2823,2823,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-012,initial,074d9,-661/900,900,17,23,6,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-013,initial,074d9,-2789/1357,2789,17,22,5,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-014,initial,074d9,32/3951,3951,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-015,initial,074d9,-1173/3370,3370,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-016,initial,074d9,-1028/2399,2399,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-017,initial,074d9,905/3564,3564,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-018,initial,074d9,2824/885,2824,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-019,initial,074d9,-1223/3329,3329,17,21,4,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-020,initial,074d9,-661/194,661,17,21,4,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-021,initial,074d9,26/57,57,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-022,initial,074d9,-2324/2523,2523,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-023,initial,074d9,-3292/1837,3292,17,19,2,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-024,initial,074d9,173/429,429,17,21,4,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-025,initial,074d9,121/695,695,17,20,3,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-026,initial,074d9,4075/4018,4075,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-027,initial,074d9,-676/921,921,17,23,6,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-028,initial,074d9,1381/558,1381,17,22,5,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-029,initial,074d9,3013/980,3013,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-030,initial,074d9,-1449/1094,1449,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-031,initial,074d9,38/353,353,17,23,6,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:074d9-032,initial,074d9,-935/2279,2279,17,21,4,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-001,initial,07ca9,760/211,760,17,26,9,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-002,initial,07ca9,561/26,561,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-003,initial,07ca9,422/879,879,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-004,initial,07ca9,117/238,238,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-005,initial,07ca9,869/2730,2730,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-006,initial,07ca9,-575/1207,1207,17,26,9,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-007,initial,07ca9,-1193/99,1193,17,25,8,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-008,initial,07ca9,965/1196,1196,17,23,6,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-009,initial,07ca9,-3693/1163,3693,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-010,initial,07ca9,3160/287,3160,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-011,initial,07ca9,3307/1128,3307,17,26,9,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-012,initial,07ca9,-1620/3023,3023,17,19,2,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-013,initial,07ca9,2393/1860,2393,17,25,8,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-014,initial,07ca9,3775/2497,3775,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-015,initial,07ca9,-1742/4013,4013,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-016,initial,07ca9,3065/48,3065,17,20,3,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-017,initial,07ca9,3435/3841,3841,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-018,initial,07ca9,-2402/1309,2402,17,23,6,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-019,initial,07ca9,1053/2968,2968,17,23,6,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-020,initial,07ca9,3076/2339,3076,17,22,5,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-021,initial,07ca9,2935/1939,2935,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-022,initial,07ca9,197/116,197,17,23,6,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-023,initial,07ca9,3/377,377,17,25,8,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-024,initial,07ca9,1443/986,1443,17,22,5,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-025,initial,07ca9,167/887,887,17,22,5,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-026,initial,07ca9,-1982/1505,1982,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-027,initial,07ca9,-455/2801,2801,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-028,initial,07ca9,-1539/1700,1700,17,19,2,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-029,initial,07ca9,956/2219,2219,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-030,initial,07ca9,3172/245,3172,17,20,3,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-031,initial,07ca9,79/964,964,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:07ca9-032,initial,07ca9,1572/785,1572,17,22,5,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-001,initial,08234,-1383/595,1383,17,20,3,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-002,initial,08234,-20/2827,2827,17,19,2,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-003,initial,08234,326/5,326,17,24,7,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-004,initial,08234,3305/3579,3579,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-005,initial,08234,-1007/2292,2292,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-006,initial,08234,-2641/3542,3542,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-007,initial,08234,-2243/880,2243,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-008,initial,08234,509/3808,3808,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-009,initial,08234,774/149,774,17,25,8,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-010,initial,08234,464/3753,3753,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-011,initial,08234,-1247/4079,4079,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-012,initial,08234,-1258/1679,1679,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-013,initial,08234,-1569/1505,1569,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-014,initial,08234,1807/245,1807,17,19,2,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-015,initial,08234,-3301/1950,3301,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-016,initial,08234,2683/3919,3919,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-017,initial,08234,-4068/1435,4068,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-018,initial,08234,-1501/1623,1623,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-019,initial,08234,-208/1817,1817,17,20,3,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-020,initial,08234,-2185/106,2185,17,22,5,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-021,initial,08234,-3815/1356,3815,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-022,initial,08234,-274/2833,2833,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-023,initial,08234,3545/2676,3545,17,18,1,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-024,initial,08234,541/3360,3360,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-025,initial,08234,435/2477,2477,17,17,0,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-026,initial,08234,-11/235,235,17,23,6,UNKNOWN,S3,125000,43,0
compact192_r17_results_v1.json:08234-027,initial,08234,2627/65,2627,17,22,5,UNKNOWN,S3,125000,43,0
