parameter,generic_subgroup_rank,best_retained_quotient_rank,full_curve_rank,compatible_cover_count,eligible_degree_one_pairs,rational_degree_one_components_at_parameter_mod_conjugation,pair_relation_rank,native_quotient_upper_bound,co_split_triples,zero_residual_triples,triple_total_intersection_degree_lower_bound
-102202/53157,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-10358/5863,17,2,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-10481/8914,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-10485/8323,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-10565/5352,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-1121/9525,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-113593/59592,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-11412/11111,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-1193/1560,17,6,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-12009/6278,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-124285/64402,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-1264/1047,17,6,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-1291/11334,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-1318/2675,17,3,UNKNOWN,2,1,0,0,2,0,0,NOT_APPLICABLE
-14057/6370,17,2,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-14287/5405,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-14466/15721,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-14809/1336,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-14817/4960,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-15109/7728,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-1513/3735,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-15266/10685,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-15472/8615,17,2,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-1561/3133,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-15937/10028,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-1599/3584,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-16246/13195,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-168541/87360,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-174459/92092,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-182255/93054,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-1853/270,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-190909/99008,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-1929/3242,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-198633/101894,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-2/377,17,8,UNKNOWN,6,6,0,0,6,20,0,6
-202703/106054,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-2221/1361,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-2300/843,17,7,UNKNOWN,3,2,0,0,3,1,0,6
-2416/9,17,4,UNKNOWN,2,1,0,0,2,0,0,NOT_APPLICABLE
-278/2615,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-28367/15470,17,3,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-288/65,17,7,UNKNOWN,4,0,0,0,4,4,0,6
-3/148,17,5,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-308/251,17,9,UNKNOWN,3,0,0,0,3,1,0,6
-3086/3229,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-3106/4753,17,0,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-3115/2756,17,5,UNKNOWN,3,0,0,0,3,1,0,6
-3162/2135,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-3359/9754,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-3381/3083,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-33841/18655,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-339/7,17,3,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-3459/2327,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-3712/10017,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-373/12028,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-3871/1618,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
