observation_id,family,parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,realizable_defect_span_exact,collision_support_size,rational_relation_component_count,split_triple_count,split_triples_with_some_fourth,triple_fourth_incidences,split_quartet_count,simultaneous_carrier_genus,simultaneous_carrier_degree
rank_jump_retrospective_report_v1.json:07ca9:505/794,07ca9,505/794,17,25,8,UNKNOWN,compact-six-r17-h1024-v2,historic_or_prior,43,96050291406849,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:a1-fibration-04:-1647/91,a1-fibration-04,-1647/91,16,25,9,UNKNOWN,prospective-mw16-h4096-v1,historic_or_prior,43,96691200635775,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:307/206,a1-fibration-05,307/206,16,25,9,UNKNOWN,prospective-mw16-h1024-v1,historic_or_prior,43,93223654229337,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:08f72:-704/93,08f72,-704/93,17,24,7,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:a1-fibration-01:787/103,a1-fibration-01,787/103,16,24,8,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:-109/521,a1-fibration-05,-109/521,16,24,8,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:-227/647,a1-fibration-05,-227/647,16,24,8,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:509/149,a1-fibration-05,509/149,16,24,8,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:published-R17:-2300/843,published-R17,-2300/843,17,24,7,UNKNOWN,compact-r17-top64-v1,historic_or_prior,43,94547784214082,COMPLETE_NATIVE_ATLAS,39120,3,2,18,UNKNOWN_NO_COMMON_RELATION_DICTIONARY,1,0,0,0,5,8
rank_jump_retrospective_report_v1.json:published-R17:-695/97,published-R17,-695/97,17,24,7,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
rank_jump_retrospective_report_v1.json:published-R17:33/119,published-R17,33/119,17,24,7,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,7,6,80,UNKNOWN_NO_COMMON_RELATION_DICTIONARY,35,35,140,35,321,128
rank_jump_retrospective_report_v1.json:074d9:-839/505,074d9,-839/505,17,23,6,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:08234:-506/9,08234,-506/9,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,11,10,179,UNKNOWN_NO_COMMON_RELATION_DICTIONARY,165,165,1320,330,9217,2048
rank_jump_retrospective_report_v1.json:a1-fibration-03:478/49,a1-fibration-03,478/49,16,23,7,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:643/7,a1-fibration-05,643/7,16,23,7,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,,,
rank_jump_retrospective_report_v1.json:published-R17:-1193/1560,published-R17,-1193/1560,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
rank_jump_retrospective_report_v1.json:published-R17:-1264/1047,published-R17,-1264/1047,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
rank_jump_retrospective_report_v1.json:published-R17:-3895/3749,published-R17,-3895/3749,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
rank_jump_retrospective_report_v1.json:published-R17:1229/894,published-R17,1229/894,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,2,1,5,UNKNOWN_NO_COMMON_RELATION_DICTIONARY,0,0,0,0,1,4
rank_jump_retrospective_report_v1.json:published-R17:129/70,published-R17,129/70,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
rank_jump_retrospective_report_v1.json:published-R17:2291/2392,published-R17,2291/2392,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
