rank	shell_id	eligible_id	ade	root_rank	mw_rank	root_count	root_det	d_f	d_o	mw_height	short_norm	section_p_o	fiber_twist	vertical_integral	support_fibres	support_components	vertical_l1	vertical_max	reflection_count	nearest_section_lifts	section_root_shift	section_nonzero_pairings	root_coefficients	reduced	v
1	520	517	A3+A2	5	12	18	12	2	0	7/2	4	0	2	1	2	6	6	1	11	2	1,1,0,1,1,1,1	R3:1;Theta0_2:1;Theta0_3:1	-1,-1,0,-1,-1,-1,-1	2,2,-603,-6486,34188,32124,-9225,-9293,636,7,-10538,12231,10552,-8151,-26955,14512,-20068,10070,18344	617,6644,-35025,-32914,9451,9520,-653,-9,10795,-12532,-10811,8351,27614,-14867,20559,-10317,-18794
2	526	523	A3+A2	5	12	18	12	2	0	7/2	4	0	2	1	2	6	6	1	11	2	1,1,0,1,1,1,1	R3:1;Theta0_2:1;Theta0_3:1	-1,-1,0,-1,-1,-1,-1	2,2,-802,-8634,45513,42768,-12280,-12372,847,12,-14027,16284,14048,-10851,-35882,19318,-26715,13406,24421	418,4496,-23700,-22270,6396,6441,-442,-4,7306,-8479,-7315,5651,18687,-10061,13912,-6981,-12717
3	558	555	A4+A1	5	12	22	10	2	0	109/30	6	1	1	1	1	2	2	1	10	60	0,0,0,1,0,1,0	O:1;R1:1;R3:1;R7:1	0,0,0,-1,0,-1,0	2,2,-701,-7551,39807,37407,-10740,-10821,742,11,-12268,14243,12287,-9491,-31383,16896,-23365,11726,21360	419,4494,-23687,-22258,6393,6438,-441,-4,7302,-8474,-7311,5648,18677,-10056,13905,-6977,-12710
4	648	645	A4+A1	5	12	22	10	2	0	109/30	6	1	1	1	1	2	2	1	10	60	0,0,0,1,0,1,0	O:1;R2:1;R3:1;R7:1	0,0,0,-1,0,-1,0	2,2,-643,-6929,36529,34324,-9858,-9929,681,8,-11258,13068,11273,-8710,-28798,15505,-21443,10760,19600	477,5116,-26965,-25341,7275,7330,-502,-7,8312,-9649,-8325,6429,21262,-11447,15827,-7943,-14470
5	1938	1935	A3+A2	5	12	18	12	2	0	47/10	6	1	1	1	1	2	2	1	8	10	1,1,0,0,0,0,0	O:1;R3:1;R5:1;Theta0_2:1	-1,-1,0,0,0,0,0	2,2,-891,-9589,50552,47502,-13640,-13741,941,13,-15580,18086,15603,-12052,-39854,21456,-29673,14890,27124	-94,-1003,5298,4977,-1431,-1440,100,1,-1632,1893,1634,-1264,-4175,2248,-3111,1561,2842
6	2004	2001	A3+A2	5	12	18	12	2	0	47/10	6	1	1	1	1	2	2	1	8	10	1,1,0,0,0,0,0	O:1;R3:1;R4:1;Theta0_2:1	-1,-1,0,0,0,0,0	2,2,-309,-3353,17667,16601,-4765,-4803,327,6,-5444,6323,5453,-4210,-13927,7497,-10369,5203,9479	488,5233,-27587,-25924,7444,7498,-514,-6,8504,-9870,-8516,6578,21752,-11711,16193,-8126,-14803
7	857	854	A3+A1+A1	5	12	16	16	2	0	121/30	6	1	1	1	1	3	3	1	11	30	0,0,0,1,0,1,1	O:1;R2:1;R3:1;R5:1	0,0,0,-1,0,-1,-1	2,2,-523,-5623,29642,27855,-7999,-8058,553,7,-9136,10605,9149,-7068,-23370,12583,-17400,8732,15906	597,6422,-33852,-31810,9134,9201,-630,-8,10434,-12112,-10449,8071,26690,-14369,19870,-9971,-18164
8	2317	2314	A2+A2+A1	5	12	14	18	2	0	29/6	6	1	1	1	1	4	4	1	10	6	0,0,0,1,1,1,1	O:1;R1:1;R3:1;Theta0_3:1	0,0,0,-1,-1,-1,-1	2,2,-544,-5867,30917,29052,-8339,-8405,573,10,-9528,11064,9544,-7369,-24374,13121,-18145,9106,16589	490,5256,-27719,-26047,7484,7533,-520,-3,8545,-9914,-8554,6612,21856,-11769,16274,-8166,-14874
9	2319	2316	A2+A2+A1	5	12	14	18	2	0	29/6	6	1	1	1	1	4	4	1	10	6	0,0,0,1,1,1,1	O:1;R1:1;R3:1;Theta0_3:1	0,0,0,-1,-1,-1,-1	2,2,-373,-4029,21233,19952,-5727,-5773,394,7,-6543,7598,6554,-5061,-16739,9011,-12462,6254,11393	661,7094,-37403,-35147,10096,10165,-699,-6,11530,-13380,-11544,8920,29491,-15879,21957,-11018,-20070
10	3220	3217	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R7:1	0,0,0,0,0,0,0	2,2,-74,-789,4155,3905,-1120,-1129,76,2,-1281,1488,1284,-989,-3277,1763,-2438,1223,2229	623,6712,-35380,-33247,9546,9618,-659,-9,10904,-12659,-10920,8436,27893,-15018,20767,-10422,-18985
11	3221	3218	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R7:1	0,0,0,0,0,0,0	2,2,-341,-3659,19284,18119,-5202,-5241,357,5,-5944,6900,5953,-4596,-15204,8184,-11318,5679,10346	356,3842,-20251,-19033,5464,5506,-378,-6,6241,-7247,-6251,4829,15966,-8597,11887,-5966,-10868
12	3222	3219	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R2:1;R3:1;R6:1	0,0,0,0,0,0,0	2,2,-217,-2351,12386,11639,-3340,-3368,229,5,-3816,4433,3823,-2952,-9763,5256,-7269,3648,6646	480,5150,-27149,-25513,7326,7379,-506,-6,8369,-9714,-8381,6473,21407,-11525,15936,-7997,-14568
13	3224	3221	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R7:1	0,0,0,0,0,0,0	2,2,-2,-22,108,103,-27,-30,0,2,-33,41,35,-24,-86,45,-62,31,58	695,7479,-39427,-37049,10639,10717,-735,-9,12152,-14106,-12169,9401,31084,-16736,23143,-11614,-21156
14	3227	3224	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R7:1	0,0,0,0,0,0,0	2,2,-170,-1821,9600,9019,-2590,-2609,178,2,-2959,3434,2963,-2288,-7569,4074,-5635,2827,5150	527,5680,-29935,-28133,8076,8138,-557,-9,9226,-10713,-9241,7137,23601,-12707,17570,-8818,-16064
15	3234	3231	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R2:1;R3:1;R6:1	0,0,0,0,0,0,0	2,2,-723,-7789,41068,38593,-11082,-11164,767,11,-12656,14693,12675,-9793,-32376,17432,-24107,12098,22037	-26,-288,1533,1441,-416,-417,32,0,-471,546,471,-368,-1206,651,-902,453,823
16	3240	3237	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R2:1;R3:1;R7:1	0,0,0,0,0,0,0	2,2,-383,-4136,21795,20484,-5879,-5926,405,8,-6716,7801,6728,-5196,-17182,9251,-12792,6420,11696	314,3365,-17740,-16668,4787,4821,-330,-3,5469,-6346,-5476,4229,13988,-7530,10413,-5225,-9518
17	3245	3242	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R7:1	0,0,0,0,0,0,0	2,2,-369,-3969,20925,19663,-5645,-5688,389,7,-6448,7487,6459,-4988,-16496,8880,-12282,6163,11227	328,3532,-18610,-17489,5021,5059,-346,-4,5737,-6660,-5745,4437,14674,-7901,10923,-5482,-9987
18	3262	3259	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R7:1	0,0,0,0,0,0,0	2,2,-422,-4522,23834,22393,-6433,-6476,442,3,-7348,8526,7356,-5682,-18793,10117,-13991,7019,12787	275,2979,-15701,-14759,4233,4271,-293,-8,4837,-5621,-4848,3743,12377,-6664,9214,-4626,-8427
19	3279	3276	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R6:1	0,0,0,0,0,0,0	2,2,-233,-2509,13219,12422,-3567,-3592,245,2,-4076,4731,4081,-3151,-10425,5612,-7759,3893,7093	464,4992,-26316,-24730,7099,7155,-490,-9,8109,-9416,-8123,6274,20745,-11169,15446,-7752,-14121
20	3282	3279	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R6:1	0,0,0,0,0,0,0	2,2,-500,-5379,28348,26636,-7649,-7704,526,5,-8739,10143,8750,-6758,-22352,12033,-16639,8349,15210	197,2122,-11187,-10516,3017,3043,-209,-6,3446,-4004,-3454,2667,8818,-4748,6566,-3296,-6004
21	3285	3282	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R7:1	0,0,0,0,0,0,0	2,2,-61,-655,3438,3229,-927,-933,61,-1,-1062,1232,1062,-818,-2714,1460,-2017,1011,1844	636,6846,-36097,-33923,9739,9814,-674,-12,11123,-12915,-11142,8607,28456,-15321,21188,-10634,-19370
22	3286	3283	A2+A1+A1+A1	5	12	12	24	2	0	169/30	8	2	0	1	0	0	0	0	9	60	0,0,0,0,0,0,0	O:2;R1:1;R3:1;R6:1	0,0,0,0,0,0,0	2,2,-94,-1018,5354,5028,-1443,-1454,96,1,-1651,1917,1653,-1274,-4222,2271,-3141,1575,2871	603,6483,-34181,-32124,9223,9293,-639,-10,10534,-12230,-10551,8151,26948,-14510,20064,-10070,-18343
