# Coordinates in mw2_e6_d4_a2a2_a1_explicit_basis.txt.
# Here mate is the isotropic U-mate and zero=mate-fiber.
stage	class	coordinates
a5_d4_2a2_a1_mw3	fiber	42,3,8,10,1,13,7,6,1,2,0,3,0,0,1,2,2,3,-4
a5_d4_2a2_a1_mw3	mate	42,3,8,10,2,13,7,6,1,2,0,3,0,0,1,2,2,3,-4
a5_d4_2a2_a1_mw3	zero	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q25_mw4	fiber	811,55,159,200,25,262,141,123,19,40,3,58,-1,2,21,39,39,61,-77
q25_mw4	mate	811,55,159,200,25,262,141,123,19,40,3,58,-1,2,22,40,39,61,-77
q25_mw4	zero	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
q25_mw7	fiber	15375,1045,3010,3786,472,4961,2669,2328,358,758,55,1100,-20,40,400,739,735,1153,-1459
q25_mw7	mate	15373,1045,3010,3786,472,4961,2669,2328,358,758,55,1100,-21,39,400,739,735,1153,-1459
q25_mw7	zero	-2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
rank17	fiber	322560,21927,63147,79421,9900,104071,55990,48836,7502,15891,1148,23070,-427,833,8390,15505,15422,24189,-30612
rank17	mate	322604,21930,63156,79432,9901,104085,55997,48843,7503,15893,1148,23073,-427,833,8391,15507,15424,24192,-30616
rank17	zero	44,3,9,11,1,14,7,7,1,2,0,3,0,0,1,2,2,3,-4
