priority	mask	hex	multiplicity	witness
1	34525	0x086dd	33	1 0 1 1 1 -2 -3 1 0 1 -1 -2 -2 2 -2 -1 -2
2	57379	0x0e023	33	1 -1 0 0 2 -1 -2 0 0 0 0 -2 0 1 -1 -1 -2
3	61122	0x0eec2	33	0 1 2 2 2 -4 -7 3 0 3 -1 -5 -2 5 -3 -1 -4
4	12293	0x03005	32	1 0 1 2 2 -2 -4 0 -2 0 0 -2 -1 1 -2 0 -2
5	5641	0x01609	31	1 0 0 1 2 0 -2 0 0 1 1 -2 -1 0 -2 0 -2
6	6752	0x01a60	31	0 0 0 0 2 -1 -3 0 0 1 0 -1 -1 2 -2 0 -2
7	8210	0x02012	31	2 -1 0 0 3 0 -2 0 -2 0 2 -2 0 -1 -2 0 -2
8	14123	0x0372b	31	1 1 0 1 2 -1 -4 0 -1 1 1 -2 -1 1 -2 0 -2
9	18445	0x0480d	31	1 0 -1 -1 2 -2 -2 0 0 0 0 -1 0 2 -1 -2 -2
10	18595	0x048a3	31	1 1 2 2 2 -3 -6 1 -2 2 0 -3 -2 2 -3 0 -2
11	29640	0x073c8	31	0 0 0 1 0 0 -1 -1 1 1 0 0 -1 1 -1 0 0
12	30497	0x07721	31	1 0 0 0 0 -3 -2 2 1 1 -1 -2 -1 3 -1 -2 -2
13	32278	0x07e16	31	0 1 1 2 3 -2 -6 0 -2 1 1 -3 -1 1 -3 0 -2
14	49556	0x0c194	31	0 2 1 2 3 -2 -6 1 -1 2 0 -4 -2 2 -3 1 -2
15	52904	0x0cea8	31	0 0 0 1 0 1 0 -1 0 1 1 1 -2 0 -1 1 0
16	61948	0x0f1fc	31	2 0 1 1 3 -3 -5 1 -3 0 0 -4 -1 1 -3 -1 -2
17	65196	0x0feac	31	0 0 1 -1 0 -1 0 1 0 -1 -1 -1 1 1 1 -1 0
18	100944	0x18a50	31	0 0 0 0 1 0 -1 0 0 1 2 -1 -2 0 -2 1 -1
19	123312	0x1e1b0	31	0 0 0 0 1 1 0 -1 1 0 0 0 0 1 -1 -1 -1
20	1575	0x00627	30	1 -1 -1 0 0 1 2 -2 0 -1 1 2 0 -2 0 0 0
21	3903	0x00f3f	30	1 -1 -1 -1 1 1 2 -2 1 -1 1 1 0 -2 0 0 0
22	7127	0x01bd7	30	1 -1 1 0 1 0 -1 1 -3 -1 0 -1 1 0 0 0 0
23	7454	0x01d1e	30	2 -1 1 1 3 -2 -4 0 -3 0 1 -3 -1 0 -2 0 -2
24	29691	0x073fb	30	1 -1 0 -1 1 1 1 -1 -1 -1 2 0 -1 -1 -1 0 0
25	34989	0x088ad	30	1 0 -1 -1 0 -1 0 -1 0 0 0 1 0 0 0 -1 0
26	37067	0x090cb	30	1 1 2 1 2 -2 -5 1 -2 0 0 -4 -1 2 -2 -1 -2
27	39395	0x099e3	30	1 1 0 0 2 -3 -5 1 -1 0 0 -3 -1 2 -2 -1 -2
28	42459	0x0a5db	30	1 1 2 3 5 -6 -11 3 -3 2 -1 -8 -2 5 -4 -1 -4
29	52676	0x0cdc4	30	0 0 1 2 2 -2 -5 1 -1 2 1 -3 -2 2 -3 1 -2
30	52907	0x0ceab	30	1 -1 0 -1 0 -1 0 1 -2 -1 -1 1 2 0 1 -1 0
31	57522	0x0e0b2	30	0 1 0 0 1 -1 -2 -1 0 0 0 -2 0 1 -1 -1 0
32	63375	0x0f78f	30	1 1 1 1 2 -4 -6 1 -1 1 -1 -4 -1 3 -3 -1 -2
33	108819	0x1a913	30	1 1 2 2 3 -4 -8 2 -3 2 0 -5 -2 3 -4 -1 -3
34	7140	0x01be4	29	0 0 1 0 0 -1 -1 1 -1 -1 -2 -1 1 0 0 0 0
35	8297	0x02069	29	1 0 0 1 2 -1 -3 0 -2 0 0 -2 0 1 -2 0 -2
36	12498	0x030d2	29	2 -1 0 0 1 0 -1 -1 -2 0 2 0 -1 -1 -2 0 0
37	15326	0x03bde	29	2 -1 1 1 3 -2 -5 1 -3 1 2 -3 -1 1 -2 0 -2
