mask	representative
34525	1 0 1 1 1 -2 -3 1 0 1 -1 -2 -2 2 -2 -1 -2
34525	1 0 1 1 3 -2 -5 1 -2 1 1 -4 -2 2 -2 1 -2
34525	1 0 -1 -1 1 0 -1 -1 0 -1 1 0 0 0 0 -1 0
34525	1 0 -1 -1 1 0 1 -1 0 -1 1 0 0 0 0 -1 0
57379	1 -1 0 0 2 -1 -2 0 0 0 0 -2 0 1 -1 -1 -2
57379	1 1 0 0 2 -1 -2 0 0 0 0 -2 0 1 -1 -1 -2
57379	1 -1 0 0 0 -1 0 0 0 0 0 0 0 1 -1 -1 -2
57379	1 -1 0 0 2 1 0 -2 -2 -2 2 0 0 -3 -1 1 0
61122	0 1 2 2 2 -4 -7 3 0 3 -1 -5 -2 5 -3 -1 -4
61122	2 -1 2 2 2 -2 -5 1 -4 1 1 -3 -2 1 -3 1 -2
61122	2 -1 0 0 2 0 -1 -1 -2 -1 1 -1 0 -1 -1 -1 0
61122	2 -1 0 -2 0 0 1 -1 0 -1 1 1 0 -1 -1 -1 0
12293	1 0 1 2 2 -2 -4 0 -2 0 0 -2 -1 1 -2 0 -2
12293	1 0 1 0 2 0 -2 0 0 0 0 -2 -1 1 -2 0 -2
12293	1 -2 -1 -2 0 2 4 -2 0 -2 2 2 1 -3 0 0 0
12293	3 -2 -1 -2 2 2 2 -2 -2 -2 2 2 1 -3 0 0 0
5641	1 0 0 1 2 0 -2 0 0 1 1 -2 -1 0 -2 0 -2
5641	1 0 0 1 2 -2 -4 0 -2 1 1 -2 -1 2 -2 0 -2
5641	1 0 0 -1 2 -2 -2 0 0 -1 -1 -2 1 2 0 -2 -2
5641	1 -2 0 -1 0 2 2 -2 0 -1 1 2 1 -2 0 0 0
6752	0 0 0 0 2 -1 -3 0 0 1 0 -1 -1 2 -2 0 -2
6752	2 0 2 2 4 -3 -7 2 -4 1 0 -5 -1 2 -4 0 -4
6752	0 0 0 0 0 1 1 -2 0 -1 0 1 1 -2 0 0 0
6752	0 0 0 0 0 1 1 -2 0 -1 0 1 1 0 0 0 0
8210	2 -1 0 0 3 0 -2 0 -2 0 2 -2 0 -1 -2 0 -2
8210	2 -1 0 0 3 -2 -4 0 -2 0 0 -2 0 1 -2 0 -2
8210	0 1 2 2 3 -2 -6 0 -2 0 0 -4 0 1 -2 0 -2
8210	0 1 0 0 -1 0 0 0 0 0 0 0 0 -1 0 0 2
14123	1 1 0 1 2 -1 -4 0 -1 1 1 -2 -1 1 -2 0 -2
14123	1 -1 0 1 2 -1 -2 0 -1 1 1 -2 -1 1 -2 0 -2
14123	1 -1 0 -1 0 -1 0 0 1 -1 -1 0 1 1 0 -2 -2
14123	1 -1 0 -1 0 3 4 -2 1 -1 1 2 1 -3 0 0 0
18445	1 0 -1 -1 2 -2 -2 0 0 0 0 -1 0 2 -1 -2 -2
18445	1 0 1 1 2 -2 -4 0 -2 0 0 -3 0 0 -3 0 -2
18445	1 0 1 1 2 0 -2 0 -2 0 0 -1 0 0 -1 0 -2
18445	1 0 1 1 2 -2 -4 0 -2 0 0 -3 0 2 -1 0 -2
18595	1 1 2 2 2 -3 -6 1 -2 2 0 -3 -2 2 -3 0 -2
