node_id	label	kind	signed_index	mw_vector
0	V0	vertex	2312	1 -1 0 -1 0 0 1 0 -1 0 1 1 0 -1 0 0 0
1	V1	vertex	2524	1 -1 0 -1 1 0 0 0 -2 -1 1 0 1 -1 0 0 0
2	V2	vertex	306	1 -1 -1 -2 0 1 3 -1 0 -1 1 2 1 -2 1 0 1
3	V3	vertex	1302	2 -1 0 -1 1 0 0 0 -2 -1 1 0 0 -1 0 0 0
4	V4	vertex	1858	1 -1 0 -1 0 1 2 -1 -1 -1 1 1 1 -2 1 0 1
5	V5	vertex	1440	1 -1 -1 -1 0 1 2 -1 -1 -1 1 2 1 -2 1 0 1
6	V6	vertex	682	1 -2 -1 -2 -1 4 6 -2 0 -2 2 4 1 -4 2 1 2
7	V7	vertex	2350	1 -1 0 -1 0 0 1 0 -1 -1 0 1 1 -1 1 0 0
8	V8	vertex	2142	1 -1 0 0 1 0 0 0 -2 0 1 0 0 -1 0 1 0
9	D0_1	difference	2294	0 0 0 0 1 0 -1 0 -1 -1 0 -1 1 0 0 0 0
10	D0_2	difference	283	0 0 1 1 0 -1 -2 1 -1 1 0 -1 -1 1 -1 0 -1
11	D0_3	difference	1254	1 0 0 0 1 0 -1 0 -1 -1 0 -1 0 0 0 0 0
12	D0_4	difference	1900	0 0 0 0 0 1 1 -1 0 -1 0 0 1 -1 1 0 1
13	D0_5	difference	1502	0 0 1 0 0 -1 -1 1 0 1 0 -1 -1 1 -1 0 -1
14	D0_6	difference	575	0 1 1 1 1 -4 -5 2 -1 2 -1 -3 -1 3 -2 -1 -2
15	D0_7	difference	2471	0 0 0 0 0 0 0 0 0 1 1 0 -1 0 -1 0 0
16	D0_8	difference	2078	0 0 0 1 1 0 -1 0 -1 0 0 -1 0 0 0 1 0
17	D1_2	difference	320	0 0 1 1 1 -1 -3 1 -2 0 0 -2 0 1 -1 0 -1
18	D1_3	difference	1319	1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0
19	D1_4	difference	1842	0 0 0 0 1 -1 -2 1 -1 0 0 -1 0 1 -1 0 -1
20	D1_5	difference	1432	0 0 1 0 1 -1 -2 1 -1 0 0 -2 0 1 -1 0 -1
21	D1_6	difference	696	0 1 1 1 2 -4 -6 2 -2 1 -1 -4 0 3 -2 -1 -2
22	D1_7	difference	2334	0 0 0 0 1 0 -1 0 -1 0 1 -1 0 0 -1 0 0
23	D1_8	difference	2164	0 0 0 1 0 0 0 0 0 1 0 0 -1 0 0 1 0
24	D2_3	difference	475	1 0 1 1 1 -1 -3 1 -2 0 0 -2 -1 1 -1 0 -1
25	D2_4	difference	277	0 0 1 1 0 0 -1 0 -1 0 0 -1 0 0 0 0 0
26	D2_5	difference	45	0 0 0 1 0 0 -1 0 -1 0 0 0 0 0 0 0 0
27	D2_6	difference	1090	0 1 0 0 1 -3 -3 1 0 1 -1 -2 0 2 -1 -1 -1
28	D2_7	difference	292	0 0 1 1 0 -1 -2 1 -1 0 -1 -1 0 1 0 0 -1
29	D2_8	difference	338	0 0 1 2 1 -1 -3 1 -2 1 0 -2 -1 1 -1 1 -1
30	D3_4	difference	1191	1 0 0 0 1 -1 -2 1 -1 0 0 -1 -1 1 -1 0 -1
31	D3_5	difference	1002	1 0 1 0 1 -1 -2 1 -1 0 0 -2 -1 1 -1 0 -1
32	D3_6	difference	765	1 1 1 1 2 -4 -6 2 -2 1 -1 -4 -1 3 -2 -1 -2
33	D3_7	difference	1277	1 0 0 0 1 0 -1 0 -1 0 1 -1 -1 0 -1 0 0
34	D3_8	difference	1325	1 0 0 -1 0 0 0 0 0 -1 0 0 0 0 0 -1 0
35	D4_5	difference	1622	0 0 1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0
36	D4_6	difference	508	0 1 1 1 1 -3 -4 1 -1 1 -1 -3 0 2 -1 -1 -1
37	D4_7	difference	1883	0 0 0 0 0 1 1 -1 0 0 1 0 0 -1 0 0 1
38	D4_8	difference	1766	0 0 0 1 1 -1 -2 1 -1 1 0 -1 -1 1 -1 1 -1
39	D5_6	difference	437	0 1 0 1 1 -3 -4 1 -1 1 -1 -2 0 2 -1 -1 -1
40	D5_7	difference	1478	0 0 1 0 0 -1 -1 1 0 0 -1 -1 0 1 0 0 -1
41	D5_8	difference	1396	0 0 1 1 1 -1 -2 1 -1 1 0 -2 -1 1 -1 1 -1
42	D6_7	difference	632	0 1 1 1 1 -4 -5 2 -1 1 -2 -3 0 3 -1 -1 -2
43	D6_8	difference	728	0 1 1 2 2 -4 -6 2 -2 2 -1 -4 -1 3 -2 0 -2
44	D7_8	difference	2098	0 0 0 1 1 0 -1 0 -1 1 1 -1 -1 0 -1 1 0
