q_sign	numeric_to_lattice
-1	1 3 5 6 7 0 2 4 8
-1	1 3 5 7 6 0 2 4 8
-1	1 3 6 5 7 0 2 4 8
-1	1 3 6 7 5 0 2 4 8
-1	1 3 7 5 6 0 2 4 8
-1	1 3 7 6 5 0 2 4 8
-1	1 3 5 6 7 0 2 8 4
-1	1 3 5 7 6 0 2 8 4
-1	1 3 6 5 7 0 2 8 4
-1	1 3 6 7 5 0 2 8 4
-1	1 3 7 5 6 0 2 8 4
-1	1 3 7 6 5 0 2 8 4
-1	1 3 5 6 7 0 4 2 8
-1	1 3 5 7 6 0 4 2 8
-1	1 3 6 5 7 0 4 2 8
-1	1 3 6 7 5 0 4 2 8
-1	1 3 7 5 6 0 4 2 8
-1	1 3 7 6 5 0 4 2 8
-1	1 3 5 6 7 0 4 8 2
-1	1 3 5 7 6 0 4 8 2
-1	1 3 6 5 7 0 4 8 2
-1	1 3 6 7 5 0 4 8 2
-1	1 3 7 5 6 0 4 8 2
-1	1 3 7 6 5 0 4 8 2
-1	1 3 5 6 7 0 8 2 4
-1	1 3 5 7 6 0 8 2 4
-1	1 3 6 5 7 0 8 2 4
-1	1 3 6 7 5 0 8 2 4
-1	1 3 7 5 6 0 8 2 4
-1	1 3 7 6 5 0 8 2 4
-1	1 3 5 6 7 0 8 4 2
-1	1 3 5 7 6 0 8 4 2
-1	1 3 6 5 7 0 8 4 2
-1	1 3 6 7 5 0 8 4 2
-1	1 3 7 5 6 0 8 4 2
-1	1 3 7 6 5 0 8 4 2
-1	1 3 5 6 7 2 0 4 8
-1	1 3 5 7 6 2 0 4 8
-1	1 3 6 5 7 2 0 4 8
-1	1 3 6 7 5 2 0 4 8
-1	1 3 7 5 6 2 0 4 8
-1	1 3 7 6 5 2 0 4 8
-1	1 3 5 6 7 2 0 8 4
-1	1 3 5 7 6 2 0 8 4
-1	1 3 6 5 7 2 0 8 4
-1	1 3 6 7 5 2 0 8 4
-1	1 3 7 5 6 2 0 8 4
