stage_rank	section_position	section_signed_index	anchor_position	anchor_signed_index	pairing	operation	anchor_is_coxeter	role
10	9	961	5	1441	-2	sum	1	primary
10	9	961	6	683	-2	sum	1	secondary
10	9	961	7	2351	-2	sum	1	secondary
11	10	2402	5	1441	-2	sum	1	primary
11	10	2402	6	683	-2	sum	1	secondary
11	10	2402	7	2351	-2	sum	1	secondary
12	11	1642	1	2525	-2	sum	1	primary
12	11	1642	4	1859	-2	sum	1	secondary
12	11	1642	7	2351	-2	sum	1	secondary
13	12	1300	3	1303	-2	sum	1	primary
13	12	1300	5	1441	-2	sum	1	secondary
13	12	1300	10	2402	2	difference	0	secondary
14	13	1023	3	1303	2	difference	1	primary
14	13	1023	7	2351	2	difference	1	secondary
14	13	1023	10	2402	-2	sum	0	secondary
15	14	2216	0	2313	-2	sum	1	primary
15	14	2216	1	2525	-2	sum	1	secondary
15	14	2216	2	307	-2	sum	1	secondary
16	15	2392	1	2525	-2	sum	1	primary
16	15	2392	3	1303	-2	sum	1	secondary
16	15	2392	5	1441	-2	sum	1	secondary
17	16	2610	0	2313	-2	sum	1	primary
17	16	2610	1	2525	-2	sum	1	secondary
17	16	2610	5	1441	-2	sum	1	secondary
