a	b	signed_a	signed_b	pairing	minimal_operation
0	1	2313	2525	2	difference
0	2	2313	307	2	difference
0	3	2313	1303	2	difference
0	4	2313	1859	2	difference
0	5	2313	1441	2	difference
0	6	2313	683	2	difference
0	7	2313	2351	2	difference
0	8	2313	2143	2	difference
0	14	2313	2216	-2	sum
0	16	2313	2610	-2	sum
1	2	2525	307	2	difference
1	3	2525	1303	2	difference
1	4	2525	1859	2	difference
1	5	2525	1441	2	difference
1	6	2525	683	2	difference
1	7	2525	2351	2	difference
1	8	2525	2143	2	difference
1	11	2525	1642	-2	sum
1	14	2525	2216	-2	sum
1	15	2525	2392	-2	sum
1	16	2525	2610	-2	sum
2	3	307	1303	2	difference
2	4	307	1859	2	difference
2	5	307	1441	2	difference
2	6	307	683	2	difference
2	7	307	2351	2	difference
2	8	307	2143	2	difference
2	14	307	2216	-2	sum
3	4	1303	1859	2	difference
3	5	1303	1441	2	difference
3	6	1303	683	2	difference
3	7	1303	2351	2	difference
3	8	1303	2143	2	difference
3	12	1303	1300	-2	sum
3	13	1303	1023	2	difference
3	15	1303	2392	-2	sum
4	5	1859	1441	2	difference
4	6	1859	683	2	difference
4	7	1859	2351	2	difference
4	8	1859	2143	2	difference
4	11	1859	1642	-2	sum
4	14	1859	2216	-2	sum
5	6	1441	683	2	difference
5	7	1441	2351	2	difference
5	8	1441	2143	2	difference
5	9	1441	961	-2	sum
5	10	1441	2402	-2	sum
5	12	1441	1300	-2	sum
5	14	1441	2216	-2	sum
5	15	1441	2392	-2	sum
5	16	1441	2610	-2	sum
6	7	683	2351	2	difference
6	8	683	2143	2	difference
6	9	683	961	-2	sum
6	10	683	2402	-2	sum
6	15	683	2392	-2	sum
7	8	2351	2143	2	difference
7	9	2351	961	-2	sum
7	10	2351	2402	-2	sum
7	11	2351	1642	-2	sum
7	13	2351	1023	2	difference
7	14	2351	2216	-2	sum
7	15	2351	2392	-2	sum
8	14	2143	2216	-2	sum
8	16	2143	2610	-2	sum
9	10	961	2402	2	difference
10	11	2402	1642	2	difference
10	12	2402	1300	2	difference
10	13	2402	1023	-2	sum
10	15	2402	2392	2	difference
11	13	1642	1023	-2	sum
11	14	1642	2216	2	difference
11	15	1642	2392	2	difference
12	13	1300	1023	-2	sum
13	14	1023	2216	-2	sum
13	15	1023	2392	-2	sum
14	16	2216	2610	2	difference
