id	norm	coords	pairings
0	10	1,0,1,1,1,-2,-3,1,0,1,-1,-2,-2,2,-2,-1,-2	0,-1,0,0,0,0,0,-2,0,0,-2,0,-4,-1,0,-2,-1
1	10	0,1,2,2,2,-4,-7,3,0,3,-1,-5,-2,5,-3,-1,-4	0,-1,2,0,0,0,0,0,2,0,2,0,0,1,0,0,-1
2	10	1,-1,0,0,2,-1,-2,0,0,0,0,-2,0,1,-1,-1,-2	-2,-4,-2,-2,-1,2,-2,-3,0,2,-2,-3,-2,-2,2,-2,-2
3	10	1,0,1,2,2,-2,-4,0,-2,0,0,-2,-1,1,-2,0,-2	1,1,1,3,1,-3,1,-1,1,-3,1,3,-1,1,-1,1,-1
4	10	1,1,0,1,2,-1,-4,0,-1,1,1,-2,-1,1,-2,0,-2	1,2,-2,-1,-2,2,-2,-2,-1,1,0,0,-1,-1,1,-1,-3
5	10	2,0,1,1,3,-3,-5,1,-3,0,0,-4,-1,1,-3,-1,-2	0,1,-2,0,0,0,2,-1,-2,0,-2,-2,-2,-1,-2,-2,0
6	10	1,0,0,0,0,-3,-2,2,1,1,-1,-2,-1,3,-1,-2,-2	2,0,0,2,0,-2,2,1,2,-2,2,0,0,2,-2,0,1
7	10	0,0,0,1,0,0,-1,-1,1,1,0,0,-1,1,-1,0,0	2,-2,0,2,0,0,-1,-2,2,0,0,1,0,2,-1,0,2
8	10	1,0,0,1,2,0,-2,0,0,1,1,-2,-1,0,-2,0,-2	0,0,-2,0,0,2,0,-1,0,2,-1,-2,-1,-2,0,-2,-2
9	10	2,-1,0,0,3,0,-2,0,-2,0,2,-2,0,-1,-2,0,-2	-1,0,-2,-1,0,2,0,0,-1,2,0,-2,0,-2,0,-2,-2
10	10	1,0,-1,-1,2,-2,-2,0,0,0,0,-1,0,2,-1,-2,-2	-1,0,-2,-1,0,0,0,-2,-1,0,0,0,-2,0,0,-2,-2
11	10	0,1,1,2,3,-2,-6,0,-2,1,1,-3,-1,1,-3,0,-2	-2,0,0,0,0,0,-2,-1,0,0,1,2,-1,-2,0,-2,-2
12	10	0,0,0,0,2,-1,-3,0,0,1,0,-1,-1,2,-2,0,-2	-2,-2,-1,-2,0,1,-2,-2,0,0,-1,1,-2,0,0,0,-2
13	10	0,0,0,0,1,1,0,-1,1,0,0,0,0,1,-1,-1,-1	0,0,0,1,1,2,1,-1,0,0,0,0,0,2,-2,-2,0
14	10	0,2,1,2,3,-2,-6,1,-1,2,0,-4,-2,2,-3,1,-2	2,3,0,0,2,0,1,0,1,0,-1,0,0,0,-1,2,0
15	10	1,1,2,2,2,-3,-6,1,-2,2,0,-3,-2,2,-3,0,-2	2,2,3,1,1,-2,0,-1,1,0,1,3,-1,0,0,0,0
16	10	0,0,0,0,1,0,-1,0,0,1,2,-1,-2,0,-2,1,-1	-2,0,0,-1,0,-1,1,0,0,-1,2,0,-2,0,-1,0,-2
17	10	0,0,1,-1,0,-1,0,1,0,-1,-1,-1,1,1,1,-1,0	1,1,4,0,2,-2,2,2,2,-2,2,0,2,2,0,2,2
18	10	0,0,0,1,0,1,0,-1,0,1,1,1,-2,0,-1,1,0	0,0,0,1,0,0,0,-2,-1,0,0,2,-3,1,0,-1,-1
19	10	1,1,0,0,2,-3,-5,1,-1,0,0,-3,-1,2,-2,-1,-2	0,1,-2,-2,-2,0,-2,-1,0,-2,0,0,-2,-1,0,0,-2
20	10	1,-1,1,0,1,0,-1,1,-3,-1,0,-1,1,0,0,0,0	0,0,0,0,0,2,1,2,-2,0,0,-1,2,2,-1,0,2
21	10	2,-1,1,1,3,-2,-4,0,-3,0,1,-3,-1,0,-2,0,-2	-2,-2,-1,-2,-1,0,-1,-4,-2,2,-2,-2,-4,-3,3,-2,-3
22	10	1,1,2,1,2,-2,-5,1,-2,0,0,-4,-1,2,-2,-1,-2	0,2,1,-2,-2,2,0,-2,-2,0,0,-2,-2,0,1,-2,-2
23	10	1,0,-1,-1,0,-1,0,-1,0,0,0,1,0,0,0,-1,0	0,0,-2,-2,-2,0,-2,-4,-2,2,-2,0,-3,-2,2,-2,-2
24	10	0,1,0,0,1,-1,-2,-1,0,0,0,-2,0,1,-1,-1,0	0,0,-2,-2,-2,2,0,-4,-2,2,-2,-4,-1,0,0,-2,0
25	10	1,1,2,2,3,-4,-8,2,-3,2,0,-5,-2,3,-4,-1,-3	-2,0,-1,-2,-2,2,-1,-2,-3,2,-1,-1,-3,-2,0,-4,-2
26	10	0,0,1,2,2,-2,-5,1,-1,2,1,-3,-2,2,-3,1,-2	0,-2,1,2,1,-2,0,1,3,-2,3,2,1,2,-2,2,1
27	10	1,-1,-1,-1,1,1,2,-2,1,-1,1,1,0,-2,0,0,0	0,-1,0,0,2,-2,0,-2,2,0,-1,0,-2,-2,1,0,-1
28	10	1,-1,-1,0,0,1,2,-2,0,-1,1,2,0,-2,0,0,0	0,0,-1,2,0,-2,0,-2,0,-1,0,2,-2,-1,0,-1,-2
29	10	1,1,2,3,5,-6,-11,3,-3,2,-1,-8,-2,5,-4,-1,-4	0,-2,-1,0,1,0,0,-1,1,0,-1,-2,-1,0,0,0,1
30	10	1,-1,0,-1,0,-1,0,1,-2,-1,-1,1,2,0,1,-1,0	0,0,0,0,0,0,-1,2,-1,0,0,2,2,0,0,0,1
31	10	1,-1,0,-1,1,1,1,-1,-1,-1,2,0,-1,-1,-1,0,0	-2,0,0,-1,0,0,2,-1,-2,-1,1,-1,-3,1,-1,-2,-1
32	10	1,1,1,1,2,-4,-6,1,-1,1,-1,-4,-1,3,-3,-1,-2	3,1,0,1,0,-2,1,-1,2,-2,0,0,1,2,-3,2,2
33	10	1,-2,-1,-3,-2,2,6,-1,0,-2,0,4,2,-2,2,-1,2	0,0,0,0,0,0,2,1,-2,0,0,0,1,2,-2,-1,2
34	10	1,0,2,2,3,-2,-5,1,-3,1,1,-4,-2,0,-3,1,-2	-2,0,1,-1,1,-1,1,-1,-1,1,-1,-1,-3,-3,1,-1,-2
35	10	2,-1,2,1,2,0,-3,0,-2,0,1,-2,-1,0,-3,0,-2	1,0,2,1,0,1,0,0,1,-1,1,1,0,1,-2,-1,0
36	10	0,0,0,0,0,1,0,-2,1,-1,1,0,0,-1,-1,0,0	0,-1,0,0,-2,0,-2,-2,2,-2,1,0,0,0,-1,0,-1
37	10	0,0,0,1,1,1,0,-2,0,-1,1,-1,0,-1,-1,0,0	0,0,-1,2,0,0,2,-2,0,-1,0,-2,0,1,-2,-1,0
38	10	1,1,2,3,4,-6,-10,3,-3,2,-2,-7,-2,5,-4,-1,-4	0,-1,-2,0,0,0,1,-2,-1,0,-3,-2,-2,0,-1,0,0
39	10	1,0,2,1,2,-1,-4,1,-2,1,1,-3,-2,0,-3,1,-2	-2,0,1,-3,-1,1,-1,-1,-1,1,-1,-1,-3,-3,1,-1,-3
40	10	1,0,1,2,2,0,-3,1,-1,1,1,-3,-2,0,-2,1,-2	0,0,-1,0,0,2,0,0,0,1,-1,-2,-2,-2,1,-1,-2
41	10	0,1,0,1,1,-2,-3,1,1,2,0,-2,-2,3,-1,-1,-2	0,0,0,0,0,0,0,-2,0,1,1,0,-3,0,2,-2,-2
42	10	0,1,0,1,1,-2,-3,1,1,1,-1,-2,-2,3,-1,-1,-2	0,0,-1,0,0,0,0,-2,0,-1,-1,0,-4,0,1,-1,-2
43	10	1,0,1,2,2,-2,-5,1,-1,2,0,-3,-2,2,-2,1,-2	2,-2,0,0,0,0,-2,-2,2,1,-1,0,-1,0,2,2,0
44	10	0,0,1,0,0,-1,-1,1,-1,-1,-2,-1,1,0,0,0,0	0,0,0,-1,0,0,0,1,0,-1,-3,-1,1,-1,-1,2,1
45	10	1,0,1,1,2,-3,-4,2,-1,1,-1,-3,-1,2,-3,-1,-3	0,1,0,2,2,-2,3,2,1,-2,0,1,0,0,-4,0,0
46	10	2,-1,0,0,1,0,-1,-1,-2,0,2,0,-1,-1,-2,0,0	1,0,-1,1,-1,0,0,-1,-1,0,1,1,-1,1,-2,-2,1
