ambient_rank=29
templates=100
LLL start
LLL done
ambient_reduced_min=46.3601302163|median=57.0258464395|max=75.0100934421
short_candidates=870

TOP SCALE CLUSTERS
SCALE|rank=1|h=11.8507256069|hits=4300|templates=100|candidates=43
 HIT|template=0|tnorm=10.0|anorm=116.81863972|h=11.681863972|ambient=[1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=1|tnorm=10.0|anorm=116.81863972|h=11.681863972|ambient=[1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=2|tnorm=10.0|anorm=116.81863972|h=11.681863972|ambient=[1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=3|tnorm=10.0|anorm=116.81863972|h=11.681863972|ambient=[1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=4|tnorm=10.0|anorm=116.81863972|h=11.681863972|ambient=[1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=5|tnorm=10.0|anorm=116.81863972|h=11.681863972|ambient=[1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=6|tnorm=10.0|anorm=116.81863972|h=11.681863972|ambient=[1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
 HIT|template=7|tnorm=10.0|anorm=116.81863972|h=11.681863972|ambient=[1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]
SCALE|rank=2|h=11.088913655|hits=3100|templates=100|candidates=31
 HIT|template=0|tnorm=10.0|anorm=110.030670078|h=11.0030670078|ambient=[-2, 3, -1, 1, -1, -2, 0, -1, 2, 2, -1, -1, 0, 1, 1, -5, 1, 1, -1, 0, 3, 0, 2, 2, -2, -2, 2, -1, 0]
 HIT|template=1|tnorm=10.0|anorm=110.030670078|h=11.0030670078|ambient=[-2, 3, -1, 1, -1, -2, 0, -1, 2, 2, -1, -1, 0, 1, 1, -5, 1, 1, -1, 0, 3, 0, 2, 2, -2, -2, 2, -1, 0]
 HIT|template=2|tnorm=10.0|anorm=110.030670078|h=11.0030670078|ambient=[-2, 3, -1, 1, -1, -2, 0, -1, 2, 2, -1, -1, 0, 1, 1, -5, 1, 1, -1, 0, 3, 0, 2, 2, -2, -2, 2, -1, 0]
 HIT|template=3|tnorm=10.0|anorm=110.030670078|h=11.0030670078|ambient=[-2, 3, -1, 1, -1, -2, 0, -1, 2, 2, -1, -1, 0, 1, 1, -5, 1, 1, -1, 0, 3, 0, 2, 2, -2, -2, 2, -1, 0]
 HIT|template=4|tnorm=10.0|anorm=110.030670078|h=11.0030670078|ambient=[-2, 3, -1, 1, -1, -2, 0, -1, 2, 2, -1, -1, 0, 1, 1, -5, 1, 1, -1, 0, 3, 0, 2, 2, -2, -2, 2, -1, 0]
 HIT|template=5|tnorm=10.0|anorm=110.030670078|h=11.0030670078|ambient=[-2, 3, -1, 1, -1, -2, 0, -1, 2, 2, -1, -1, 0, 1, 1, -5, 1, 1, -1, 0, 3, 0, 2, 2, -2, -2, 2, -1, 0]
