marked_U	frame_class	PGL2_family	deep_equation_rank	equation_support_count	equation_coordinate_input_bits	exact_quotient_target_count	exact_quotient_curve_ids	rigid_transfer_status	rigid_transfer_rank_vector	norm8_off_diagonal_status	norm8_off_diagonal_tests	norm8_off_diagonal_hits	rigid_branch_graph_edges	fitted_norm8_branch_graph_edges	native_branch_character_status	inherited_branch_character_count	complete_smooth_norm10_character_count	full_smooth_marking_saturation_index	low_genus_base_rank_status	maximum_certified_base_Jacobian_rank_lower_bound	marked_minimum_class_status	marked_norm8_class_count	Tate_quotient_status	matched_exact_curve_parameter_count	marked_quotient_transport_count	matched_parameter_height_bits_range	selected_initial_transport_count
norm12-orbit-074d9	published-R17	norm12-orbit-074d9	1	7	2544	5	351,356,376,377,385	EXACT_COMPLETE_FIXED_NATIVE_INVENTORY_ON_LABELLED_TARGETS	351:6,356:2,376:5,377:5,385:2	EXACT_FOR_CURRENT_FITTED_NORM_EIGHT_CARRIERS_AND_TARGETS	96	0	46	24	UNKNOWN				EXACT_COMPLETE_RIGID_CROSS_FIBRE_ATLAS		EXACT_MARKED_NORM_EIGHT_AND_NORM_TEN_COUNTS_ONLY	63925	UNKNOWN	5	5	93-104	0
norm12-orbit-08234	published-R17	norm12-orbit-08234	2	7	2823	2	11,423	UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	2	105-106	2
norm12-orbit-1f002	published-R17	norm12-orbit-08234	3	8	3166	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	105-106	0
norm12-orbit-08aaa	published-R17	norm12-orbit-074d9	4	8	3161	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	5	0	100-114	0
norm12-orbit-0e80b	published-R17	norm12-orbit-0e80b	5	9	3183	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	65-70	0
norm12-orbit-06617	published-R17	norm12-orbit-0e80b	6	8	2853	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	86-88	0
norm12-orbit-1104c	published-R17	norm12-orbit-074d9	7	9	3142	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	5	0	90-101	0
norm12-orbit-04b19	published-R17	norm12-orbit-0e80b	8	9	3462	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	107-108	0
norm12-orbit-04ec4	published-R17	norm12-orbit-0e80b	9	12	4063	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	96-99	0
norm12-orbit-10ba1	published-R17	norm12-orbit-0e80b	10	11	4085	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	99-99	0
