priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
1	72422	0x11ae6	1	2	1	2	20	0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1	-1 0 5 0 -3 -3 0 -1 -4 -6 -3 3 4 -3 1 0 -5	-9 16 2 14 10 -6 -7 7 6 0 1 -1 -2 -4 -11 -3 0	2 -1 -1 0 -2 -1 1 1 -2 -1 -2 1 1 0 -2 2 1
2	73442	0x11ee2	1	2	1	2	17	0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 1	-2 1 5 -1 -2 -4 0 -2 -3 -6 -4 3 3 -2 0 -1 -5	-5 17 0 15 11 -4 -1 6 1 -4 1 -4 -3 1 -11 -10 0	2 -1 -2 0 -2 -1 1 1 -2 -1 -3 1 1 0 -2 2 1
3	72326	0x11a86	1	2	1	2	23	0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 -1	-6 3 7 -3 -6 -2 0 -3 -8 -11 -7 7 4 -10 4 -7 -9	7 -39 -3 -22 -12 6 10 -12 -6 2 6 1 5 1 16 11 0	0 1 -1 -2 -2 2 -2 -1 2 1 2 -1 -1 0 0 0 -1
4	82986	0x1442a	2	3	1	3	19	-1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1	-3 0 5 -1 -4 -2 1 -2 -4 -6 -3 3 3 -4 2 -1 -5	-11 -7 2 10 7 -5 0 -2 5 3 6 -5 6 -4 -7 2 1	2 1 -2 -1 -2 1 0 0 0 0 -1 0 0 0 -1 2 1
5	83519	0x1463f	2	3	1	3	21	-1 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 1	-5 2 6 -2 -5 -2 1 -3 -6 -9 -5 5 4 -7 3 -5 -7	-9 -25 0 2 3 -3 6 -8 1 3 9 -6 9 -2 -1 5 1	3 1 -3 -1 -3 1 0 0 0 -1 -1 0 0 0 -1 2 1
6	105389	0x19bad	2	3	1	3	20	-1 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1 0	-5 2 3 -2 -3 -1 0 -2 -4 -5 -4 2 2 -5 3 -4 -4	-7 -25 1 -4 -3 -2 2 -8 3 6 5 -2 9 -5 3 11 1	3 2 -3 -1 -2 1 0 -1 1 -1 0 -1 -1 0 0 1 1
7	33709	0x083ad	2	3	1	3	24	-1 0 0 0 0 0 0 -1 0 0 0 0 0 1 0 0 0	-5 3 5 -2 -4 -2 1 -3 -5 -9 -4 5 2 -6 3 -7 -6	-9 -27 0 0 0 -3 7 -10 -1 3 5 -6 11 -2 0 6 1	3 2 -3 -1 -2 1 0 -1 1 -1 0 0 0 0 0 1 0
8	63532	0x0f82c	2	3	1	3	20	-1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1	-5 2 6 -2 -4 -4 1 -3 -6 -8 -6 5 3 -6 3 -5 -7	2 -6 0 -3 0 2 2 -1 0 1 6 0 -1 1 3 1 0	2 4 -3 -3 -2 3 -2 -2 2 0 0 -1 -1 1 -1 1 0
9	9662	0x025be	2	3	1	3	23	-1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0	-5 2 3 -2 -2 -3 0 -2 -4 -4 -5 2 1 -4 3 -4 -4	4 -6 1 -9 -6 3 -2 -1 2 4 2 4 -1 -2 7 7 0	2 5 -3 -3 -1 3 -2 -3 3 0 1 -2 -2 1 0 0 0
10	81342	0x13dbe	2	3	1	3	21	-1 0 0 0 0 0 0 0 -1 0 0 0 0 1 0 0 0	-5 3 5 -2 -3 -4 1 -3 -5 -8 -5 5 1 -5 3 -7 -6	2 -8 0 -5 -3 2 3 -3 -2 1 2 0 1 1 4 2 0	2 5 -3 -3 -1 3 -2 -3 3 0 1 -1 -1 1 0 0 -1
11	74451	0x122d3	2	3	1	3	21	-1 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0 0	-6 2 5 -3 -4 -3 1 -3 -6 -7 -6 5 2 -7 4 -6 -6	12 -26 -1 -21 -11 9 7 -8 -3 4 10 3 0 4 17 8 0	1 5 -2 -4 -1 4 -3 -3 4 1 2 -2 -2 1 0 0 -1
12	123562	0x1e2aa	2	3	1	3	23	-1 0 0 0 0 0 0 0 -1 0 1 0 0 0 0 0 0	-5 3 3 -3 -2 -4 1 -2 -4 -5 -5 4 -1 -4 3 -6 -4	11 -19 -1 -19 -12 8 6 -7 -4 3 4 3 0 4 15 6 0	0 5 -2 -3 0 3 -2 -3 4 1 2 -2 -2 1 1 -1 -1
13	106157	0x19ead	2	3	1	3	22	-1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 1 0	-4 2 3 -1 -1 -2 -1 -2 -3 -4 -5 2 2 -3 2 -4 -4	-11 -6 1 10 5 -5 -1 -1 4 2 2 -4 6 -6 -7 3 1	3 2 -3 -1 -2 1 0 -1 0 -1 -1 -1 -1 0 0 1 1
14	107264	0x1a300	2	3	1	3	22	-1 0 0 0 0 0 0 0 0 -1 0 0 0 0 1 0 0	-4 2 3 -1 -1 -1 0 -2 -3 -4 -5 3 2 -4 2 -5 -4	-7 -12 -2 10 6 -2 9 -5 -4 -3 4 -9 7 0 -6 -4 1	2 0 -2 0 -2 0 0 0 -1 -1 -2 0 0 -1 0 1 1
15	34477	0x086ad	2	3	1	3	19	-1 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0	-4 3 5 -1 -2 -3 0 -3 -4 -8 -5 5 2 -4 2 -7 -6	-13 -8 0 14 8 -6 4 -3 0 -1 2 -8 8 -3 -10 -2 1	3 2 -3 -1 -2 1 0 -1 0 -1 -1 0 0 0 0 1 0
16	95569	0x17551	2	3	1	3	20	-1 0 0 0 0 0 0 0 0 -1 0 1 0 0 0 0 0	-4 2 3 -1 -2 -1 0 -2 -2 -5 -4 4 1 -3 2 -5 -4	-9 -15 0 6 1 -3 5 -6 -1 1 0 -6 9 -4 -4 3 1	1 0 -2 0 -1 0 1 0 -1 0 -1 0 -1 -1 1 0 1
17	107621	0x1a465	2	3	1	3	21	-1 0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0	-4 1 3 -1 -3 1 1 -2 -4 -4 -4 3 3 -6 3 -4 -4	-6 -18 -1 6 4 -1 9 -7 -3 -1 6 -8 8 -1 -3 0 1	1 0 -1 0 -2 1 -1 0 0 0 -1 0 0 -1 0 1 1
18	40613	0x09ea5	2	3	1	3	21	-1 0 0 0 0 0 0 0 0 0 -1 0 1 0 0 0 0	-5 1 5 -2 -5 0 1 -3 -6 -7 -5 5 4 -8 4 -5 -6	-2 -32 0 -6 -2 2 8 -10 0 4 12 -4 8 -1 6 8 1	1 2 -1 -2 -2 3 -2 -1 2 1 1 -1 -1 0 0 1 0
19	109856	0x1ad20	2	3	1	3	21	-1 0 0 0 0 0 0 0 0 0 0 -1 0 1 0 0 0	-4 3 5 -2 -3 -3 1 -3 -6 -8 -5 5 2 -6 3 -7 -6	-7 -18 0 4 4 -2 6 -6 0 1 8 -6 7 0 -2 1 1	2 4 -2 -2 -2 3 -2 -2 3 0 1 -1 0 1 0 1 -1
20	111181	0x1b24d	2	3	1	3	21	-1 0 0 0 0 0 0 0 0 0 0 -1 1 0 0 0 0	-5 2 5 -3 -4 -2 1 -3 -7 -7 -6 5 3 -8 4 -6 -6	3 -36 -1 -12 -4 5 10 -11 -1 4 16 -3 6 3 11 7 1	1 4 -1 -3 -2 4 -3 -2 4 1 2 -2 -1 1 0 1 -1
21	16817	0x041b1	2	3	1	3	22	-1 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 0 0	-3 3 3 -1 -2 -2 1 -2 -3 -6 -3 4 0 -3 2 -6 -4	-13 -7 1 12 5 -6 3 -4 0 0 -2 -7 9 -4 -9 0 1	1 2 -2 0 -1 1 0 -1 1 0 0 0 0 0 1 0 0
22	105294	0x19b4e	2	3	1	3	20	-1 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 1	-4 1 4 -2 -4 -1 1 -2 -5 -5 -5 4 3 -6 3 -3 -5	-3 -23 0 -2 0 1 6 -7 1 3 10 -4 6 -1 3 5 1	0 1 -1 -1 -2 2 -1 0 1 1 0 -1 -1 0 0 1 1
23	83676	0x146dc	2	3	1	3	21	-1 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 1 0	-4 1 1 -2 -2 0 0 -1 -3 -1 -4 1 1 -4 3 -2 -2	-1 -23 1 -8 -6 2 2 -7 3 6 6 0 6 -4 7 11 1	0 2 -1 -1 -1 2 -1 -1 2 1 1 -2 -2 0 1 0 1
24	97137	0x17b71	2	3	1	3	23	-1 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 0	-4 1 1 -2 -2 1 1 -1 -3 -1 -4 2 1 -5 3 -3 -2	3 -29 -2 -8 -5 5 12 -11 -5 1 8 -5 7 2 8 4 1	-1 0 0 0 -1 1 -1 0 1 1 0 -1 -1 -1 1 0 1
25	83034	0x1445a	2	3	1	3	22	-1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1	2 -1 -4 1 3 1 1 1 4 6 3 -3 -3 5 -1 2 5	-10 14 3 18 9 -5 -3 3 5 1 0 -5 3 -2 -12 -5 1	0 1 0 1 1 0 1 0 0 0 -1 0 0 0 1 0 1
26	124299	0x1e58b	2	3	1	3	22	-1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1	-4 2 0 -3 -2 1 1 -1 -2 -2 -2 3 -2 -4 3 -5 -1	-4 -60 0 -17 -12 3 13 -21 -1 9 11 -5 18 -2 14 18 2	-1 1 0 -1 0 2 0 -1 3 2 3 -2 -2 -1 3 -1 -1
27	83292	0x1455c	2	3	1	3	21	-1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1	-3 2 0 -2 -1 0 0 -1 -2 -2 -3 3 -1 -3 3 -5 -1	-3 -15 3 -4 -7 1 0 -6 3 6 0 0 7 -5 4 10 1	-2 2 1 -1 1 2 -1 -2 3 2 3 -2 -2 0 3 -2 -1
28	82494	0x1423e	2	3	1	3	22	-1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 -1	-3 1 0 -1 -2 2 0 -1 -1 -2 -1 2 -1 -3 3 -4 -1	-1 -30 1 -12 -11 2 4 -11 0 6 0 0 10 -5 9 14 1	-2 3 1 -1 1 3 -2 -2 4 3 4 -2 -2 0 3 -2 -1
29	126435	0x1ede3	2	3	1	3	19	0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 0 0 0	-5 2 7 -2 -6 -3 1 -2 -6 -10 -5 6 3 -7 3 -4 -8	3 -29 -3 -15 -8 3 9 -10 -6 1 3 -1 5 1 10 7 0	1 -1 -2 0 -2 -1 1 1 -1 0 -1 1 0 -1 -1 1 1
30	49419	0x0c10b	2	3	1	3	22	0 -1 0 0 -1 0 0 0 0 0 1 0 0 0 0 0 0	-5 3 7 -3 -5 -5 1 -2 -7 -10 -6 6 2 -7 3 -5 -8	8 -33 -4 -21 -10 6 11 -11 -7 1 7 0 3 5 15 6 0	1 1 -2 -1 -2 0 0 0 1 0 0 0 0 0 -1 1 0
31	50030	0x0c36e	2	3	1	3	21	0 -1 0 0 -1 0 0 1 0 0 0 0 0 0 0 0 0	-4 2 7 -2 -5 -4 1 -2 -7 -9 -6 6 3 -7 3 -4 -8	5 -20 -3 -11 -4 4 8 -6 -5 -1 6 -1 1 3 8 2 0	0 1 -1 -1 -2 1 -1 0 1 1 0 0 0 0 -1 1 0
32	116576	0x1c760	2	3	1	3	20	0 -1 0 0 0 0 0 0 0 0 0 0 -1 0 0 1 0	-3 2 5 -1 -3 -4 -1 -1 -5 -7 -5 3 3 -4 2 -2 -6	-9 10 2 7 3 -6 -9 5 6 2 -5 2 0 -8 -7 4 0	2 0 -2 0 -2 -1 1 0 -1 -1 -1 0 0 0 -1 1 1
33	64928	0x0fda0	2	3	1	3	22	0 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0	-4 2 7 -2 -5 -3 1 -2 -7 -10 -6 7 4 -8 3 -5 -8	3 -16 -3 -5 -1 3 10 -6 -7 -3 5 -4 2 4 4 -2 0	0 -2 0 0 -2 -1 0 1 -1 0 -1 1 1 -1 -1 1 0
34	66975	0x1059f	2	3	1	3	22	0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1	-4 3 6 -2 -4 -4 0 -2 -6 -10 -5 6 2 -6 3 -6 -7	-1 -12 0 -7 -5 0 1 -4 -1 2 -1 1 3 -2 4 6 0	1 1 -1 -1 -1 0 0 -1 1 0 1 0 0 0 0 0 -1
35	11249	0x02bf1	2	3	1	3	22	0 -1 0 0 0 0 0 0 0 0 0 1 0 0 0 -1 0	-4 2 7 -2 -6 -3 1 -2 -6 -11 -5 8 3 -7 3 -5 -8	1 -19 -1 -9 -6 2 6 -7 -4 1 1 -1 4 0 6 5 0	-1 -2 0 0 -1 -1 1 1 -1 1 0 1 0 -1 0 0 0
36	67353	0x10719	2	3	1	3	19	0 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 0	-4 3 7 -3 -5 -5 1 -2 -7 -11 -6 8 2 -7 3 -6 -8	6 -23 -2 -15 -8 5 8 -8 -5 1 5 0 2 4 11 4 0	-1 0 0 -1 -1 0 0 0 1 1 1 0 0 0 0 0 -1
37	108232	0x1a6c8	2	3	1	3	21	0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 0	-4 2 7 -3 -6 -3 1 -2 -7 -11 -5 8 3 -8 3 -5 -8	-4 -45 -1 -12 -5 1 10 -14 -1 5 12 -4 11 0 9 11 1	0 -2 0 -1 -2 0 1 1 0 1 1 0 0 -1 0 1 -1
38	121741	0x1db8d	2	3	1	3	22	0 -1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1	-3 2 4 -2 -3 -3 -1 -1 -5 -7 -5 5 2 -5 3 -4 -5	-1 0 3 -5 -6 0 -7 1 5 5 -3 5 0 -6 3 9 0	-1 0 1 -1 0 0 0 -1 1 1 2 -1 -1 0 1 -1 -1
39	96287	0x1781f	2	3	1	3	18	0 -1 1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0	-3 1 5 -1 -4 -3 0 -1 -6 -7 -4 4 3 -6 3 -3 -6	9 -8 0 -19 -10 5 -4 0 1 4 2 9 -5 -1 13 10 -1	1 3 -1 -3 -1 2 -2 -2 2 0 2 -1 -1 1 -1 0 -1
40	66429	0x1037d	2	3	1	3	22	0 -1 1 0 0 0 0 0 0 0 0 0 0 0 0 -1 0	-2 1 5 -1 -5 -1 1 -1 -6 -8 -3 6 3 -7 3 -4 -6	2 -27 -1 -14 -7 3 5 -8 -2 3 6 1 4 0 10 9 0	-1 0 1 -1 -1 1 -1 0 1 1 2 0 0 0 0 0 -1
41	96794	0x17a1a	2	3	1	3	19	0 0 -1 0 0 0 0 -1 1 0 0 0 0 0 0 0 0	-5 3 7 -3 -5 -3 0 -3 -6 -11 -6 6 4 -7 2 -5 -8	-8 -28 -2 1 2 -3 10 -10 -3 0 6 -8 10 0 -1 2 1	2 -3 -2 1 -3 -2 2 2 -2 -1 -2 1 1 -1 -1 2 1
42	115556	0x1c364	2	3	1	3	17	0 0 -1 0 0 0 0 0 0 0 0 0 -1 0 0 1 0	-4 3 5 -2 -2 -5 -1 -2 -4 -7 -6 3 2 -3 1 -3 -6	-5 11 0 8 4 -4 -3 4 1 -2 -5 -1 -1 -3 -7 -3 0	2 0 -3 0 -2 -1 1 0 -1 -1 -2 0 0 0 -1 1 1
43	65947	0x1019b	2	3	1	3	18	0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 -1	-5 4 6 -3 -3 -5 0 -3 -5 -10 -6 6 1 -5 2 -7 -7	3 -11 -2 -6 -4 2 7 -5 -6 -2 -1 -2 2 3 4 -1 0	1 1 -2 -1 -1 0 0 -1 1 0 0 0 0 0 0 0 -1
44	62055	0x0f267	2	3	1	3	20	0 0 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 -1	-5 3 4 -3 -3 -3 0 -2 -3 -7 -5 5 0 -4 2 -5 -5	7 -18 -2 -14 -11 5 8 -8 -7 0 -3 0 3 2 10 4 0	-1 -1 -1 0 0 -1 1 0 0 1 0 0 -1 -1 1 -1 0
45	6941	0x01b1d	2	3	1	3	17	0 0 -1 0 0 0 0 0 0 0 1 0 0 -1 0 0 0	-5 3 5 -4 -3 -5 0 -2 -5 -7 -7 5 1 -5 2 -4 -6	12 -20 -3 -18 -10 8 9 -7 -6 0 5 1 -1 6 14 2 0	-1 0 -1 -1 -1 0 0 0 1 1 0 -1 -1 0 0 0 0
46	81584	0x13eb0	2	3	1	3	19	0 0 -1 0 0 0 0 0 0 0 1 0 0 0 1 0 0	1 0 -3 0 4 -1 0 1 4 5 1 -3 -3 5 -2 2 4	2 24 -1 12 6 0 2 5 -4 -6 -5 -4 -4 5 -8 -14 0	0 -2 0 2 1 -3 2 1 -2 -1 -3 1 1 -1 0 0 1
47	21655	0x05497	2	3	1	3	21	0 0 -1 0 0 0 0 0 1 0 0 -1 0 0 0 0 0	-4 3 7 -3 -4 -4 0 -3 -7 -10 -7 6 4 -7 2 -5 -8	-6 -19 -2 5 6 -2 9 -6 -2 -2 9 -8 6 2 -3 -3 1	1 -1 -1 0 -3 0 0 1 0 0 -1 0 1 0 -1 2 0
48	33478	0x082c6	2	3	1	3	19	0 0 -1 0 0 0 0 0 1 0 0 0 0 0 -1 0 0	-4 3 7 -3 -5 -4 0 -3 -6 -11 -6 7 3 -6 2 -5 -8	-8 -22 0 1 1 -3 5 -7 1 2 5 -5 8 -2 -1 4 1	0 -1 -1 0 -2 0 1 1 0 1 0 0 0 0 0 1 0
49	65912	0x10178	2	3	1	3	20	0 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 1 0	2 -1 -3 1 4 -1 -1 1 4 6 1 -4 -2 6 -2 4 4	-5 43 3 22 11 -5 -11 14 6 -3 -8 0 -7 -3 -16 -11 0	0 0 0 1 1 -1 1 0 -1 0 -2 0 0 0 0 0 1
50	107212	0x1a2cc	2	3	1	3	18	0 0 -1 0 0 1 0 0 0 0 0 0 0 0 0 -1 0	-5 3 7 -4 -5 -4 1 -3 -6 -11 -6 8 2 -7 2 -6 -8	0 -44 -3 -11 -4 3 16 -15 -6 1 12 -7 10 5 9 4 1	0 -2 -1 -1 -2 0 1 1 0 1 0 0 0 -1 0 1 -1
51	51050	0x0c76a	2	3	1	3	20	0 0 -1 0 1 0 0 -1 0 0 0 0 0 0 0 0 0	-5 3 7 -3 -4 -5 -1 -3 -6 -11 -7 6 4 -6 2 -5 -8	-3 1 1 2 1 -2 -2 1 2 1 0 0 0 -2 -2 1 0	2 -1 -2 -1 -2 -1 1 0 -1 -1 -1 0 0 0 -1 1 0
52	50447	0x0c50f	2	3	1	3	17	0 0 -1 0 1 0 0 0 0 0 -1 0 0 0 0 0 0	-4 2 7 -2 -4 -4 -1 -3 -6 -10 -7 6 5 -6 2 -4 -8	-6 14 2 12 7 -4 -5 6 4 -1 -1 -1 -2 -4 -9 -3 0	1 -1 -1 -1 -2 0 0 0 -1 0 -1 0 0 0 -1 1 0
53	125415	0x1e9e7	2	3	1	3	19	0 0 -1 0 1 0 0 0 0 0 0 -1 0 0 0 0 0	-4 3 7 -3 -3 -6 -1 -3 -7 -10 -8 6 4 -6 2 -5 -8	-1 10 1 6 5 -1 -3 5 3 -1 3 0 -4 0 -4 -4 0	1 1 -1 -2 -2 1 -1 -1 1 0 0 -1 0 1 -1 1 -1
54	66075	0x1021b	2	3	1	3	17	0 0 -1 0 1 0 0 0 0 0 0 0 0 0 0 -1 0	-4 3 7 -3 -4 -5 0 -3 -6 -11 -7 8 3 -6 2 -6 -8	1 1 0 2 1 1 3 0 -2 -2 1 -2 -1 2 -1 -4 0	-1 -1 0 -1 -1 0 0 0 0 1 0 0 0 0 0 0 -1
55	125927	0x1ebe7	2	3	1	3	26	0 0 0 -1 -1 0 0 0 0 0 0 1 0 0 0 0 0	-5 3 5 -3 -4 -3 2 -2 -5 -7 -5 5 1 -6 2 -5 -6	10 -40 -6 -21 -10 8 19 -15 -13 -2 8 -4 5 9 16 2 0	1 -1 -3 0 -2 -1 1 1 -1 -1 -2 1 0 -1 -1 1 1
56	50538	0x0c56a	2	3	1	3	20	0 0 0 -1 -1 0 0 1 0 0 0 0 0 0 0 0 0	-4 3 5 -3 -3 -4 2 -2 -6 -6 -6 5 1 -6 2 -5 -6	12 -31 -6 -17 -6 9 18 -11 -12 -4 11 -4 1 11 14 -3 0	0 1 -2 -1 -2 1 -1 0 1 0 -1 0 0 0 -1 1 0
57	24765	0x060bd	2	3	1	3	20	0 0 0 -1 0 -1 0 0 0 1 0 0 0 0 0 0 0	-4 3 5 -3 -4 -4 2 -2 -7 -7 -6 5 2 -7 3 -5 -6	17 -5 -3 -18 -9 10 8 -3 -9 -3 3 3 -7 9 14 -3 -1	-1 2 -1 -1 -1 1 -2 -1 2 0 0 0 0 1 -1 0 0
58	121774	0x1dbae	2	3	1	3	21	0 0 0 -1 0 -1 0 0 1 0 0 0 0 0 0 0 0	-3 3 5 -2 -3 -3 1 -2 -6 -7 -6 5 3 -6 2 -5 -6	2 -5 -3 1 2 2 9 -3 -7 -5 3 -5 0 5 0 -7 0	0 -1 -1 1 -2 -1 0 1 -1 -1 -2 1 1 0 -1 1 1
59	125060	0x1e884	2	3	1	3	18	0 0 0 -1 0 0 0 -1 0 0 0 1 0 0 0 0 0	-5 3 5 -3 -4 -3 1 -2 -5 -8 -5 5 2 -6 2 -5 -6	4 -30 -3 -15 -8 4 11 -11 -7 1 5 -2 5 4 11 5 0	2 -2 -3 0 -2 -2 2 1 -2 -2 -2 1 0 -1 -1 1 1
