curve_id	snapshot_rank_lower_bound	marked_U	native_anchor	parameter_height_bits	deep_equation_rank	generic_intersection_with_native_anchor	displayed_quotient_rank	complete_split_count	complete_split_span_rank	visible_extension_intersection_with_native_anchor	first_split_priority_rank	splits_in_first_1000	splits_in_first_5000	splits_in_first_10000	splits_in_first_20000	splits_in_first_39147
12	29	norm12-orbit-08ab4	0	126	13	17	12	0	0	17		0	0	0	0	0
12	29	norm12-orbit-091e4	0	121	18	17	12	0	0	17		0	0	0	0	0
12	29	norm12-orbit-098fc	0	92	39	17	12	0	0	17		0	0	0	0	0
12	29	norm12-orbit-10f72	0	88	34	17	12	0	0	17		0	0	0	0	0
12	29	norm12-orbit-1183a	0	114	36	17	12	0	0	17		0	0	0	0	0
12	29	norm12-orbit-11952	1	99	11	17	12	0	0	17		0	0	0	0	0
395	28	norm12-orbit-08ab4	0	126	13	17	11	2	2	19	23874	0	0	0	0	2
395	28	norm12-orbit-091e4	0	119	18	17	11	2	2	19	28940	0	0	0	0	2
395	28	norm12-orbit-098fc	0	84	39	17	11	2	2	19	1513	0	1	1	2	2
395	28	norm12-orbit-10f72	0	77	34	17	11	2	2	19	6615	0	0	1	2	2
395	28	norm12-orbit-1183a	0	113	36	17	11	2	2	19	6001	0	0	1	2	2
395	28	norm12-orbit-11952	1	98	11	17	11	2	2	19	9384	0	0	1	1	2
363	27	norm12-orbit-08f72	1	123	15	17	10	3	2	19	15689	0	0	0	1	3
363	27	norm12-orbit-09952	0	123	38	17	10	3	2	19	15797	0	0	0	1	3
363	27	norm12-orbit-0ae21	0	104	41	17	10	3	2	19	850	1	1	1	1	3
363	27	norm12-orbit-135b7	0	115	28	17	10	3	2	19	19453	0	0	0	1	3
364	28	norm12-orbit-08f72	1	125	15	17	11	2	1	18	30681	0	0	0	0	2
364	28	norm12-orbit-09952	0	125	38	17	11	2	1	18	5739	0	0	1	1	2
364	28	norm12-orbit-0ae21	0	107	41	17	11	2	1	18	7581	0	0	1	2	2
364	28	norm12-orbit-135b7	0	116	28	17	11	2	1	18	11870	0	0	0	2	2
378	24	norm12-orbit-08f72	1	122	15	17	7	13	6	23	788	1	1	2	8	13
378	24	norm12-orbit-09952	0	121	38	17	7	13	6	23	2383	0	2	2	8	13
378	24	norm12-orbit-0ae21	0	100	41	17	7	13	6	23	1519	0	3	4	9	13
378	24	norm12-orbit-135b7	0	113	28	17	7	13	6	23	4486	0	1	4	8	13
