path	rank_before	direction	stage_local_numerator	retained_numerator	stage_local_scaled_height	retained_scaled_height
historical_tail	24	residual-strict-06	155952477	135591028	38.98811925	33.897757
historical_tail	25	residual-strict-04	94901115	94901115	23.72527875	23.72527875
historical_tail	26	residual-strict-02	95130231	95130231	23.78255775	23.78255775
historical_tail	27	residual-strict-01	104335070	86289354	26.0837675	21.5723385
historical_tail	28	residual-strict-05	101481848	93353065	25.370462	23.33826625
historical_tail	29	residual-strict-03	84569501	84569501	21.14237525	21.14237525
historical_tail	30	residual-strict-07	90991547	79768429	22.74788675	19.94210725
global_minimax	17	recovered-local-01	102309244	102309244	25.577311	25.577311
global_minimax	18	recovered-local-02	100995236	100995236	25.248809	25.248809
global_minimax	19	recovered-local-03	121034893	121034893	30.25872325	30.25872325
global_minimax	20	recovered-local-04	123778523	123778523	30.94463075	30.94463075
global_minimax	21	recovered-strict-01	110782556	110782556	27.695639	27.695639
global_minimax	22	recovered-strict-03	113771623	113771623	28.44290575	28.44290575
global_minimax	23	recovered-strict-02	94858137	94858137	23.71453425	23.71453425
global_minimax	24	residual-strict-01	121598931	114159175	30.39973275	28.53979375
global_minimax	25	residual-strict-02	101707240	101707240	25.42681	25.42681
global_minimax	26	residual-strict-03	133938088	110518657	33.484522	27.62966425
global_minimax	27	residual-strict-04	79684656	79684656	19.921164	19.921164
global_minimax	28	residual-strict-05	91762065	91762065	22.94051625	22.94051625
global_minimax	29	residual-strict-06	83981716	83981716	20.995429	20.995429
global_minimax	30	residual-strict-07	90991547	79768429	22.74788675	19.94210725
global_minimum_total	17	recovered-local-01	102309244	102309244	25.577311	25.577311
global_minimum_total	18	recovered-local-04	128969499	128969499	32.24237475	32.24237475
global_minimum_total	19	recovered-local-02	77975507	77975507	19.49387675	19.49387675
global_minimum_total	20	recovered-local-03	121034893	121034893	30.25872325	30.25872325
global_minimum_total	21	recovered-strict-01	110782556	110782556	27.695639	27.695639
global_minimum_total	22	residual-strict-02	126159293	126159293	31.53982325	31.53982325
global_minimum_total	23	residual-strict-07	101532155	101532155	25.38303875	25.38303875
global_minimum_total	24	recovered-strict-03	63739858	63739858	15.9349645	15.9349645
global_minimum_total	25	recovered-strict-02	94858137	94858137	23.71453425	23.71453425
global_minimum_total	26	residual-strict-03	133938088	110518657	33.484522	27.62966425
global_minimum_total	27	residual-strict-06	145671404	115124138	36.417851	28.7810345
global_minimum_total	28	residual-strict-04	57337807	57337807	14.33445175	14.33445175
global_minimum_total	29	residual-strict-01	73384246	73384246	18.3460615	18.3460615
global_minimum_total	30	residual-strict-05	91762065	91762065	22.94051625	22.94051625
