orbit_mask	category	minimum_norm	reduced_basis_w	parent_MW17_w	lattice_class_at_minimum
7	genus_one	8	-1 -1 1 -2 2 0 0 -2 0 2 0 0 0 -2 0 0 0	-1 -1 0 -1 0 0 0 0 0 0 0 0 -2 2 2 0 0	2O+4F+phi(w)
13	genus_one	8	-1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	-1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
19	genus_one	8	-1 -1 2 0 1 0 0 -2 -2 0 2 -2 0 0 2 0 -2	-1 1 2 0 0 2 -1 0 0 0 -2 2 0 -2 0 2 -2	2O+4F+phi(w)
25	genus_one	8	1 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0	1 0 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
31	genus_one	8	1 1 -1 1 -1 0 0 2 0 -2 2 0 0 2 0 -2 0	1 -1 -1 -1 0 -2 -1 0 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
37	genus_one	8	-1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	-1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
41	genus_one	8	-1 0 0 -1 0 1 0 -2 0 2 -2 0 0 -2 0 2 0	-1 2 1 0 1 2 0 0 0 0 0 2 0 -4 -2 2 0	2O+4F+phi(w)
42	genus_one	8	0 1 0 1 0 -1 0 2 0 -2 2 0 0 2 0 -2 0	0 -1 -1 0 -1 -2 0 0 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
43	genus_one	8	1 1 0 1 0 -1 0 2 0 -2 2 0 0 2 0 -2 0	1 -1 -1 0 -1 -2 0 0 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
44	genus_one	8	0 0 1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0	0 0 -1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
45	genus_one	8	-1 0 1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0	-1 0 -1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
46	genus_one	8	0 1 -1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0	0 1 -1 -1 1 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
47	genus_one	8	-1 -1 1 -1 0 1 0 -2 0 2 -2 0 0 -2 0 2 0	-1 1 1 1 1 2 0 0 0 0 0 2 0 -4 -2 2 0	2O+4F+phi(w)
49	genus_one	8	-1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	-1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
55	genus_one	8	-1 -1 1 0 1 1 0 -2 -2 0 2 -2 0 0 2 0 -2	-1 1 2 -1 1 2 -1 0 0 0 -2 2 0 -2 0 2 -2	2O+4F+phi(w)
56	genus_one	8	0 0 0 1 1 -1 0 0 0 0 0 0 0 0 0 0 0	0 0 1 0 -1 0 1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
57	genus_one	8	-1 0 0 1 1 -1 0 0 0 0 0 0 0 0 0 0 0	-1 0 1 0 -1 0 1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
58	genus_one	8	0 -1 0 1 1 -1 0 0 0 0 0 0 0 0 0 0 0	0 -1 1 0 -1 0 1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
59	genus_one	8	1 1 0 1 -1 -1 0 2 0 -2 2 0 0 2 0 -2 0	1 -1 -1 0 -1 -2 -1 0 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
61	rational	10	1 0 1 1 -1 1 0 0 -2 -2 2 -2 0 2 2 -2 -2	1 0 1 -1 1 0 -1 0 0 0 0 0 0 0 0 0 -2	2O+4F+phi(w)
67	genus_one	8	-1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0	-1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
69	genus_one	8	1 2 -3 2 -2 0 -1 2 2 -2 2 0 -2 2 0 0 0	1 0 0 1 0 0 0 -1 0 0 0 0 2 -2 0 0 0	2O+4F+phi(w)
70	genus_one	8	0 1 -1 0 0 0 -1 2 2 -2 0 0 0 0 -2 0 2	0 -1 0 1 -2 -2 0 1 0 2 0 -2 0 2 0 -2 2	2O+4F+phi(w)
71	genus_one	8	-1 1 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	-1 1 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
74	genus_one	8	-2 1 0 1 0 0 1 0 0 0 0 0 0 0 -2 0 0	0 1 1 -2 0 -2 -2 1 2 0 0 0 0 2 0 -2 0	2O+4F+phi(w)
75	genus_one	8	1 1 0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0	1 1 -1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
78	genus_one	8	0 1 -1 1 0 0 -1 0 0 0 0 0 0 0 0 0 0	0 1 1 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
79	genus_one	8	-1 1 -1 1 0 0 1 0 0 0 0 0 0 0 0 0 0	-1 1 1 -1 0 0 0 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
81	genus_one	8	-1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	-1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
82	genus_one	8	0 1 0 0 1 0 -1 0 0 0 0 0 0 0 0 0 0	0 1 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
83	genus_one	8	-1 1 0 0 1 0 -1 0 0 0 0 0 0 0 0 0 0	-1 1 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
87	rational	10	1 -1 1 0 -1 0 1 -2 -2 2 0 0 0 0 2 0 -2	1 1 0 -1 2 2 -1 -1 0 -2 0 2 0 -2 0 2 -2	2O+4F+phi(w)
90	genus_one	8	0 1 -2 1 -1 0 1 0 0 0 0 0 0 0 0 0 0	0 1 1 -2 0 0 -1 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
91	genus_one	8	1 1 -2 1 -1 0 -1 2 2 -2 2 0 -2 2 0 0 0	1 -1 -1 2 0 0 1 -1 0 0 0 0 2 -2 0 0 0	2O+4F+phi(w)
93	genus_one	8	1 2 -3 1 -1 0 -1 2 2 -2 2 0 -2 2 0 0 0	1 0 -1 1 0 0 1 -1 0 0 0 0 2 -2 0 0 0	2O+4F+phi(w)
97	genus_one	8	-1 0 0 0 0 -1 1 0 0 2 0 0 0 0 0 0 0	1 0 -2 -2 1 -2 0 -1 0 -2 2 0 0 2 2 0 0	2O+4F+phi(w)
