case,family,initial_rank,baseline_gain,selector_gain,baseline_literal_withheld_hits,selector_literal_withheld_hits,baseline_calls,selector_calls,baseline_cpu,selector_cpu
072b270b8069a6620745,074d9,19,1,1,1,1,1,1,2.4228349999999996,2.4730990000000004
7f8fce34cb669cb484e2,074d9,18,0,1,0,1,48,23,32.215057,18.075964
3723852b09e27dcf20b7,07ca9,18,1,1,1,1,26,26,16.776193999999997,18.655085
f59e544e28049096a2b5,07ca9,18,1,1,1,1,43,43,30.69083200000003,33.370498
459a4aca515bc2c048ec,08234,18,0,0,0,0,48,48,27.668109999999984,31.563412
0c67110b170c99810111,08234,18,1,1,0,0,10,1,7.244166000000007,2.1456669999999747
dc20c5383dac4f00ccee,08f72,19,1,1,0,1,23,4,17.565845000000024,4.729746999999975
24f2f4a7f4c4728122be,08f72,18,0,0,0,0,48,48,35.42525800000004,36.672279
1a4cdbac34ea225d6781,103b2,18,1,1,1,1,34,34,20.702962999999954,22.59871499999997
b2e9cedc5e8010d00eb7,103b2,18,1,1,1,1,2,2,2.9121339999999805,2.929206000000079
5ad21784beb91f2c7d3f,11952,18,1,1,1,1,5,5,4.190674999999999,4.250028999999984
e0748b1fe982bb8bd899,11952,20,1,1,1,1,2,2,2.7012470000000235,3.024427000000003
