case,parameter,rank,gain,charts,stop_reason,source,sha256,anchors,babai_ratio_max,babai_ratio_median,babai_ratio_min,babai_ratio_q10,babai_ratio_q25,babai_ratio_q75,babai_ratio_q90,centres,competitive_anchor_entropy,competitive_anchor_max_share,competitive_anchors,competitive_masks,competitive_seed_bit_entropy,coordinate_bits_max,coordinate_bits_median,coordinate_bits_min,coordinate_bits_q10,coordinate_bits_q25,coordinate_bits_q75,coordinate_bits_q90,cosets,cvp_max,cvp_median,cvp_min,cvp_q10,cvp_q25,cvp_q75,cvp_q90,extension0_cvp_max,extension0_cvp_median,extension0_cvp_min,extension0_cvp_q10,extension0_cvp_q25,extension0_cvp_q75,extension0_cvp_q90,extension1_cvp_max,extension1_cvp_median,extension1_cvp_min,extension1_cvp_q10,extension1_cvp_q25,extension1_cvp_q75,extension1_cvp_q90,gap_128,gap_32,gap_8,j_bits,masks_le_1,masks_le_1/2,masks_le_2,masks_le_3,masks_le_3/2,masks_le_4,masks_le_5/2,multiple_minimum_masks,multiplicity_max,multiplicity_median,multiplicity_min,multiplicity_q10,multiplicity_q25,multiplicity_q75,multiplicity_q90,quartic_bits_max,quartic_bits_median,quartic_bits_min,quartic_bits_q10,quartic_bits_q25,quartic_bits_q75,quartic_bits_q90,quartic_max_bits_max,quartic_max_bits_median,quartic_max_bits_min,quartic_max_bits_q10,quartic_max_bits_q25,quartic_max_bits_q75,quartic_max_bits_q90,raw_cvp_max,raw_cvp_median,raw_cvp_min,raw_cvp_q10,raw_cvp_q25,raw_cvp_q75,raw_cvp_q90,scale,seed_height_ratio,seed_schur_ratio,shell10_cvp_max,shell10_cvp_median,shell10_cvp_min,shell10_cvp_q10,shell10_cvp_q25,shell10_cvp_q75,shell10_cvp_q90,shell10_minima_pairs,shell8_cvp_max,shell8_cvp_median,shell8_cvp_min,shell8_cvp_q10,shell8_cvp_q25,shell8_cvp_q75,shell8_cvp_q90,shell8_minima_pairs,tail_ratio
curve302-seeded-v3-amplifier-v1__recovered-strict-02,,31,13,855,TARGET_LOWER_BOUND_REACHED,research/artifacts/local/elliptic-curves/curve302-seeded-v3-amplifier-v1/recovered-strict-02/seeded-verified.json,de38de24d2add96119cfbb8feb30961d7d6649938f95e759f10ab44d60bcd7c4,32,1.6794664017882848,1.1731227374679765,1.0,1.0,1.0403968597328186,1.2745353047815464,1.4758719254798367,114,2.321928094887362,0.2,5,5,-0.0,1913.0,967.0,471.0,743.0,806.0,1753.0,1827.0,64,4.438188478632432,2.368755152733938,1.4431763436614855,1.8696329364796782,2.080930943055115,4.079731595273423,4.229286675235929,2.368755152733938,2.080930943055115,1.4431763436614855,1.774802971591028,1.9086538467492558,2.2257101190313273,2.2722515129857257,4.438188478632432,4.079731595273423,3.3056746361459277,3.611808784388868,3.8654251877833654,4.213672242713785,4.338239187045496,,0.9255788090724528,0.4654775030877702,1312,0,0,13,32,1,45,32,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,598.0,594.0,567.0,582.0,587.0,596.0,597.0,185.0,122.0,119.0,120.0,121.0,127.0,139.0,286692667.0,153013946.0,93224539.0,120772260.0,134421430.0,263537508.0,273198284.0,64596776,76.31063520879123,2.253986886117465,4.438188478632432,2.368755152733938,2.0319041464236545,2.175307061764197,2.2035991393750054,4.079731595273423,4.263433054305992,32,4.379319379654489,2.2323787180957764,1.4431763436614855,1.774802971591028,1.9086538467492558,3.916945746642216,4.213672242713785,32,3.0752918713816326
curve302-seeded-v3-amplifier-v1__recovered-strict-03,,31,13,637,TARGET_LOWER_BOUND_REACHED,research/artifacts/local/elliptic-curves/curve302-seeded-v3-amplifier-v1/recovered-strict-03/seeded-verified.json,74f79e4fae788e45b05d950cda3b2e6430a8b594fe0d7b8795f9b2643f667a11,32,1.6794664017882848,1.1084009284378962,1.0,1.0,1.038201558832779,1.2134577902063657,1.4630183889506905,114,2.321928094887362,0.2,5,5,-0.0,3414.0,967.0,471.0,743.0,806.0,3218.0,3305.0,64,7.720031600338692,2.368755152733938,1.4431763436614855,1.8696329364796782,2.080930943055115,7.221301431514167,7.366925355531675,2.368755152733938,2.080930943055115,1.4431763436614855,1.774802971591028,1.9086538467492558,2.2257101190313273,2.2722515129857257,7.720031600338692,7.221301431514167,6.7774607667726325,6.965430736047879,7.063209222701764,7.3229238870992575,7.4450370092773674,,0.9255788090724528,0.4654775030877702,1312,0,0,13,32,1,32,32,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,598.0,594.0,567.0,582.0,587.0,596.0,597.0,185.0,122.0,118.0,120.0,121.0,128.0,139.0,498689152.0,153013946.0,93224539.0,120772260.0,134421430.0,466472791.0,475879627.0,64596776,40.27545747793977,5.401119480795032,7.720031600338692,2.368755152733938,2.0319041464236545,2.175307061764197,2.2035991393750054,7.309251378118313,7.4450370092773674,32,7.389924072990888,2.2323787180957764,1.4431763436614855,1.774802971591028,1.9086538467492558,7.181569138992324,7.273473679243683,32,5.349333526873219
curve302-seed-universality-panel-v1__recovered-strict-01,,,,,UNKNOWN_NO_SEALED_REPLAY,,,32,2.339819330511071,1.1980797715630398,1.0,1.0,1.0525872300147558,1.3861823876713293,1.618071880126432,114,2.321928094887362,0.2,5,5,-0.0,1244.0,934.0,471.0,743.0,797.0,1083.0,1167.0,64,2.9593739631835496,2.284117554102081,1.4431763436614855,1.8696329364796782,2.0778506345270236,2.6176913225514538,2.8358028580249885,2.368755152733938,2.080930943055115,1.4431763436614855,1.774802971591028,1.9086538467492558,2.2257101190313273,2.2722515129857257,2.9593739631835496,2.6176913225514538,2.0621684277246284,2.319713664966809,2.463274792537634,2.8007040010789392,2.8599177921820744,,0.8409412104405953,0.4654775030877702,1312,0,0,13,64,1,64,42,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,598.0,594.0,567.0,585.0,588.0,596.0,597.0,185.0,122.0,118.0,120.0,121.0,128.0,139.0,191166017.0,147546630.0,93224539.0,120772260.0,134222452.0,169094420.0,183183722.0,64596776,48.95335129418843,0.8761149245524038,2.8698950857857053,2.2980635906658873,2.0319041464236545,2.100653707547262,2.1914440435850855,2.5766535469200504,2.7742765056881478,32,2.9593739631835496,2.188874968001499,1.4431763436614855,1.774802971591028,1.9086538467492558,2.7295698627436145,2.841354265110692,32,2.0505976114293256
curve302-seed-universality-panel-v1__residual-strict-03,,31,13,385,TARGET_LOWER_BOUND_REACHED,research/artifacts/local/elliptic-curves/curve302-seed-universality-panel-v1/residual-strict-03/seeded-verified.json,9c6fded01e00e5bd615df169ea5f63186727ba1efa2a5c619c08eb3620565819,32,1.6794664017882848,1.075635179592452,1.0,1.0,1.0107603241827818,1.2075864640468785,1.4630183889506905,114,2.321928094887362,0.2,5,5,-0.0,3553.0,967.0,471.0,743.0,806.0,3367.0,3466.0,64,7.834832283270607,2.368755152733938,1.4431763436614855,1.8696329364796782,2.080930943055115,7.530609840342496,7.694152615294609,2.368755152733938,2.080930943055115,1.4431763436614855,1.774802971591028,1.9086538467492558,2.2257101190313273,2.2722515129857257,7.834832283270607,7.530609840342496,6.824761672316278,7.073989791688675,7.402231962784025,7.66567418163408,7.757315922392164,,0.9255788090724528,0.4654775030877702,1312,0,0,13,32,1,32,32,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,598.0,594.0,567.0,585.0,587.0,596.0,596.0,185.0,122.0,118.0,120.0,121.0,128.0,139.0,506104906.0,153013946.0,93224539.0,120772260.0,134421430.0,486453117.0,497017453.0,64596776,68.43159220515896,5.709052833782081,7.834832283270607,2.368755152733938,2.0319041464236545,2.175307061764197,2.2035991393750054,7.569746778074497,7.757315922392164,32,7.694152615294609,2.2323787180957764,1.4431763436614855,1.774802971591028,1.9086538467492558,7.478744016574449,7.6460538680753976,32,5.428880758530756
det1092-funnel-conic-split-seeds-v1__funnel-002537010,1926/2699,21,3,568,COMPLETE_FINITE_NO_GAIN,research/artifacts/local/elliptic-curves/det1092-funnel-conic-split-seeds-v1/amplifiers/funnel-002537010/trial-verified.json,4e922f3916cd5fe9c716399839d5073149c32c3e8deea29e2196533d57fdfae0,32,2.050703493547246,1.216799647252896,1.0,1.0,1.0863680582115225,1.4267351889095758,1.7773112221145142,114,4.43806727812881,0.06451612903225806,23,31,0.9629004147713269,745.0,567.0,425.0,468.0,529.0,626.0,668.0,64,2.702233994951865,2.15616229756024,1.7239127017220304,1.821195088369594,1.9973018381951295,2.323293295086903,2.4142281335012448,2.433983802574053,2.0749894657354444,1.7239127017220304,1.7856103641972676,1.8707496971324302,2.211130617858441,2.323293295086903,2.702233994951865,2.256880065397708,1.801172581515097,1.9914986657872071,2.084667088339786,2.367558845588867,2.4611876660182657,,0.43224959583820954,0.1358579534497525,909,0,0,16,64,0,64,63,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,418.0,415.0,407.0,413.0,414.0,416.0,417.0,119.0,90.0,83.0,84.0,85.0,96.0,109.0,113137495.0,90274492.0,72177008.0,76250040.0,83623301.0,97271955.0,101079227.0,41868134,1.0799615765058934,0.38989565677652144,2.702233994951865,2.25920990412422,1.821195088369594,1.9973018381951295,2.089358054505128,2.342700656303431,2.433983802574053,32,2.4611876660182657,2.060969447551687,1.7239127017220304,1.7856103641972676,1.8707496971324302,2.1856313682381927,2.3770460608538224,32,1.5675004843647717
det1092-funnel-conic-split-seeds-v1__funnel-020887854,2953/1671,18,0,114,COMPLETE_FINITE_NO_GAIN,research/artifacts/local/elliptic-curves/det1092-funnel-conic-split-seeds-v1/amplifiers/funnel-020887854/trial-verified.json,082104bc26795109666752686065fdcbda66b7d4aab401b966072fdc7a256309,32,2.0467793206934424,1.219163381319855,1.0,1.0,1.0,1.4579544926514898,1.7151952677452151,114,4.310443057719024,0.07407407407407407,21,27,0.9509560484549725,824.0,654.0,468.0,524.0,576.0,709.0,734.0,64,2.546184990572424,2.1223337300162584,1.656904672151597,1.839117687737987,1.9603289126031704,2.2351436732450662,2.338612779742689,2.4033269465790883,2.0604395676913074,1.656904672151597,1.7689949070166917,1.8955855350904847,2.2082587878815403,2.338612779742689,2.546184990572424,2.125573824811793,1.708330407413433,1.8988749483766802,1.9767623538549106,2.256084622688703,2.337909957284869,,0.46542905786466116,0.23586699169900513,1001,0,0,22,64,0,64,63,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,465.0,460.0,447.0,452.0,456.0,463.0,464.0,127.0,95.0,93.0,94.0,95.0,104.0,112.0,131185200.0,109347426.0,85367470.0,94755496.0,101000572.0,115159649.0,120490611.0,51522258,1.1558085245409857,0.2811680932003919,2.546184990572424,2.182286362527046,1.708330407413433,2.0162393115612285,2.104938005628558,2.259532025944981,2.371391020944773,32,2.3818505004186736,1.9746223273056085,1.656904672151597,1.7662261424955406,1.892955429088531,2.1223337300162584,2.2714879266355137,32,1.5367118177450967
det1092-small-conic-seed-v1__conic-small-01,5193/35630,18,0,114,COMPLETE_FINITE_NO_GAIN,research/artifacts/local/elliptic-curves/det1092-small-conic-seed-v1/amplifiers/conic-small-01/trial-verified.json,5fd89e33041d1b83e0786dfd84939e107f8288b8c18af193ecaed1b1931b978f,32,1.9729303119920631,1.2144104885882627,1.0,1.0,1.0193890709152005,1.3538285878485792,1.7067643844433715,114,2.2516291673878226,0.3333333333333333,5,6,1.0,863.0,679.0,387.0,588.0,629.0,730.0,769.0,64,2.4500828878198955,2.018163331288885,1.4104276921635357,1.7815950881379221,1.8853100749953555,2.142806571857891,2.241383814068447,2.2559532526544803,2.0205318625287974,1.6532973470151766,1.7815950881379221,1.8551071258037033,2.097407792456914,2.1828272009950074,2.4500828878198955,2.0038725856859836,1.4104276921635357,1.7896952878141792,1.917801279030074,2.197010322082385,2.3047536960291786,,0.6077356391253493,0.3792675956506436,1085,0,0,30,64,1,64,64,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,487.0,483.0,470.0,473.0,476.0,485.0,486.0,152.0,101.0,97.0,98.0,99.0,110.0,115.0,133039246.0,109586059.0,76586077.0,96740428.0,102372141.0,116354174.0,121706908.0,54299896,0.9405346743205548,0.25031768995081355,2.4500828878198955,2.097407792456914,1.4104276921635357,1.8477128574979222,1.9341509788527036,2.197010322082385,2.3047536960291786,32,2.258379850303949,1.952362376531992,1.6239965726637855,1.7286770125673905,1.8551071258037033,2.02697067780756,2.1666649048462268,32,1.7371205212665481
det1092-funnel-production-v1__funnel-006017106,2980/1967,18,0,114,COMPLETE_FINITE_NO_GAIN,research/artifacts/local/elliptic-curves/det1092-funnel-production-v1/amplifiers/funnel-006017106/trial-verified.json,0c94084288f372c69af7dd3b0817891bcea7961d96c1f8284bf8e7c1651ef673,32,2.3165315898971106,1.2063624307614362,1.0,1.0,1.0220705932712524,1.3999320921556602,1.5995094026048782,114,3.85216872360328,0.11764705882352941,15,17,0.8739810481273578,840.0,663.0,457.0,545.0,603.0,712.0,771.0,64,2.698620487426466,2.228648057405133,1.653300283146939,1.9222456060508113,2.0513016122567715,2.3701196664296336,2.487316951321999,2.4128529989010277,2.185878171827526,1.653300283146939,1.8296345982287154,1.9790381692417092,2.3176561535975178,2.375939098842847,2.698620487426466,2.2632015204602753,1.8054236576378564,2.0513016122567715,2.175222372486909,2.4389217971426724,2.569138359299244,,0.5753477742581938,0.28132385545284117,1013,0,0,13,64,0,64,58,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,459.0,444.0,452.0,456.0,462.0,463.0,133.0,95.0,92.0,94.0,94.0,100.0,113.0,130453001.0,107734240.0,79921569.0,92922554.0,99161202.0,114573066.0,120238456.0,48340625,1.2633009606309393,0.3899691898065041,2.589791691770638,2.3176561535975178,1.8054236576378564,2.164406935160644,2.205459879759519,2.4048148322451355,2.487316951321999,32,2.698620487426466,2.1103267489818345,1.653300283146939,1.8296345982287154,1.9495758898442046,2.2632015204602753,2.4389217971426724,32,1.6322627625090793
det1092-funnel-production-v1__funnel-019791672,1117/2193,18,0,114,COMPLETE_FINITE_NO_GAIN,research/artifacts/local/elliptic-curves/det1092-funnel-production-v1/amplifiers/funnel-019791672/trial-verified.json,abdddeb1c169f89c8468b70badc7c819d04bb06fc0a96cc426c13708cc5b721a,32,1.9646036724311728,1.2422849285283137,1.0,1.0,1.0717672397880544,1.3738327113565534,1.5818969371144982,114,4.384517131793098,0.07407407407407407,22,27,0.9182958340544896,836.0,660.0,473.0,549.0,588.0,705.0,755.0,64,2.5661142477013543,2.1927755487471785,1.7157981202748955,1.926660682795026,2.0018008239761587,2.293541626970696,2.3858375536975376,2.4743671196737282,2.0827357085501794,1.7157981202748955,1.851791917120033,1.9344416676230936,2.2363422572475318,2.285574165375386,2.5661142477013543,2.2729280090088193,1.957237614601982,2.0113317089451663,2.0949974708534715,2.352769437116546,2.426712675568541,,0.4769774284722828,0.2186435473481981,955,0,0,15,64,0,64,62,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,431.0,429.0,411.0,420.0,425.0,430.0,430.0,114.0,88.0,87.0,87.0,88.0,90.0,96.0,133234389.0,113850391.0,89085400.0,100033527.0,103934854.0,119082234.0,123874301.0,51920677,1.4960167410760072,0.3730565755031723,2.5661142477013543,2.2363422572475318,1.957237614601982,2.1079616508082126,2.1554194295270843,2.302575099319294,2.3858375536975376,32,2.447325022360552,2.036801523215886,1.7157981202748955,1.851791917120033,1.9344416676230936,2.2729280090088193,2.3736728818077624,32,1.4955805216118465
orbit8044-seed-factory-pilot-v1__orbit8044-000000,1004777772/6898189895,18,0,114,COMPLETE_FINITE_NO_GAIN,research/artifacts/local/elliptic-curves/orbit8044-seed-factory-pilot-v1/amplifiers/orbit8044-000000/trial-verified.json,fb5914508bbebbd81ea80461999be9d3ad49250c6a83b1ca049909d69f5370dc,32,2.07095754115677,1.1664975128847694,1.0,1.0,1.0023014741989213,1.3811162684439064,1.6360431352468947,114,4.567099536193326,0.06451612903225806,25,31,0.9992492479956565,1665.0,1306.0,945.0,1074.0,1161.0,1411.0,1456.0,64,2.6372547502467567,2.196491130502441,1.745625010407597,1.9054154893797512,1.973518862885885,2.3337495773480486,2.4045383977196546,2.4045383977196546,2.09940238119034,1.7776456081557128,1.9054154893797512,1.9405593589616685,2.311846665438857,2.3448453503176934,2.6372547502467567,2.196491130502441,1.745625010407597,1.934429709631811,2.0241317365263485,2.3500090050345284,2.433483145858901,,0.45086612009484406,0.1727121622502188,1931,0,0,16,64,0,64,62,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,858.0,855.0,839.0,847.0,851.0,856.0,857.0,227.0,176.0,172.0,173.0,174.0,187.0,206.0,264324836.0,220148303.0,174959224.0,190974587.0,197800402.0,233905342.0,241000312.0,100227267,1.1280077905346855,0.3836779983217279,2.4643745000050736,2.2923578870009496,1.745625010407597,1.9668290665852437,2.160805292635586,2.34348766588637,2.3803100806889206,32,2.6372547502467567,2.0372360447581594,1.7776456081557128,1.8687054990734209,1.9336868279567077,2.220111070174147,2.4191086643118784,32,1.5107796545782577
