index,shell_norm,branch_ascending,constant_representative,monic_branch_ascending,extension_representative_index,value_at_control,homogeneous_value_at_3_17,small_witness
0,10,"[""-68548306460874836602827246687840804138969057812429748204307/2893614380861402727943236305311700"",""-2440836421795046332190927653932353270670256345504674437113/144680719043070136397161815265585"",""191888849622561526227936832112946368998809930149161278110809/1533615621856543445809915241815201""]",191888849622561526227936832112946368998809930149161278110809/1533615621856543445809915241815201,"[""-3717052775341269142292459399/19632511806912100874781312100"",""-132355097656070386286035541/981625590345605043739065605"",""1""]",0,-1009206062363154703358603337587588882710094179416724003015970999/44321491471654105583906550488459308900,-1009206062363154703358603337587588882710094179416724003015970999/153361562185654344580991524181520100,"{""place"":""real"",""sign"":-1}"
1,10,"[""192058491457507755929372854350321020970196253881621420857/163400702637942477605463654400"",""-52331095735465396583227152853940257146769129426226572161/81700351318971238802731827200"",""312830754466555264851036018188921333283068243322978459361/4085017565948561940136591360000""]",312830754466555264851036018188921333283068243322978459361/4085017565948561940136591360000,"[""1720641419804765167425/112105338210056641681"",""-133951827729867789150/16015048315722377383"",""1""]",1,314248445861313943171537239266805503196238567111935953203881/295142519139783600174868725760000,314248445861313943171537239266805503196238567111935953203881/1021254391487140485034147840000,"{""place"":""11"",""prime"":11,""valuation"":4,""unit_modulus"":11,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
2,10,"[""490814786615374902138232039357593485793249/55607601861268230400"",""34341347811994798828899325753168046470071/505523653284256640"",""1090731228188514907142896317817436041713/18382678301245696""]",1090731228188514907142896317817436041713/18382678301245696,"[""1562571357916947747769/10504257214866406332825"",""72886701795502339434/63662164938584280805"",""1""]",2,22762224515285405405939976818887309645436481/1004412308619157411600,22762224515285405405939976818887309645436481/3475475116329264400,"{""place"":""29"",""prime"":29,""valuation"":0,""unit_modulus"":29,""unit_residue"":11,""unit_is_square"":false,""is_square"":false}"
3,10,"[""669278108480213987399970868434695443150/18254162255121"",""-1971259914222196485290654383261771600525/36508324510242"",""22714776814084964260336253939139688356025/292066596081936""]",22714776814084964260336253939139688356025/292066596081936,"[""89295224517824224/189413140608679849"",""-2155786131124232/3105133452601309"",""1""]",3,2494900919936617990081904592723486111315625/84407246267679504,2494900919936617990081904592723486111315625/292066596081936,"{""place"":""5"",""prime"":5,""valuation"":5,""unit_modulus"":5,""unit_residue"":4,""unit_is_square"":true,""is_square"":false}"
4,10,"[""616372448076942574162647183178072500939789729609337089729/2668211137695413417017999360000"",""-563928181282893059929069832486046278850956757846308174553/1334105568847706708508999680000"",""314577973555584354068031300709388885370592199851070051121/2668211137695413417017999360000""]",314577973555584354068031300709388885370592199851070051121/2668211137695413417017999360000,"[""27366344566169832935480521/13966959821304227806291129"",""-50075739003942820126659394/13966959821304227806291129"",""1""]",4,30860541191345392751713048682817683074284243088858653896841/192778254698493619379550453760000,30860541191345392751713048682817683074284243088858653896841/667052784423853354254499840000,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":2,""unit_is_square"":true,""is_square"":false}"
5,10,"[""22705385726315705907730391519330490836731012757083833/1489948637079374578182400"",""31961730923324591447516241773406320434262248446545253/3724871592698436445456000"",""5557204588922053354622756513096262598312288992580641/37248715926984364454560000""]",5557204588922053354622756513096262598312288992580641/37248715926984364454560000,"[""716691256650635425/7016484966706609"",""8586094150778510/149286914185247"",""1""]",5,11274806842801675956361060427513617880015007779912624889/672804931431155082960490000,11274806842801675956361060427513617880015007779912624889/2328044745436522778410000,"{""place"":""7"",""prime"":7,""valuation"":0,""unit_modulus"":7,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
6,10,"[""215803795431772081808443425491591273186502137384601/3406671022653928247296"",""6195489332567060138028341296450784218388112845475/1703335511326964123648"",""19871593175313154287679909741184843887995760539825/3406671022653928247296""]",19871593175313154287679909741184843887995760539825/3406671022653928247296,"[""5176766355098146047872649/476685754142272945691425"",""11889540928984303547862/19067430165690917827657"",""1""]",6,15794520282570447541327039991744630384041666764811641/246131981386746315867136,15794520282570447541327039991744630384041666764811641/851667755663482061824,"{""place"":""3"",""prime"":3,""valuation"":7,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
7,10,"[""43661079580388530008579751636448617805667201/102113081903493376"",""-62292959195911543765128467813292607306919463/51056540951746688"",""121729652527238771612180691031690177948020849/102113081903493376""]",121729652527238771612180691031690177948020849/102113081903493376,"[""1743918585714280089/4862147375076516361"",""-93891185904107238/91738629718424837"",""1""]",7,459983564593403540809129420328938512629013969/1844417541881849104,459983564593403540809129420328938512629013969/6382067618968336,"{""place"":""3"",""prime"":3,""valuation"":7,""unit_modulus"":3,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
8,10,"[""15784401254758937527935230799539597450563712286025/1984675825688025989376"",""-5675980706060940284178016957231776273947676663475/992337912844012994688"",""2278752951371174260624251419882378879321975853025/1984675825688025989376""]",2278752951371174260624251419882378879321975853025/1984675825688025989376,"[""8110453567164254329/1170885084891151249"",""-5832945731881736582/1170885084891151249"",""1""]",8,1421608915898244888115320395670541155250052419625/203682994894829371779,1421608915898244888115320395670541155250052419625/704785449463077411,"{""place"":""2"",""prime"":2,""valuation"":0,""unit_modulus"":8,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
9,10,"[""-76762825436829259945591439476639650005175900/770461088542838641"",""1250720902322334119264627876811463619486848800/770461088542838641"",""1510617092430830128338302356737647607422049600/770461088542838641""]",1510617092430830128338302356737647607422049600/770461088542838641,"[""-1690003827086438411/33257617250829299984"",""24093794256193090083/29100415094475637486"",""1""]",9,55197863299072855113264816919274614209131900100/222663254588880367249,55197863299072855113264816919274614209131900100/770461088542838641,"{""place"":""3"",""prime"":3,""valuation"":1,""unit_modulus"":3,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
10,10,"[""2838521288298293872531843568379014076207329728324104291/7748492823436544087987302400"",""-197395541927734330376301019533316577966390080758752043/774849282343654408798730240"",""406816837765312913039303997233849295190483676511171249/3409336842312079398714413056""]",406816837765312913039303997233849295190483676511171249/3409336842312079398714413056,"[""45438609058144914249/14800592994487995025"",""-6319754511936146754/2960118598897599005"",""1""]",10,2001950993445720508200381345918148959322377920125185527721/6158114671426193413927908582400,2001950993445720508200381345918148959322377920125185527721/21308355264450496241965081600,"{""place"":""3"",""prime"":3,""valuation"":6,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
