inventory_id,rank_lower_bound,family,parameter,exact_conductor,bad_primes
new-20260906-181,22,11952,-8/27,801759366600408255731113968344306127138129416996405428108788127367893872409350,"2, 3, 5, 13, 19, 29, 31, 43, 59, 179, 241, 1879835019086468714420738024608270734355035224005245572422003"
new-20260905-32,22,published-R17,8/39,911231391074855332349795970923663602961904548966497148044224375620818789051518330,"2, 3, 5, 7, 13, 43, 101, 274931, 279545486272452347836051830001628366387973742373506943098867652104837"
new-20260905-21,22,074d9,148/225,670373298841033739202069641309199497640356293000192246978274830742323614464446791198251790655177299525669651451746,"2, 3, 11, 13, 17, 23, 1453, 1375267083219806174236838313008212861765411582074037323786373402794808322587188669254634656508210549495919"
new-20260906-61,22,07ca9,267/1004,4521565772309880196618649097045466221221873631378819270673809807403003660881763091304517126896141961382621388047670,"2, 3, 5, 7, 13, 71, 73, 45650649062823730446491979091625029632073878681581377175429614239231400858174922295118668525742663733745959"
new-20260906-182,22,11952,1737/530,806984325387205110809216586186438288196563253029356159354371060595056511150162115107976568267796917315620403004639852280,"2, 3, 5, 13, 31, 41, 407000507064498532756973403834270556293531871244808327459889780202877055796042947763711477066209181804969034580403"
new-20260906-179,22,103b2,3371/300,6235344010427332011901011499153173599069982932652229199762864166044415991503332506243898657470036711844176813242050243048047362240,"2, 3, 5, 7, 13, 37, 47, 241, 170306478528069049935552578136714543725427098764194500812902516916818249684087372276584437540983193647340570762196902741"
new-20260906-162,23,103b2,48/7,110849033292895360421492483237869176560078004425738502597529064825902278436441593884430,"2, 3, 5, 13, 19, 107, 809, 1150763, 20311832953, 120400881955301, 84573901001501517449, 726073130920065032735183411"
new-20260906-150,23,07ca9,197/116,88053884546969679646944768830441811358822794449367609944101157304055215517484276188231318950,"2, 3, 5, 7, 13, 19, 31, 43, 103, 139, 641, 27753775032652718645292675234471298127244235269436344888791248753730416297417"
new-20260906-156,23,08f72,146/59,5499651507576245582484825006970546447950992801312355670923864388740418813199406558698505551185470,"2, 3, 5, 7, 11, 13, 19, 31, 59, 5270023260938313106502357825546199886989160975052070095141220695738722456789281870708599"
new-20260906-163,23,11952,1490/943,1561537643446637417157022924833271926034834351552863137722689284647831323640454704394090449721979035019228113654585574359130,"2, 3, 5, 13, 19, 41, 61, 84259826080182632326665712923104546361473459283107978817794840749143329099693709797813152726600535765139456425504593"
new-20260906-129,24,07ca9,561/26,65299116602761260811134096289647491770735079407434392438493418693062366940950611956611306283770,"2, 3, 5, 7, 11, 13, 31, 43, 83, 89153, 130699, 3069090953, 549573453494686110386155970094380974316178381865133798393490782791"
new-20260906-127,24,07ca9,117/238,117458315676847146070466048767855301733527973980432005319797727844125685261993532166985363065790,"2, 3, 5, 13, 29, 31, 41, 53, 79, 83, 163, 5557, 4440698758310599, 60842634817302345218896409, 96074300848906709818921598124666079"
new-20260906-54,25,103b2,-538/249,1315832847984114216697355753574011416390661831087186710614663379625564897539845716127627832975944210,"2, 3, 5, 7, 11, 13, 17, 31, 37, 71, 24673962589439033159882198151250961, 183247374789600018936242367112297781227420215182024429"
new-20260906-43,25,08f72,1361/72,2192005663380363769364806399693064686531243996681370092094996938146606668700417281778807973344664494,"2, 3, 13, 19, 29, 37, 61, 1433, 2085729214309277, 24142122236524966049886173641, 313173028493622921802181686060819944507019619"
new-20260906-77,25,07ca9,21/1196,449515095005900411794639022612129885798765864799724066590498253279405009386835400026743659112408637890,"2, 3, 5, 7, 11, 13, 41, 71, 73, 109, 2857, 226197158044630073355925930234959312162940114663869759940990385205777830301102525728317"
new-20260906-121,25,11952,914/2111,418189140419344790253296335847698039522616389843612635843785058591986978439648644809731641806362274934201130,"2, 3, 5, 11, 13, 29, 31, 47, 59, 39102623587347476417651106234485696865751267854717376269826982245674074465804869103942219883867211"
new-20260906-117,25,103b2,-2101/756,8078214405889348818984907344844401924544894094879221256245341454772897305242023985859744088595059045640286952903551981547628289920,"2, 3, 5, 11, 13, 23, 29, 4010140514358875085554462986662859926394525884943346258492923285046177495943910586952502813574071120451518793658415538311"
new-20260906-52,25,08f72,-164/2855,7740603480452308766057061901479547950498153803367371805843407026245748349016934854392727855887778545629028216505291403470051825331350,"2, 3, 5, 11, 13, 23, 41, 43, 71, 89, 1408377313374183674124629026618592065200959684206348589675166369381426404084649383509601603388481336395952300626608268973"
new-20260906-92,26,a1-fibration-02,3161/432,178321887387254814419033031050910811472177334674674639168272857236608886001857928328384699652646249158710,"2, 3, 5, 7, 13, 19, 23, 29, 31, 41, 283, 3691, 3408066824933, 7157927821735015295533, 53048104164325577339746005745829265539013919930274219"
new-20260906-74,26,07ca9,613/828,2298978182736113417664445949676012257782683740643172796428413891663144341470616484786131277338382009274482270,"2, 3, 5, 7, 13, 17, 31, 71, 97, 760939, 8399077, 6796808864130409, 5341276264831353705502460207209351320765069054807913501220169449660213"
new-20260906-73,26,074d9,1175/1901,15021923296968946795873582180440511986992013572991741062807299554498253924990553105180363918826063785370762024084069583570,"2, 5, 7, 11, 13, 19, 29, 43, 53, 79, 83, 2002852480362294680308677711153599599178068372330976087552482493767569184606133168202740202347554612256659"
