id,rank_lower_bound,family,parameter,a1,a2,a3,a4,a6,source_certificate,source_curve_index
new-20260906-40,27,074d9,2818/1535,0,0,0,-1434254277194995172799431087202781675244846491861/3,3216853742735834212829428053814243003487320547835308197954106937159277070/27,fresh_r17_paired_results_v1.json,2
new-20260906-41,27,11952,-2448/11,0,0,0,-73638770463368896155658739236788695946790736476801/48,625621344831082622254800326088053838167425185771052959551759466765851226049/864,fresh_r17_paired_results_v1.json,21
new-20260906-42,26,074d9,808/2259,0,0,0,-1585031051695091937747739253188611009079447837130641/48,61496236315342289631268449514624434329872857537085722596781789471007164325561/864,fresh_r17_paired_results_v1.json,3
new-20260905-37,26,07ca9,-2507/3068,0,0,0,-434079650469995527144619383465343526875435038587/16,58509832513749215242763343108759246836786932442993054548380583713031083/32,compact_r17_wide_results_v1.json,3
new-20260905-38,25,074d9,-1525/1388,0,0,0,-309445502149730347377475086910980232377181627/16,1071548284863230298673779520728500993318435183512806717286135341323/32,compact_r17_wide_results_v1.json,14
new-20260905-39,25,07ca9,-951/1696,0,0,0,-664554592892541802804824312334142842275401558057041/48,12780220916552963549905512025534476329882640821827984412624590449647281427161/864,compact_r17_wide_results_v1.json,9
new-20260905-01,25,07ca9,505/794,0,0,0,-16952902416795925705656229789436206106193248427/16,458406201216759011051366051323983779066110951921647401417011905917715/32,compact_atlas_new_curves_v1.json,2
new-20260906-43,25,08f72,1361/72,0,0,0,-1166529485414215121851628630668507520291761/48,1211794668018045080300190620013811708371025434267539874101733865/864,fresh_r17_paired_results_v1.json,14
new-20260906-44,25,11952,-328/1123,0,0,0,-204565758464553978400412293781752260912961409048161/48,3004785518718538979605108592025760534668242591225646237252584893776921645841/864,fresh_r17_paired_results_v1.json,22
new-20260905-02,25,a1-fibration-04,-1647/91,0,0,0,-688476773111137102191821490424049994483325/3,1165101516390718509105968564565796805019364325383105630925333750/27,prospective_mw16_wide_results_v1.json,8
new-20260905-03,25,a1-fibration-05,307/206,0,0,0,-535750969840829740897764793770405974603361676/3,24589206923553926770353853410094380931395147018679997419164380037680/27,prospective_mw16_results_v1.json,19
new-20260905-04,24,08f72,-704/93,0,0,0,-1953339915976630708387448400388367898527758561/48,85898541079387608928609518805639183682509209880715629005472449881809/864,compact_atlas_new_curves_v1.json,4
new-20260906-45,24,103b2,503/138,0,0,0,-1676536291308444611113603125748473604919683381/3,132699980618984908854872983107740307144979249377990581118720951920558/27,fresh_r17_paired_results_v1.json,17
new-20260906-46,24,103b2,791/627,0,0,0,-7353275828892783846811931191050399152359982124076/3,39768655473299983107185715477282096457327585546181517863818270232143807148/27,fresh_r17_paired_results_v1.json,18
new-20260905-05,24,a1-fibration-01,787/103,0,0,0,-1325752240777218002145920208483633420289887,582082004562542708354066813556759282533765959310932974042795234,prospective_mw16_results_v1.json,0
new-20260905-33,24,a1-fibration-05,-109/521,0,0,0,-62763056795322194997200979348328243403020527841/48,14446050775793303630707128524910306694497600187259958699670211042823889/864,prospective_mw16_next12_results_v1.json,1
new-20260905-06,24,a1-fibration-05,-227/647,0,0,0,-20483662428231541101883631759362676774512081/48,85563746365229895007456893270709906512724000602494250775028618521/864,prospective_mw16_results_v1.json,14
new-20260905-07,24,a1-fibration-05,509/149,0,0,0,-189461402500518538661377655666681632349036401/48,4522075074255977644251158185388404838157426025220205234051095616649/864,prospective_mw16_results_v1.json,9
new-20260905-08,24,published-R17,-2300/843,0,0,0,-129476809791893687611484370859574682138615020208481/48,1482601351276189465313463501930713510264485060214422487764403004257602527121/864,compact_r17_top64_interim_curves_v1.json,3
new-20260905-09,24,published-R17,-695/97,0,0,0,-5600579676870189262277477545579208601200802267/16,79027524100372328276926578662446553518845833305825784880367954405563/32,compact_r17_wide_new_curves_v1.json,0
