id,family,parameter,rank_lower_bound,reference_rank,certified_free_quotient_rank,full_rank_upper_bound,epsilon_scope,origin,galois_group,coefficient_bits,score_units,chart_count
ICARM-398,curve398-p16875,,30,16,14,UNKNOWN,full epsilon_M=0,historic_oracle,S3,304,,
ICARM-356,published-R17,,29,17,12,UNKNOWN,full epsilon_M=0,historic_oracle,S3,280,,
ICARM-385,published-R17,,29,17,12,UNKNOWN,full epsilon_M=0,historic_oracle,S3,316,,
ICARM-400,curve400-p53042,,28,16,12,UNKNOWN,full epsilon_M=0,historic_oracle,S3,271,,
ICARM-543,norm12-orbit-07ca9,,29,17,12,UNKNOWN,full epsilon_M=0,historic_oracle,S3,292,,
ICARM-401,curve401-p57487,,27,16,11,UNKNOWN,full epsilon_M=0,historic_oracle,S3,234,,
control-r28,published-R17,-9529/5471,28,17,11,UNKNOWN,full epsilon_M=0,historic_oracle,S3,280,,
ICARM-542,curve542-p30486,,26,16,10,UNKNOWN,full epsilon_M=0,historic_oracle,S3,232,,
control-r27,published-R17,2456/135,27,17,10,UNKNOWN,full epsilon_M=0,historic_oracle,S3,257,,
07ca9:-2507/3068,07ca9,-2507/3068,26,17,9,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,236,98169507050054,43
a1-fibration-04:-1647/91,a1-fibration-04,-1647/91,25,16,9,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,210,96691200635775,43
a1-fibration-04:-1905/52,a1-fibration-04,-1905/52,25,16,9,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,222,,43
a1-fibration-05:307/206,a1-fibration-05,307/206,25,16,9,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,224,93223654229337,43
control-r26,published-R17,-308/251,26,17,9,UNKNOWN,full epsilon_M=0,historic_oracle,S3,230,,
07ca9:505/794,07ca9,505/794,25,17,8,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,229,96050291406849,43
ICARM-351,published-R17,,25,17,8,UNKNOWN,full epsilon_M=0,historic_oracle,S3,210,,
ICARM-548,curve548-p31627,,24,16,8,UNKNOWN,full epsilon_M=0,historic_oracle,S3,199,,
a1-fibration-01:787/103,a1-fibration-01,787/103,24,16,8,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,209,,43
a1-fibration-05:-109/521,a1-fibration-05,-109/521,24,16,8,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,234,,43
a1-fibration-05:-227/647,a1-fibration-05,-227/647,24,16,8,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,216,,43
a1-fibration-05:-34/87,a1-fibration-05,-34/87,24,16,8,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,184,,43
a1-fibration-05:509/149,a1-fibration-05,509/149,24,16,8,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,222,,43
control-r25,published-R17,-2/377,25,17,8,UNKNOWN,full epsilon_M=0,historic_oracle,S3,219,,
08f72:-704/93,08f72,-704/93,24,17,7,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,226,,
a1-fibration-03:478/49,a1-fibration-03,478/49,23,16,7,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,227,,43
a1-fibration-05:643/7,a1-fibration-05,643/7,23,16,7,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,231,,43
published-R17:-2300/843,published-R17,-2300/843,24,17,7,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,250,94547784214082,43
published-R17:-695/97,published-R17,-695/97,24,17,7,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,226,,
published-R17:33/119,published-R17,33/119,24,17,7,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,223,,
074d9:-839/505,074d9,-839/505,23,17,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,210,,
08234:-506/9,08234,-506/9,23,17,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,200,,
ICARM-377,published-R17,,23,17,6,UNKNOWN,full epsilon_M=0,historic_oracle,S3,192,,
a1-fibration-01:32/253,a1-fibration-01,32/253,22,16,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,221,,43
a1-fibration-01:699/19,a1-fibration-01,699/19,22,16,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,213,,43
a1-fibration-04:-20/23,a1-fibration-04,-20/23,22,16,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,186,,43
a1-fibration-04:-209/118,a1-fibration-04,-209/118,22,16,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,199,,43
a1-fibration-04:-338/47,a1-fibration-04,-338/47,22,16,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,211,,43
a1-fibration-05:-279/730,a1-fibration-05,-279/730,22,16,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,242,,43
a1-fibration-05:3/17,a1-fibration-05,3/17,22,16,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,169,,43
published-R17:-1193/1560,published-R17,-1193/1560,23,17,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,231,,
published-R17:-1264/1047,published-R17,-1264/1047,23,17,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,255,,
published-R17:-3895/3749,published-R17,-3895/3749,23,17,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,262,,
published-R17:1229/894,published-R17,1229/894,23,17,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,259,,
published-R17:129/70,published-R17,129/70,23,17,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,217,,
published-R17:2291/2392,published-R17,2291/2392,23,17,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,251,,
published-R17:44/35,published-R17,44/35,23,17,6,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,203,,
074d9:148/225,074d9,148/225,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,220,,
11952:744/5,11952,744/5,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,228,,
ICARM-376,published-R17,,22,17,5,UNKNOWN,full epsilon_M=0,historic_oracle,S3,174,,
a1-fibration-02:-601/466,a1-fibration-02,-601/466,21,16,5,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,240,,43
a1-fibration-02:187/190,a1-fibration-02,187/190,21,16,5,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,222,,43
a1-fibration-02:39/10,a1-fibration-02,39/10,21,16,5,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,175,,36
published-R17:-3/148,published-R17,-3/148,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,218,,
published-R17:-70/61,published-R17,-70/61,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,206,,
published-R17:-7540/2317,published-R17,-7540/2317,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,267,,
