observation_id,family,parameter,native_parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,simultaneous_carrier_genus,simultaneous_carrier_degree,split_quartet_count
rank_jump_retrospective_report_v1.json:07ca9:505/794,07ca9,505/794,,17,25,8,UNKNOWN,compact-six-r17-h1024-v2,historic_or_prior,43,96050291406849,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-04:-1647/91,a1-fibration-04,-1647/91,,16,25,9,UNKNOWN,prospective-mw16-h4096-v1,historic_or_prior,43,96691200635775,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:307/206,a1-fibration-05,307/206,,16,25,9,UNKNOWN,prospective-mw16-h1024-v1,historic_or_prior,43,93223654229337,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:08f72:-704/93,08f72,-704/93,,17,24,7,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-01:787/103,a1-fibration-01,787/103,,16,24,8,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:-109/521,a1-fibration-05,-109/521,,16,24,8,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:-227/647,a1-fibration-05,-227/647,,16,24,8,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:509/149,a1-fibration-05,509/149,,16,24,8,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:published-R17:-2300/843,published-R17,-2300/843,-2300/843,17,24,7,UNKNOWN,compact-r17-top64-v1,historic_or_prior,43,94547784214082,COMPLETE_NATIVE_ATLAS,39120,3,5,8,0
rank_jump_retrospective_report_v1.json:published-R17:-695/97,published-R17,-695/97,-695/97,17,24,7,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,1,0,2,0
rank_jump_retrospective_report_v1.json:published-R17:33/119,published-R17,33/119,33/119,17,24,7,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,7,321,128,35
rank_jump_retrospective_report_v1.json:074d9:-839/505,074d9,-839/505,,17,23,6,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:08234:-506/9,08234,-506/9,28/117,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,11,9217,2048,330
rank_jump_retrospective_report_v1.json:a1-fibration-03:478/49,a1-fibration-03,478/49,,16,23,7,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:643/7,a1-fibration-05,643/7,,16,23,7,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:published-R17:-1193/1560,published-R17,-1193/1560,-1193/1560,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,1,0,2,0
rank_jump_retrospective_report_v1.json:published-R17:-1264/1047,published-R17,-1264/1047,-1264/1047,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:published-R17:-3895/3749,published-R17,-3895/3749,-3895/3749,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:published-R17:1229/894,published-R17,1229/894,1229/894,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,2,1,4,0
rank_jump_retrospective_report_v1.json:published-R17:129/70,published-R17,129/70,129/70,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:published-R17:2291/2392,published-R17,2291/2392,2291/2392,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:published-R17:44/35,published-R17,44/35,44/35,17,23,6,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,3,5,8,0
rank_jump_retrospective_report_v1.json:074d9:148/225,074d9,148/225,,17,22,5,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:11952:744/5,11952,744/5,-1120203651276623056834024747/427000222664327948344069735,17,22,5,UNKNOWN,,historic_or_prior,,,PARTIAL_1024,1024,0,0,1,0
rank_jump_retrospective_report_v1.json:a1-fibration-01:32/253,a1-fibration-01,32/253,,16,22,6,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-01:699/19,a1-fibration-01,699/19,,16,22,6,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-04:-20/23,a1-fibration-04,-20/23,,16,22,6,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-04:-209/118,a1-fibration-04,-209/118,,16,22,6,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-04:-338/47,a1-fibration-04,-338/47,,16,22,6,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:-279/730,a1-fibration-05,-279/730,,16,22,6,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:3/17,a1-fibration-05,3/17,,16,22,6,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:published-R17:-3/148,published-R17,-3/148,-3/148,17,22,5,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,1,0,2,0
rank_jump_retrospective_report_v1.json:published-R17:-70/61,published-R17,-70/61,-70/61,17,22,5,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,13,45057,8192,715
rank_jump_retrospective_report_v1.json:published-R17:-7540/2317,published-R17,-7540/2317,-7540/2317,17,22,5,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:published-R17:1348/1431,published-R17,1348/1431,1348/1431,17,22,5,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,1,0,2,0
rank_jump_retrospective_report_v1.json:published-R17:8/39,published-R17,8/39,8/39,17,22,5,UNKNOWN,,historic_or_prior,,,COMPLETE_NATIVE_ATLAS,39120,7,321,128,35
rank_jump_retrospective_report_v1.json:07ca9:-2507/3068,07ca9,-2507/3068,,17,26,9,UNKNOWN,compact-six-r17-h4096-v1,historic_or_prior,43,98169507050054,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-02:187/190,a1-fibration-02,187/190,,16,21,5,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
