id,family,parameter,rank_lower_bound,jump_lower_bound,calls,bk_offset,field_discriminant,signature,root_number,conductor,g_upper,rank_upper,status
b-64cb28d566c727c7303d,08f72,-665/944,17,0,98,8,169864170882202544609721275282517351257890245243778076346967088425917312876355031898505548209878858334375631403903465592,"[3, 0]",-1,21350100027725662577334229037151549888444092434643727027770437685228367085047765597605448602206581032555349411463534407779954010,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
b-60d371f1ab9f079e977d,074d9,-915/562,17,0,86,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_FIELD
b-d355129341b9e6ca3d95,11952,1086/299,18,1,361,6,154575433407893564945358463375608531241898758473975468539279439843823862534001103790456677426036844758211518539552040,"[3, 0]",1,1059498664436054467526723247592264775264784565270246355235356100549529709773677065655737681247413043183971300949724570170,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
b-2becc3c1cdafe1562167,08f72,504/113,18,1,299,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_FIELD
b-55f0f8d1caacac34208e,103b2,-896/529,19,2,315,8,-288492580777406080272725869168593875217808827338296120405649223301254586724356046936218022223258366976502109611,"[1, 1]",-1,12558263791566376440102328902206467602372605473597253247813766249314291950500855067443140324732437367258332027695884930,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
b-21b0e4281254110f0e00,07ca9,293/750,19,2,303,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_FIELD
b-62bd5bdf069280616955,103b2,808/1277,20,3,301,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_FIELD
b-5ba9fa054b6889ba712a,x1092-original,372/1003,20,3,298,8,-7235921842174936752794498757095879356354724585336112652840893340016541615795847252619469543,"[1, 1]",1,131102342610631617747880050879637948373762462927565345386061738783669705722868977879609992361484707322,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
b-2885590ca06767c60c8e,07ca9,-108/311,21,4,303,6,209864979420519718145130801844810884872090968192647522234958569224293864005483802625022492843548461285289,"[3, 0]",-1,3336853172786263518507579749332493069466246394263095603535841250666272437687192461737857636212420534436095100,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
b-f01da4b2d3ac8e226d22,11952,276/787,21,4,441,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_FIELD
b-16c620035d9557cad55e,08f72,-1079/246,22,5,301,5,100512580153052737123672456959151567991159878388477408619827972484729465665891201803988914218463426376657480,"[3, 0]",1,51186031442942106380230198706447935999498168069332120339647394987848480390355094518681354565752499882312821690,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
b-cefd4f26d353790b12df,07ca9,493/706,22,5,311,5,10382552573605559327234224954174898788406466616228201524716368480523372840216490290798997902645213276767468121820,"[3, 0]",1,15537489926400719533206017643922736036850277291185503581738045431103227455383977720180700361308561668682516044303630,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
b-6268895b4587ec68b047,074d9,-601/716,23,6,301,5,-22775352522852701101010607294394777787184219212852693891129704935563683221245500301334431126696580440,"[1, 1]",-1,332423351585427312095075571417162577887294067575994706861456390813253629376494011023202023117481613957130,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
b-c1c61596468940fe47df,08f72,-1102/775,23,6,301,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_FIELD
b-b1dfd57aaf748bf8725b,11952,-1670/647,24,7,383,9,19852329479379391166808782042245776909546768677261095983700060447097971932919051645057377061936978483386146777727765,"[3, 0]",1,9428174970693648411043560432610201730238922691298519222905517349851546575717887421889814454468164593656919946016321277848970,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
b-abdbb535111fd5090fb6,07ca9,371/601,24,7,303,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_FIELD
b-7bb187bc9254e81c6283,11952,921/653,25,8,393,9,30932024439246801322787810077880389223317162788400703970784702350579246728265890412316825281477068142364105,"[3, 0]",-1,106535088748871777218303446260313144390493825926600475793649606725389823045598075249608415496054310829749894789640,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
302,x1092-original,0,31,14,UNKNOWN,12,148151006937477335436888985219857355877893619411164996244607656867074308087083576658270682361256762502621989271112905529033440639729791702026879115800,"[3, 0]",-1,9058040138868690262858791849730511364320517732812998655982537144987090191789878126630171056773171491466723174687496041392810438595512770829603147288102844437462050,UNKNOWN,UNKNOWN,PASS_EQUATION_LOCAL_ARITHMETIC
