any_second_direction_given_seed,arm,censored_or_stopped,certified_endpoints,classes,cohort,cpu_seconds,deep,family,gain_after_seed_phase,known_equations,later_acquiring_call_given_seed_and_exposure,previous_equations,ranks,rows,seed,trajectories_unknown
"[0, 0]",,0,64,"{""no seed"": 64}",annulus64_r17,,"[0, 64]",ALL,0,0,"[0, 0]",0,"{""17"": 64}",64,"[0, 64]",0
"[0, 0]",,0,64,"{""no seed"": 64}",annulus64_r17,,"[0, 64]",11952,0,0,"[0, 0]",0,"{""17"": 64}",64,"[0, 64]",0
"[506, 839]",,0,2080,"{""amplifier"": 489, ""deep amplifier"": 5, ""no seed"": 1241, ""seed only"": 345}",broad-rank-v1,501682.325353741,"[5, 2080]",ALL,515,0,"[494, 839]",0,"{""17"": 1241, ""18"": 333, ""19"": 209, ""20"": 142, ""21"": 79, ""22"": 46, ""23"": 25, ""24"": 4, ""25"": 1}",2080,"[839, 2080]",0
"[96, 144]",,0,320,"{""amplifier"": 94, ""no seed"": 176, ""seed only"": 50}",broad-rank-v1,80524.884831485,"[0, 320]",074d9,94,0,"[94, 144]",0,"{""17"": 176, ""18"": 48, ""19"": 35, ""20"": 23, ""21"": 16, ""22"": 15, ""23"": 7}",320,"[144, 320]",0
"[88, 123]",ranked,0,256,"{""amplifier"": 86, ""no seed"": 133, ""seed only"": 37}",broad-rank-v1,68550.234203684,"[0, 256]",074d9,86,0,"[86, 123]",0,"{""17"": 133, ""18"": 35, ""19"": 32, ""20"": 20, ""21"": 15, ""22"": 14, ""23"": 7}",256,"[123, 256]",0
"[8, 21]",control,0,64,"{""amplifier"": 8, ""no seed"": 43, ""seed only"": 13}",broad-rank-v1,11974.650627801,"[0, 64]",074d9,8,0,"[8, 21]",0,"{""17"": 43, ""18"": 13, ""19"": 3, ""20"": 3, ""21"": 1, ""22"": 1}",64,"[21, 64]",0
"[104, 169]",,0,320,"{""amplifier"": 103, ""deep amplifier"": 1, ""no seed"": 151, ""seed only"": 65}",broad-rank-v1,85430.008133678,"[1, 320]",07ca9,104,0,"[104, 169]",0,"{""17"": 151, ""18"": 65, ""19"": 45, ""20"": 29, ""21"": 13, ""22"": 10, ""23"": 6, ""24"": 1}",320,"[169, 320]",0
"[95, 144]",ranked,0,256,"{""amplifier"": 94, ""deep amplifier"": 1, ""no seed"": 112, ""seed only"": 49}",broad-rank-v1,72578.580570638,"[1, 256]",07ca9,95,0,"[95, 144]",0,"{""17"": 112, ""18"": 49, ""19"": 41, ""20"": 26, ""21"": 12, ""22"": 9, ""23"": 6, ""24"": 1}",256,"[144, 256]",0
"[9, 25]",control,0,64,"{""amplifier"": 9, ""no seed"": 39, ""seed only"": 16}",broad-rank-v1,12851.42756304,"[0, 64]",07ca9,9,0,"[9, 25]",0,"{""17"": 39, ""18"": 16, ""19"": 4, ""20"": 3, ""21"": 1, ""22"": 1}",64,"[25, 64]",0
"[32, 53]",,0,320,"{""amplifier"": 30, ""no seed"": 267, ""seed only"": 23}",broad-rank-v1,51460.33456691,"[0, 320]",08234,30,0,"[30, 53]",0,"{""17"": 267, ""18"": 21, ""19"": 13, ""20"": 7, ""21"": 6, ""22"": 5, ""23"": 1}",320,"[53, 320]",0
