adaptive_followup,all_frozen_features,arm,calls,calls_since_last_gain,censored,classification,cohort,continuation_batches,cpu_seconds,declared_cohort_size,deep_amplifier,denominator,detector,displayed_discriminant_bits,displayed_model_bits,elapsed_seconds,endpoint_bucket,endpoint_status,extra_direction_after_first,family,final_gain,final_rank,first_gain_call,full_selection_sha256,full_selection_source,further_after_seed,gained_after_seed_phase,generic_gram_sha256,generic_gram_source,generic_rank,id,initial_calls,initial_rank,initial_seed_calls,j_leakage_group,job_count,known_equation,last_gain_call,model,numerator,observed_acquiring_calls,parameter,parameter_height,point_search_cpu_seconds,point_search_elapsed_seconds,post_seed_exposure,predictive_eligible,previous_equation,rank_evidence,rescue_used,same_j_rows,search_height,seconds_per_chart,seed,selection_protocol,source,source_id,surface,timing_scope,trajectory_complete,trajectory_gap,trajectory_rank
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""native"", ""discriminant_bits"": 513, ""family"": ""074d9"", ""id"": ""b-e78d4178fb815571706c"", ""index"": 176503, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [5, 13, 59], ""model_bits"": 255, ""nonsingular"": true, ""parameter"": ""-461/1023"", ""parameter_height"": 1023, ""parent_id"": ""074d9"", ""rescue"": false, ""score_units"": 62482826670541, ""scores_by_cutoff"": {""257"": 32839122035975, ""97"": 17465203559918, ""997"": 62482826670541}, ""smooth_prime_count"": 163}",ranked,86,86,False,no seed,broad-rank-v1,0,104.87774053800001,,0,1023,native,513,255,109.96114097398822,no seed,CERTIFIED,0,074d9,0,17,,,,,False,98e6d83fcd56ce9d2adba8bd0a93cf8fdd22ed950645c1b80bb922773845e6ae,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/074d9.json,17,broad-rank-v1:b-e78d4178fb815571706c,86,17,86,23d8feaec0a786d1a3aac94b57bde81e1def84ac2ada2fa27518432f3483888b,,False,,"[""0"", ""0"", ""0"", ""-2228277005373736974102523363771247253701766346558875"", ""39822404761136125022775742244594627803713070550077686959700026027364569479350""]",-461,0,-461/1023,1023,,,,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,False,1,,,0,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-e78d4178fb815571706c/state.json,b-e78d4178fb815571706c,X948,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""native"", ""discriminant_bits"": 531, ""family"": ""07ca9"", ""id"": ""b-72359c6a3a563776fcba"", ""index"": 355288, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [5, 7, 11, 13, 17], ""model_bits"": 264, ""nonsingular"": true, ""parameter"": ""1834/1055"", ""parameter_height"": 1834, ""parent_id"": ""07ca9"", ""rescue"": false, ""score_units"": 62128161626318, ""scores_by_cutoff"": {""257"": 30711496387032, ""97"": 14031442386676, ""997"": 62128161626318}, ""smooth_prime_count"": 161}",ranked,281,274,False,amplifier,broad-rank-v1,2,361.804381529,,0,1055,native,531,264,386.7773729499895,seed only (endpoint +1/+2),CERTIFIED,1,07ca9,2,19,1,,,1,True,c041e34d0156558d58fe40d5ac6bebfadd0803dcd5c923015d5e5e071df8a639,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/07ca9.json,17,broad-rank-v1:b-72359c6a3a563776fcba,101,19,1,f1bcc7d22c2453ec380dffaef0dceda08ae64e9ffc3f7686ddc7e12c6988d9bb,,False,7,"[""0"", ""0"", ""0"", ""-121733049312572915280620927427390265167468803824926192"", ""15898458945506969309716271577685880622387874861105098618665934225283080275409024""]",1834,2,1834/1055,1834,,,280,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,False,1,,,1,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-72359c6a3a563776fcba/state.json,b-72359c6a3a563776fcba,X948,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""native"", ""discriminant_bits"": 572, ""family"": ""08234"", ""id"": ""b-e8f789f0e2d2155431ea"", ""index"": 333855, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [13, 47, 71], ""model_bits"": 285, ""nonsingular"": true, ""parameter"": ""-161/780"", ""parameter_height"": 780, ""parent_id"": ""08234"", ""rescue"": false, ""score_units"": 62599443678167, ""scores_by_cutoff"": {""257"": 33100080917591, ""97"": 17273534923554, ""997"": 62599443678167}, ""smooth_prime_count"": 163}",ranked,86,86,False,no seed,broad-rank-v1,0,99.207903581,,0,780,native,572,285,104.62857325001096,no seed,CERTIFIED,0,08234,0,17,,,,,False,0b363e8c1ce1bc83a9fd2237a4b43ab82dc2e35393978d10b5ced7a4c03ae1cd,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/08234.json,17,broad-rank-v1:b-e8f789f0e2d2155431ea,86,17,86,870684a92faffce9bcbf951067a86311b9977476e3684f5c4cfed3000a81f520,,False,,"[""0"", ""0"", ""0"", ""-2016455790290480899536129698255020758548134759877621862267"", ""35196512038140436926855182884140574583565422157889614318585435083133631274785770475350""]",-161,0,-161/780,780,,,,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,False,1,,,0,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-e8f789f0e2d2155431ea/state.json,b-e8f789f0e2d2155431ea,X948,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""native"", ""discriminant_bits"": 528, ""family"": ""08f72"", ""id"": ""b-6d2fa708fb10d4f7629e"", ""index"": 322485, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [11, 13, 719, 859], ""model_bits"": 262, ""nonsingular"": true, ""parameter"": ""-1729/632"", ""parameter_height"": 1729, ""parent_id"": ""08f72"", ""rescue"": false, ""score_units"": 63245947408898, ""scores_by_cutoff"": {""257"": 33598534869239, ""97"": 17944824612884, ""997"": 63245947408898}, ""smooth_prime_count"": 162}",ranked,315,288,False,seed only,broad-rank-v1,2,372.79906762199994,,0,632,native,528,262,393.14653549101786,seed only (endpoint +1/+2),CERTIFIED,0,08f72,1,18,27,,,0,False,dbeddf1891151415012a83af24072c4306704226679a2adb013c37fae5844c4f,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/08f72.json,17,broad-rank-v1:b-6d2fa708fb10d4f7629e,123,18,27,6fbd7ac5ac2b244f6baaf3e719d961704bd5cd7cf59ef640f2fc67816e18f9b5,,False,27,"[""0"", ""0"", ""0"", ""-62347852114057099528007826314681506082460742500928347"", ""6103534935434511332629191545251922237980847834714854601753220955468981556569590""]",-1729,1,-1729/632,1729,,,288,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,False,1,,,1,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-6d2fa708fb10d4f7629e/state.json,b-6d2fa708fb10d4f7629e,X948,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""native"", ""discriminant_bits"": 506, ""family"": ""103b2"", ""id"": ""b-0d6b103aa8bec9667bc2"", ""index"": 259726, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [5, 13, 109], ""model_bits"": 250, ""nonsingular"": true, ""parameter"": ""168/625"", ""parameter_height"": 625, ""parent_id"": ""103b2"", ""rescue"": true, ""score_units"": 63033221879824, ""scores_by_cutoff"": {""257"": 33090217298979, ""97"": 16912995779040, ""997"": 63033221879824}, ""smooth_prime_count"": 163}",ranked,118,118,False,no seed,broad-rank-v1,1,145.982770696,,0,625,native,506,250,152.5924842779932,no seed,CERTIFIED,0,103b2,0,17,,,,,False,5b1d40b6a919183e75a2f706adf87706b6e6a36f65de4b6ef216535d681ae55e,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/103b2.json,17,broad-rank-v1:b-0d6b103aa8bec9667bc2,86,17,86,001faba23079085ec70d4633643fdde4deffb16b3712a15e3985b5e7b907e467,,False,,"[""0"", ""0"", ""0"", ""-283548044208824769826699750291167384918756053714352"", ""1722091801431060330686324168759104857703770830214512999049080758229167979904""]",168,0,168/625,625,,,,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,True,2,,,0,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-0d6b103aa8bec9667bc2/state.json,b-0d6b103aa8bec9667bc2,X948,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""native"", ""discriminant_bits"": 536, ""family"": ""11952"", ""id"": ""b-9e947993d19a74b4e31d"", ""index"": 217391, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [5, 13], ""model_bits"": 266, ""nonsingular"": true, ""parameter"": ""-394/1349"", ""parameter_height"": 1349, ""parent_id"": ""11952"", ""rescue"": false, ""score_units"": 64117005185019, ""scores_by_cutoff"": {""257"": 34418909316952, ""97"": 18070585499811, ""997"": 64117005185019}, ""smooth_prime_count"": 164}",ranked,98,98,False,no seed,broad-rank-v1,0,115.891751343,,0,1349,native,536,266,121.55707250899286,no seed,CERTIFIED,0,11952,0,17,,,,,False,6a444b1891c301efd8e1fe5c26e1ccb6a72c0fd42a3df082b313f8fc1af3e25d,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/11952.json,17,broad-rank-v1:b-9e947993d19a74b4e31d,98,17,98,1cb271148252fc0d830108c277210e855c292b1226a6150caa272404f8e38c88,,False,,"[""0"", ""0"", ""0"", ""-383156209986573422656769356349730881440820353353035952"", ""93750790717380239717911469190265481006976647206463066197314562906753512399655296""]",-394,0,-394/1349,1349,,,,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,False,1,,,0,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-9e947993d19a74b4e31d/state.json,b-9e947993d19a74b4e31d,X948,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""generic"", ""discriminant_bits"": 533, ""family"": ""x1092-original"", ""id"": ""b-53558faf870970298e9a"", ""index"": 349673, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [5, 433], ""model_bits"": 268, ""nonsingular"": true, ""parameter"": ""-2322/1411"", ""parameter_height"": 2322, ""parent_id"": ""x1092-original"", ""rescue"": false, ""score_units"": 64874000025075, ""scores_by_cutoff"": {""257"": 34957444615503, ""97"": 18619178361231, ""997"": 64874000025075}, ""smooth_prime_count"": 164}",ranked,198,198,False,no seed,broad-rank-v1,0,265.87740422699994,,0,1411,generic,533,268,289.6616019659996,no seed,CERTIFIED,0,x1092-original,0,17,,,,,False,cff2de04887f86511e4e86c8e2e829fae835c424232a79fd84a33c0d6a518441,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/x1092-original.json,17,broad-rank-v1:b-53558faf870970298e9a,198,17,,6824c533be8c831b9fe2cfff2b45750db8a4f58d81f02e33694483c6ca3ecf74,,False,,"[""0"", ""0"", ""0"", ""-1090696650193516087724531584219437389984565413404650507"", ""438377140457351522250282782584169737859086431317587888490962548185211239736141894""]",-2322,0,-2322/1411,2322,,,,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,False,1,,,0,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-53558faf870970298e9a/state.json,b-53558faf870970298e9a,X1092,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""generic"", ""discriminant_bits"": 2922, ""family"": ""x1092-class1"", ""id"": ""b-49fbd93dd5720e316ab8"", ""index"": 200501, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [5, 7, 17, 41, 59, 101, 197, 257], ""model_bits"": 1462, ""nonsingular"": true, ""parameter"": ""-794/293"", ""parameter_height"": 794, ""parent_id"": ""x1092-class1"", ""rescue"": false, ""score_units"": 58527749483186, ""scores_by_cutoff"": {""257"": 29579385589065, ""97"": 15344668704807, ""997"": 58527749483186}, ""smooth_prime_count"": 158}",ranked,198,198,False,no seed,broad-rank-v1,0,269.118537902,,0,293,generic,2922,1462,291.138359501987,no seed,CERTIFIED,0,x1092-class1,0,17,,,,,False,d5f3d13b294b545fd88ef00ad64c43e576d7413af5d20cccde9f39edeaa22db1,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/x1092-class1.json,17,broad-rank-v1:b-49fbd93dd5720e316ab8,198,17,,7cf07a585e895766f9c60ca203aa400def419390da96d4e0e17d3b236e31b94e,,False,,"[""0"", ""0"", ""0"", ""-327392619227395445355109611801480811551922462846547549902095871352324658299173389338477815578403062204368689122563522157447893004823067791168853634891153072819018771180910621086451043128583011872466388982675726259828139748459262228558585999215936876673606550440746418206691346639463089904257307"", ""72142747441977572004216852866095122033365553409524800698995933175741467700607694265111426818228209181763195923068364130144517402923156668370408765292434660815262056250560769984083040058300957603245012465352113546349924871042666213727404127313263558350869602966689938793376817892745961180884558625021981850007111788159046853032827409181498872395106076691988181691257257942934719183788687305170463557828985264290193307189286397127536123370294""]",-794,0,-794/293,794,,,,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,False,1,,,0,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-49fbd93dd5720e316ab8/state.json,b-49fbd93dd5720e316ab8,X1092,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""native"", ""discriminant_bits"": 486, ""family"": ""074d9"", ""id"": ""b-00afced4a28be454f129"", ""index"": 227375, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [5, 7, 13, 17, 31, 59], ""model_bits"": 244, ""nonsingular"": true, ""parameter"": ""-160/553"", ""parameter_height"": 553, ""parent_id"": ""074d9"", ""rescue"": false, ""score_units"": 62026941856674, ""scores_by_cutoff"": {""257"": 31388057155320, ""97"": 14289158601040, ""997"": 62026941856674}, ""smooth_prime_count"": 160}",ranked,305,285,False,amplifier,broad-rank-v1,2,529.689718677,,0,553,native,486,244,551.9254002159578,endpoint +3 or more,CERTIFIED,1,074d9,5,22,5,,,1,True,98e6d83fcd56ce9d2adba8bd0a93cf8fdd22ed950645c1b80bb922773845e6ae,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/074d9.json,17,broad-rank-v1:b-00afced4a28be454f129,105,22,5,017d577ee249b5e13b2576bf0f0fce586c5d8c27aaf9361c1e6e7db7f60810fd,,False,20,"[""0"", ""0"", ""0"", ""-13127577010271143293414079205703881165590067566512"", ""18297059603005865890394742772250629793472456517995646390245067203401241984""]",-160,4,-160/553,553,,,300,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,False,1,,,1,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-00afced4a28be454f129/state.json,b-00afced4a28be454f129,X948,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
RANK_DEPENDENT_CONTINUATION_AND_HASH_RESCUE,"{""arm"": ""ranked"", ""backend"": ""native"", ""discriminant_bits"": 482, ""family"": ""07ca9"", ""id"": ""b-148539fd475e5f041139"", ""index"": 392861, ""intake_status"": ""ACCEPTED"", ""local_singular_primes"": [11, 13, 17, 23], ""model_bits"": 239, ""nonsingular"": true, ""parameter"": ""-400/91"", ""parameter_height"": 400, ""parent_id"": ""07ca9"", ""rescue"": false, ""score_units"": 62047518328945, ""scores_by_cutoff"": {""257"": 32228208824342, ""97"": 15584393572431, ""997"": 62047518328945}, ""smooth_prime_count"": 162}",ranked,301,211,False,amplifier,broad-rank-v1,2,420.622144855,,0,91,native,482,239,448.8026746870164,endpoint +3 or more,CERTIFIED,1,07ca9,4,21,1,,,1,True,c041e34d0156558d58fe40d5ac6bebfadd0803dcd5c923015d5e5e071df8a639,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-inputs/parents/07ca9.json,17,broad-rank-v1:b-148539fd475e5f041139,101,21,1,ad0879bc1baabc6aa310ac0ada7d941af0a75e9bf2a703f1bf66e78a0858038b,,False,90,"[""0"", ""0"", ""0"", ""-1701178398238874581597482709550191220588675848512"", ""866683070280027598104166469411907522768964070700358690784922588551604480""]",-400,3,-400/91,400,,,300,True,False,RETAINED_CERTIFICATE_NOT_NEW_ARITHMETIC_REPLAY,False,1,,,1,,artifacts/local/elliptic-curves/broad-rank-v1/runtime/research/broad-cases/b-148539fd475e5f041139/state.json,b-148539fd475e5f041139,X948,SUM_OF_BATCH_PROCESS_TREE_CPU_AND_ELAPSED; excludes queue waiting and shared scoring,True,,
