attribution,batch_cpu_lower,batch_cpu_upper,batch_elapsed_lower,batch_elapsed_upper,call,deep_event,directions,id,point_search_cpu_sum,point_search_elapsed_sum,rank_after_call_attribution,rank_from_earlier_calls,timing_scope
ORIGINATING_CALL; may be certified by later reconciliation,0.0,157.68733565,0.0,170.1221012469905,1,False,1,broad-rank-v1:b-72359c6a3a563776fcba,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,157.68733565,0.0,170.1221012469905,7,False,1,broad-rank-v1:b-72359c6a3a563776fcba,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,165.38345246999998,0.0,173.78157939799712,27,False,1,broad-rank-v1:b-6d2fa708fb10d4f7629e,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,241.232435681,0.0,257.5599366349925,5,False,2,broad-rank-v1:b-00afced4a28be454f129,,,19,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,241.232435681,0.0,257.5599366349925,6,False,1,broad-rank-v1:b-00afced4a28be454f129,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,241.232435681,0.0,257.5599366349925,9,False,1,broad-rank-v1:b-00afced4a28be454f129,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,241.232435681,0.0,257.5599366349925,20,False,1,broad-rank-v1:b-00afced4a28be454f129,,,22,21,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,184.73010025999997,0.0,201.24858523100556,1,False,2,broad-rank-v1:b-148539fd475e5f041139,,,19,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,184.73010025999997,0.0,201.24858523100556,11,False,1,broad-rank-v1:b-148539fd475e5f041139,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,184.73010025999997,0.0,201.24858523100556,90,False,1,broad-rank-v1:b-148539fd475e5f041139,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,156.99700065599995,0.0,177.92486589201144,21,False,1,broad-rank-v1:b-09b63f407a1e1d08534c,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,156.99700065599995,0.0,177.92486589201144,104,False,1,broad-rank-v1:b-09b63f407a1e1d08534c,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,178.614451444,0.0,198.21947315298894,7,False,1,broad-rank-v1:b-345c85aaf628a21c906d,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,178.614451444,0.0,198.21947315298894,18,False,1,broad-rank-v1:b-345c85aaf628a21c906d,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,178.614451444,0.0,198.21947315298894,49,False,1,broad-rank-v1:b-345c85aaf628a21c906d,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,245.82392823699996,0.0,330.5100995209941,51,False,1,broad-rank-v1:b-e94bbe4462c32b3de07c,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,144.09895949,0.0,152.64481105799496,3,False,1,broad-rank-v1:b-8c36292ae43e874a1304,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
