atlas	direction	subgroup_rank	height	coordinate	cheap_representatives	contained	base_orbit	parity	extension_bits	quartic_bits	old_policy_parity_selected	old_policy_exact_centre_selected
historical_introduction	recovered-local-01	17	1	-1/0	28	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 115350, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	94938	0	132	False	False
historical_introduction	recovered-local-02	17	1	-1/0	31	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 89501, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	101481	0	128	False	False
historical_introduction	recovered-local-03	17	64462	-64462/793	1	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 52488, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	6446	0	127	False	False
historical_introduction	recovered-local-04	17	43	43/1	11	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 109599, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	115603	0	125	False	False
historical_introduction	recovered-strict-01	17	81189121876568173	-81189121876568173/41653947060542250	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 109500, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	107148	0	119	False	False
historical_introduction	recovered-strict-02	17	45203682871059380282525803742405520707145370143567420740	-45203682871059380282525803742405520707145370143567420740/3831448031768715025122965295814676952286063618453059581	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 58378, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	26629	0	122	False	False
historical_introduction	recovered-strict-03	17	305171593288555026221579928122365053097245180184444177971211031552705258304161724419825055238927071473839996842500058176453648930198324246769242	-305171593288555026221579928122365053097245180184444177971211031552705258304161724419825055238927071473839996842500058176453648930198324246769242/105529556244690746527680868039343976026067818582528962049674905283828880072495324380583071696054993686406258760756771800847167398574768188813957	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 127318, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	75356	0	120	False	False
historical_introduction	residual-strict-01	17	90612310970021831174995189668085682287114184452307527053232525011852392996578851361057638142945474039346908000156391242578751959839986089766688431055008933976008618150189637381	68690154864592402880590878712752720638779022308255926832382250085770648611543968070577536907808400077743248894049621756504327274773549823732507003487091535597625984580854414923/90612310970021831174995189668085682287114184452307527053232525011852392996578851361057638142945474039346908000156391242578751959839986089766688431055008933976008618150189637381	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 106210, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	103240	0	120	False	False
historical_introduction	residual-strict-02	17	1603638858709057800205523905461692625278681085250163659671209683523	1143002489165052403572003057558526596093457645851185355155706244492/1603638858709057800205523905461692625278681085250163659671209683523	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 58145, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	28399	0	120	False	False
historical_introduction	residual-strict-03	17	26916226603359483875971204768033400058973124824331353188402605562756422091978141393307959656150773686264460734516889383756933445808712837480668007887479	26916226603359483875971204768033400058973124824331353188402605562756422091978141393307959656150773686264460734516889383756933445808712837480668007887479/3098113830078978967320692318137653354296209973237642062891201566606084723216258027924757981926297913648328775422545808916154403664004174101848780917267	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 17845, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	42625	0	125	False	False
