rank	shell_id	eligible_id	ade	root_rank	mw_rank	root_count	root_det	d_f	d_o	mw_height	short_norm	section_p_o	fiber_twist	vertical_integral	support_fibres	support_components	vertical_l1	vertical_max	reflection_count	nearest_section_lifts	section_root_shift	section_nonzero_pairings	root_coefficients	reduced	v
1	6855	6853	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-1495,12,120,-2215,-503,-794,559,-288,897,-205,-1027,-550,-1219,-874,297,-210,-378	30693,-339,-2534,45446,10413,16390,-11527,5970,-18424,4193,21146,11296,25035,17925,-6032,4304,7717
2	6858	6856	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,5270,-62,-436,7802,1792,2815,-1981,1025,-3163,720,3632,1940,4301,3078,-1034,738,1325	37458,-413,-3090,55463,12708,19999,-14067,7283,-22484,5118,25805,13786,30555,21877,-7363,5252,9420
3	6868	6866	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-4032,42,332,-5969,-1368,-2152,1514,-783,2419,-552,-2776,-1484,-3289,-2356,793,-564,-1015	28156,-309,-2322,41692,9548,15032,-10572,5475,-16902,3846,19397,10362,22965,16443,-5536,3950,7080
4	6870	6868	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-11769,127,969,-17427,-3993,-6281,4420,-2286,7064,-1609,-8106,-4331,-9602,-6876,2316,-1649,-2962	20419,-224,-1685,30234,6923,10903,-7666,3972,-12257,2789,14067,7515,16652,11923,-4013,2865,5133
5	6875	6873	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-7412,81,610,-10975,-2517,-3955,2785,-1439,4449,-1013,-5106,-2727,-6049,-4331,1459,-1038,-1866	24776,-270,-2044,36686,8399,13229,-9301,4819,-14872,3385,17067,9119,20205,14468,-4870,3476,6229
6	6876	6874	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-15670,172,1294,-23202,-5316,-8368,5885,-3048,9406,-2141,-10795,-5767,-12781,-9152,3080,-2197,-3940	16518,-179,-1360,24459,5600,8816,-6201,3210,-9915,2257,11378,6079,13473,9647,-3249,2317,4155
7	6878	6876	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-25815,285,2128,-38225,-8760,-13780,9696,-5017,15496,-3527,-17784,-9500,-21061,-15079,5077,-3619,-6494	6373,-66,-526,9436,2156,3404,-2390,1241,-3825,871,4389,2346,5193,3720,-1252,895,1601
8	6903	6901	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-19072,211,1575,-28242,-6466,-10185,7161,-3712,11450,-2604,-13140,-7020,-15554,-11136,3749,-2677,-4794	13116,-140,-1079,19419,4450,6999,-4925,2546,-7871,1794,9033,4826,10700,7663,-2580,1837,3301
9	6918	6916	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-11859,128,976,-17559,-4022,-6329,4453,-2304,7118,-1621,-8169,-4364,-9674,-6927,2333,-1662,-2984	20329,-223,-1678,30102,6894,10855,-7633,3954,-12203,2777,14004,7482,16580,11872,-3996,2852,5111
10	6948	6946	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-27397,306,2262,-40567,-9296,-14629,10290,-5329,16446,-3742,-18875,-10084,-22349,-16000,5385,-3842,-6889	4791,-45,-392,7094,1620,2555,-1796,929,-2875,656,3298,1762,3905,2799,-944,672,1206
11	6968	6966	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,4244,-48,-354,6283,1442,2271,-1595,828,-2547,580,2924,1562,3460,2478,-831,595,1065	36432,-399,-3008,53944,12358,19455,-13681,7086,-21868,4978,25097,13408,29714,21277,-7160,5109,9160
12	6969	6967	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-4014,43,330,-5944,-1357,-2142,1505,-781,2410,-548,-2765,-1478,-3272,-2343,790,-564,-1009	28174,-308,-2324,41717,9559,15042,-10581,5477,-16911,3850,19408,10368,22982,16456,-5539,3950,7086
13	6971	6969	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,343,-3,-29,508,119,184,-130,66,-205,48,235,126,281,202,-67,47,87	32531,-354,-2683,48169,11035,17368,-12216,6324,-19526,4446,22408,11972,26535,19001,-6396,4561,8182
14	6972	6970	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-13545,153,1119,-20058,-4592,-7233,5086,-2637,8133,-1848,-9333,-4986,-11047,-7908,2663,-1902,-3404	18643,-198,-1535,27603,6324,9951,-7000,3621,-11188,2550,12840,6860,15207,10891,-3666,2612,4691
15	6973	6971	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-7394,82,608,-10950,-2506,-3945,2776,-1437,4440,-1009,-5095,-2721,-6032,-4318,1456,-1038,-1860	24794,-269,-2046,36711,8410,13239,-9310,4821,-14881,3389,17078,9125,20222,14481,-4873,3476,6235
16	6992	6990	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-3037,34,249,-4498,-1027,-1619,1139,-590,1824,-414,-2092,-1118,-2477,-1773,599,-427,-764	29151,-317,-2405,43163,9889,15565,-10947,5668,-17497,3984,20081,10728,23777,17026,-5730,4087,7331
17	7009	7007	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-41730,453,3442,-61788,-14157,-22281,15671,-8113,25047,-5704,-28746,-15357,-34038,-24374,8203,-5850,-10495	-9542,102,788,-14127,-3241,-5097,3585,-1855,5726,-1306,-6573,-3511,-7784,-5575,1874,-1336,-2400
18	7027	7025	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-46692,513,3854,-69136,-15842,-24933,17536,-9081,28027,-6380,-32167,-17184,-38086,-27270,9177,-6547,-11741	-14504,162,1200,-21475,-4926,-7749,5450,-2823,8706,-1982,-9994,-5338,-11832,-8471,2848,-2033,-3646
19	7043	7041	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-21202,230,1749,-31394,-7190,-11321,7961,-4124,12727,-2897,-14606,-7803,-17292,-12382,4168,-2974,-5331	10986,-121,-905,16267,3726,5863,-4125,2134,-6594,1501,7567,4043,8962,6417,-2161,1540,2764
20	7045	7043	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-23309,250,1922,-34513,-7903,-12446,8751,-4533,13991,-3186,-16057,-8578,-19009,-13613,4582,-3269,-5861	8879,-101,-732,13148,3013,4738,-3335,1725,-5330,1212,6116,3268,7245,5186,-1747,1245,2234
21	7046	7044	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-31868,349,2630,-47186,-10808,-17017,11966,-6199,19129,-4354,-21954,-11729,-25991,-18610,6263,-4470,-8012	320,-2,-24,475,108,167,-120,59,-192,44,219,117,263,189,-66,44,83
22	7047	7045	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-39605,434,3267,-58644,-13433,-21146,14872,-7702,23774,-5411,-27284,-14576,-32304,-23130,7786,-5555,-9959	-7417,83,613,-10983,-2517,-3962,2786,-1444,4453,-1013,-5111,-2730,-6050,-4331,1457,-1041,-1864
23	7050	7048	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-43506,479,3592,-64419,-14756,-23233,16337,-8464,26116,-5943,-29973,-16012,-35483,-25406,8550,-6103,-10937	-11318,128,938,-16758,-3840,-6049,4251,-2206,6795,-1545,-7800,-4166,-9229,-6607,2221,-1589,-2842
