rank	candidate_id	old_candidate_id	ade	root_rank	mw_rank	root_count	root_det	d_f	d_o	mw_height	short_norm	section_p_o	fiber_twist	vertical_integral	support_fibres	support_components	vertical_l1	vertical_max	reflection_count	nearest_section_lifts	section_root_shift	section_nonzero_pairings	root_coefficients	v
1	7774		A4+A2+A1	7	10	28	30	2	1	219/28	10	3	0	1	1	2	2	1	16	84	0,1,1,0,0,0,0,0,0	O:3;R1:1;R7:1	0,-1,-1,0,0,0,0,0,0	85,2699,1257,7718,3756,-41,3077,-4614,-6615,6032,2584,-1678,121,-736,-913,1,1165
2	9190		A5+A2	7	10	36	18	2	1	235/28	10	3	0	1	1	2	2	1	12	28	0,1,1,0,0,0,0,0,0	O:3;R1:1;R5:1	0,-1,-1,0,0,0,0,0,0	-10,-201,-99,-543,-265,4,-218,327,463,-424,-177,118,-3,52,59,-1,-80
3	9234		A5+A2	7	10	36	18	2	1	235/28	10	3	0	1	1	2	2	1	12	28	0,1,1,0,0,0,0,0,0	O:3;R1:1;R4:1	0,-1,-1,0,0,0,0,0,0	67,2085,972,5948,2894,-31,2372,-3558,-5099,4651,1989,-1294,94,-568,-704,1,898
4	8734		A3+A2+A1+A1	7	10	22	48	2	1	58/7	10	3	0	1	1	3	3	1	18	35	1,1,1,0,0,0,0,0,0	O:3;R9:1;Theta0_1:1	-1,-1,-1,0,0,0,0,0,0	-26,-731,-344,-2056,-1001,12,-821,1232,1762,-1609,-682,448,-29,196,240,-1,-309
5	9485		A4+A1+A1+A1	7	10	26	40	2	1	60/7	10	3	0	1	1	3	3	1	16	21	1,1,1,0,0,0,0,0,0	O:3;R7:1;Theta0_1:1	-1,-1,-1,0,0,0,0,0,0	9,406,186,1194,582,-7,474,-711,-1023,932,404,-260,21,-113,-144,-1,181
6	10251		A5+A1+A1	7	10	34	24	2	1	64/7	10	3	0	1	1	3	3	1	12	7	1,1,1,0,0,0,0,0,0	O:3;R5:1;Theta0_1:1	-1,-1,-1,0,0,0,0,0,0	49,1492,698,4257,2072,-22,1698,-2546,-3647,3326,1425,-925,64,-407,-501,1,642
7	10253		A5+A1+A1	7	10	34	24	2	1	64/7	10	3	0	1	1	3	3	1	12	7	1,1,1,0,0,0,0,0,0	O:3;R5:1;Theta0_1:1	-1,-1,-1,0,0,0,0,0,0	-46,-1387,-647,-3942,-1918,22,-1572,2358,3378,-3082,-1315,858,-60,375,465,-1,-594
8	10379		A5+A1+A1	7	10	34	24	2	1	64/7	10	3	0	1	1	3	3	1	12	7	1,1,1,0,0,0,0,0,0	O:3;R5:1;Theta0_1:1	-1,-1,-1,0,0,0,0,0,0	65,2040,951,5827,2835,-30,2324,-3485,-4996,4555,1951,-1266,92,-557,-689,1,880
9	10387		A5+A1+A1	7	10	34	24	2	1	64/7	10	3	0	1	1	3	3	1	12	7	1,1,1,0,0,0,0,0,0	O:3;R5:1;Theta0_1:1	-1,-1,-1,0,0,0,0,0,0	74,2322,1082,6626,3225,-35,2642,-3963,-5680,5181,2215,-1442,104,-632,-784,1,1000
10	10397		A5+A1+A1	7	10	34	24	2	1	64/7	10	3	0	1	1	3	3	1	12	7	1,1,1,0,0,0,0,0,0	O:3;R4:1;Theta0_1:1	-1,-1,-1,0,0,0,0,0,0	-13,-307,-146,-852,-415,5,-341,510,728,-665,-281,185,-9,81,97,-1,-127
11	7772		A3+A2+A2	7	10	24	36	2	1	219/28	10	3	0	1	1	4	4	1	19	84	0,0,0,1,0,1,0,1,1	O:3;R1:1;R7:1	0,0,0,-1,0,-1,0,-1,-1	73,2308,1074,6602,3212,-34,2632,-3947,-5659,5160,2211,-1435,105,-630,-782,1,997
12	9189		A3+A2+A2	7	10	24	36	2	1	235/28	10	3	0	1	1	5	5	1	18	28	0,0,0,1,0,1,1,1,1	O:3;R1:1;R5:1	0,0,0,-1,0,-1,-1,-1,-1	-16,-395,-189,-1098,-535,7,-439,659,939,-858,-363,239,-12,105,125,-1,-164
13	9233		A3+A2+A2	7	10	24	36	2	1	235/28	10	3	0	1	1	5	5	1	18	28	0,0,0,0,1,1,1,1,1	O:3;R1:1;R4:1	0,0,0,0,-1,-1,-1,-1,-1	61,1905,887,5441,2647,-27,2170,-3254,-4665,4254,1821,-1183,87,-520,-645,1,822
14	9933		A4+A1+A1+A1	7	10	26	40	2	1	9	10	3	0	1	1	6	6	1	16	6	0,0,0,1,1,1,1,1,1	O:3;R3:1;Theta0_2:1	0,0,0,-1,-1,-1,-1,-1,-1	73,2290,1066,6545,3185,-34,2609,-3913,-5609,5116,2190,-1424,103,-624,-775,1,988
15	9939		A4+A1+A1+A1	7	10	26	40	2	1	9	10	3	0	1	1	6	6	1	16	6	0,0,0,1,1,1,1,1,1	O:3;R3:1;Theta0_2:1	0,0,0,-1,-1,-1,-1,-1,-1	-22,-589,-279,-1654,-805,10,-661,991,1416,-1292,-550,359,-21,158,191,-1,-248
16	10023		A4+A1+A1+A1	7	10	26	40	2	1	9	10	3	0	1	1	6	6	1	16	6	0,0,0,1,1,1,1,1,1	O:3;R3:1;Theta0_2:1	0,0,0,-1,-1,-1,-1,-1,-1	89,2838,1319,8115,3948,-42,3235,-4852,-6958,6345,2716,-1765,131,-774,-963,1,1226
17	10610		A4+A2+A1	7	10	28	30	2	1	37/4	10	3	0	1	1	6	6	1	15	4	0,0,0,1,1,1,1,1,1	O:3;R1:1;Theta0_2:1	0,0,0,-1,-1,-1,-1,-1,-1	-12,-285,-136,-778,-379,5,-312,468,667,-610,-254,170,-9,74,89,-1,-116
18	10614		A4+A2+A1	7	10	28	30	2	1	37/4	10	3	0	1	1	6	6	1	15	4	0,0,0,1,1,1,1,1,1	O:3;R2:1;Theta0_2:1	0,0,0,-1,-1,-1,-1,-1,-1	-9,-160,-80,-424,-207,3,-171,256,361,-331,-137,92,-1,41,45,-1,-62
