priority	mask	hex	multiplicity	witness_index	representative
1	34525	0x086dd	33	1	1 0 1 1 1 -2 -3 1 0 1 -1 -2 -2 2 -2 -1 -2
1	34525	0x086dd	33	2	1 0 1 1 3 -2 -5 1 -2 1 1 -4 -2 2 -2 1 -2
1	34525	0x086dd	33	3	1 0 -1 -1 1 0 -1 -1 0 -1 1 0 0 0 0 -1 0
1	34525	0x086dd	33	4	1 0 -1 -1 1 0 1 -1 0 -1 1 0 0 0 0 -1 0
2	57379	0x0e023	33	1	1 -1 0 0 2 -1 -2 0 0 0 0 -2 0 1 -1 -1 -2
2	57379	0x0e023	33	2	1 1 0 0 2 -1 -2 0 0 0 0 -2 0 1 -1 -1 -2
2	57379	0x0e023	33	3	1 -1 0 0 0 -1 0 0 0 0 0 0 0 1 -1 -1 -2
2	57379	0x0e023	33	4	1 -1 0 0 2 1 0 -2 -2 -2 2 0 0 -3 -1 1 0
3	61122	0x0eec2	33	1	0 1 2 2 2 -4 -7 3 0 3 -1 -5 -2 5 -3 -1 -4
3	61122	0x0eec2	33	2	2 -1 2 2 2 -2 -5 1 -4 1 1 -3 -2 1 -3 1 -2
3	61122	0x0eec2	33	3	2 -1 0 0 2 0 -1 -1 -2 -1 1 -1 0 -1 -1 -1 0
3	61122	0x0eec2	33	4	2 -1 0 -2 0 0 1 -1 0 -1 1 1 0 -1 -1 -1 0
4	12293	0x03005	32	1	1 0 1 2 2 -2 -4 0 -2 0 0 -2 -1 1 -2 0 -2
4	12293	0x03005	32	2	1 0 1 0 2 0 -2 0 0 0 0 -2 -1 1 -2 0 -2
4	12293	0x03005	32	3	1 -2 -1 -2 0 2 4 -2 0 -2 2 2 1 -3 0 0 0
4	12293	0x03005	32	4	3 -2 -1 -2 2 2 2 -2 -2 -2 2 2 1 -3 0 0 0
5	5641	0x01609	31	1	1 0 0 1 2 0 -2 0 0 1 1 -2 -1 0 -2 0 -2
5	5641	0x01609	31	2	1 0 0 1 2 -2 -4 0 -2 1 1 -2 -1 2 -2 0 -2
5	5641	0x01609	31	3	1 0 0 -1 2 -2 -2 0 0 -1 -1 -2 1 2 0 -2 -2
5	5641	0x01609	31	4	1 -2 0 -1 0 2 2 -2 0 -1 1 2 1 -2 0 0 0
6	6752	0x01a60	31	1	0 0 0 0 2 -1 -3 0 0 1 0 -1 -1 2 -2 0 -2
6	6752	0x01a60	31	2	2 0 2 2 4 -3 -7 2 -4 1 0 -5 -1 2 -4 0 -4
6	6752	0x01a60	31	3	0 0 0 0 0 1 1 -2 0 -1 0 1 1 -2 0 0 0
6	6752	0x01a60	31	4	0 0 0 0 0 1 1 -2 0 -1 0 1 1 0 0 0 0
7	8210	0x02012	31	1	2 -1 0 0 3 0 -2 0 -2 0 2 -2 0 -1 -2 0 -2
7	8210	0x02012	31	2	2 -1 0 0 3 -2 -4 0 -2 0 0 -2 0 1 -2 0 -2
7	8210	0x02012	31	3	0 1 2 2 3 -2 -6 0 -2 0 0 -4 0 1 -2 0 -2
7	8210	0x02012	31	4	0 1 0 0 -1 0 0 0 0 0 0 0 0 -1 0 0 2
8	14123	0x0372b	31	1	1 1 0 1 2 -1 -4 0 -1 1 1 -2 -1 1 -2 0 -2
8	14123	0x0372b	31	2	1 -1 0 1 2 -1 -2 0 -1 1 1 -2 -1 1 -2 0 -2
8	14123	0x0372b	31	3	1 -1 0 -1 0 -1 0 0 1 -1 -1 0 1 1 0 -2 -2
8	14123	0x0372b	31	4	1 -1 0 -1 0 3 4 -2 1 -1 1 2 1 -3 0 0 0
9	18445	0x0480d	31	1	1 0 -1 -1 2 -2 -2 0 0 0 0 -1 0 2 -1 -2 -2
9	18445	0x0480d	31	2	1 0 1 1 2 -2 -4 0 -2 0 0 -3 0 0 -3 0 -2
9	18445	0x0480d	31	3	1 0 1 1 2 0 -2 0 -2 0 0 -1 0 0 -1 0 -2
9	18445	0x0480d	31	4	1 0 1 1 2 -2 -4 0 -2 0 0 -3 0 2 -1 0 -2
10	18595	0x048a3	31	1	1 1 2 2 2 -3 -6 1 -2 2 0 -3 -2 2 -3 0 -2
10	18595	0x048a3	31	2	1 -1 0 0 0 3 2 -1 0 0 2 1 -2 -2 -1 2 0
10	18595	0x048a3	31	3	1 1 2 4 4 -5 -10 3 -4 2 0 -7 -2 4 -3 0 -4
10	18595	0x048a3	31	4	1 1 0 0 2 -3 -4 1 0 0 0 -3 0 2 -1 -2 -2
11	29640	0x073c8	31	1	0 0 0 1 0 0 -1 -1 1 1 0 0 -1 1 -1 0 0
11	29640	0x073c8	31	2	2 -2 0 -1 0 0 1 1 -1 -1 0 0 1 -1 1 0 0
11	29640	0x073c8	31	3	2 0 2 1 4 -6 -9 3 -3 1 -2 -6 -1 5 -3 -2 -4
11	29640	0x073c8	31	4	0 2 2 3 2 -6 -9 3 -1 3 -2 -6 -1 5 -3 -2 -4
12	30497	0x07721	31	1	1 0 0 0 0 -3 -2 2 1 1 -1 -2 -1 3 -1 -2 -2
12	30497	0x07721	31	2	1 0 0 0 2 -3 -4 2 -1 1 -1 -2 -1 3 -1 -2 -2
12	30497	0x07721	31	3	1 0 0 0 2 -1 -2 0 -1 -1 1 -2 -1 -1 -1 0 0
12	30497	0x07721	31	4	1 0 0 0 0 1 0 0 -1 -1 1 0 -1 -1 -1 0 0
13	32278	0x07e16	31	1	0 1 1 2 3 -2 -6 0 -2 1 1 -3 -1 1 -3 0 -2
13	32278	0x07e16	31	2	2 -1 1 0 3 -2 -4 0 -2 1 1 -3 -1 1 -3 0 -2
13	32278	0x07e16	31	3	2 -1 1 0 1 -2 -2 0 -2 -1 -1 -1 1 1 -1 -2 -2
13	32278	0x07e16	31	4	2 -3 -1 -2 -1 6 8 -4 0 -3 3 5 1 -7 1 2 2
14	49556	0x0c194	31	1	0 2 1 2 3 -2 -6 1 -1 2 0 -4 -2 2 -3 1 -2
14	49556	0x0c194	31	2	0 0 1 2 1 -2 -4 1 -1 2 0 -2 -2 2 -3 1 -2
14	49556	0x0c194	31	3	0 0 1 0 -1 0 0 1 -1 0 0 0 0 0 1 1 0
14	49556	0x0c194	31	4	2 0 1 0 3 -4 -6 1 -3 0 0 -4 0 2 -3 -1 -2
15	52904	0x0cea8	31	1	0 0 0 1 0 1 0 -1 0 1 1 1 -2 0 -1 1 0
15	52904	0x0cea8	31	2	2 0 2 1 2 -1 -4 1 -2 1 1 -3 -2 0 -3 1 -2
15	52904	0x0cea8	31	3	0 2 2 3 4 -5 -10 3 -2 3 -1 -7 -2 6 -3 -1 -4
15	52904	0x0cea8	31	4	2 -2 0 -1 0 1 2 -1 0 -1 1 1 0 -2 -1 -1 0
16	61948	0x0f1fc	31	1	2 0 1 1 3 -3 -5 1 -3 0 0 -4 -1 1 -3 -1 -2
16	61948	0x0f1fc	31	2	0 2 1 1 3 -3 -7 1 -1 2 0 -4 -1 3 -3 -1 -2
16	61948	0x0f1fc	31	3	0 0 1 -1 -1 -1 1 1 1 0 -2 0 1 1 1 -1 0
16	61948	0x0f1fc	31	4	0 0 1 1 -1 -1 -1 1 -1 0 -2 0 1 1 1 -1 0
17	65196	0x0feac	31	1	0 0 1 -1 0 -1 0 1 0 -1 -1 -1 1 1 1 -1 0
