mask	hex	bit_vector	representative_norm	half_representative_norm
14	0x0000e	01110000000000000	18	9/2
53	0x00035	10101100000000000	14	7/2
54	0x00036	01101100000000000	14	7/2
62	0x0003e	01111100000000000	22	11/2
69	0x00045	10100010000000000	18	9/2
93	0x0005d	10111010000000000	50	25/2
94	0x0005e	01111010000000000	50	25/2
117	0x00075	10101110000000000	22	11/2
121	0x00079	10011110000000000	26	13/2
122	0x0007a	01011110000000000	26	13/2
133	0x00085	10100001000000000	18	9/2
134	0x00086	01100001000000000	18	9/2
142	0x0008e	01110001000000000	30	15/2
143	0x0008f	11110001000000000	46	23/2
151	0x00097	11101001000000000	46	23/2
154	0x0009a	01011001000000000	34	17/2
155	0x0009b	11011001000000000	50	25/2
157	0x0009d	10111001000000000	50	25/2
159	0x0009f	11111001000000000	66	33/2
161	0x000a1	10000101000000000	10	5/2
162	0x000a2	01000101000000000	10	5/2
165	0x000a5	10100101000000000	14	7/2
169	0x000a9	10010101000000000	18	9/2
174	0x000ae	01110101000000000	22	11/2
179	0x000b3	11001101000000000	26	13/2
186	0x000ba	01011101000000000	26	13/2
193	0x000c1	10000011000000000	18	9/2
196	0x000c4	00100011000000000	18	9/2
201	0x000c9	10010011000000000	34	17/2
205	0x000cd	10110011000000000	46	23/2
206	0x000ce	01110011000000000	46	23/2
212	0x000d4	00101011000000000	34	17/2
213	0x000d5	10101011000000000	46	23/2
233	0x000e9	10010111000000000	26	13/2
234	0x000ea	01010111000000000	26	13/2
236	0x000ec	00110111000000000	22	11/2
242	0x000f2	01001111000000000	26	13/2
245	0x000f5	10101111000000000	34	17/2
247	0x000f7	11101111000000000	50	25/2
252	0x000fc	00111111000000000	38	19/2
255	0x000ff	11111111000000000	70	35/2
301	0x0012d	10110100100000000	26	13/2
309	0x00135	10101100100000000	26	13/2
310	0x00136	01101100100000000	22	11/2
342	0x00156	01101010100000000	46	23/2
350	0x0015e	01111010100000000	66	33/2
366	0x0016e	01110110100000000	30	15/2
378	0x0017a	01011110100000000	34	17/2
389	0x00185	10100001100000000	34	17/2
410	0x0019a	01011001100000000	50	25/2
413	0x0019d	10111001100000000	74	37/2
415	0x0019f	11111001100000000	90	45/2
417	0x001a1	10000101100000000	18	9/2
421	0x001a5	10100101100000000	26	13/2
422	0x001a6	01100101100000000	22	11/2
457	0x001c9	10010011100000000	50	25/2
458	0x001ca	01010011100000000	46	23/2
461	0x001cd	10110011100000000	66	33/2
466	0x001d2	01001011100000000	46	23/2
468	0x001d4	00101011100000000	50	25/2
469	0x001d5	10101011100000000	66	33/2
475	0x001db	11011011100000000	90	45/2
486	0x001e6	01100111100000000	30	15/2
487	0x001e7	11100111100000000	46	23/2
493	0x001ed	10110111100000000	50	25/2
495	0x001ef	11110111100000000	66	33/2
498	0x001f2	01001111100000000	34	17/2
499	0x001f3	11001111100000000	50	25/2
501	0x001f5	10101111100000000	50	25/2
503	0x001f7	11101111100000000	66	33/2
508	0x001fc	00111111100000000	54	27/2
511	0x001ff	11111111100000000	90	45/2
517	0x00205	10100000010000000	10	5/2
518	0x00206	01100000010000000	10	5/2
