i	j	c0	c1	c2
0	1	1	0	1
0	2	-2.0996219073399942	1	-2.2515126724414496
0	3	0.14412916133641096	0.27612104451586172	0.10218892462994215
0	4	-0.036577220389970987	0.30198475275652048	-0.075341696254290103
0	5	0.21336606424074461	0.223529710792394	-0.071729546075336437
0	6	-0.17457622933463374	0.34518487958579985	-0.077329508010361786
0	7	-0.0024969557344190875	0.29122234148743548	-0.074845534611445885
0	8	0.05054170198914687	0.27458990236620989	-0.074079919523571888
1	2	-0.67153001551132607	0.10787545984221154	-0.69419080586941173
1	3	0.18958692579618452	0.39068177523860498	0.1075186053523102
1	4	-0.036577220416702513	0.30198475266859737	-0.075341696299624367
1	5	0.2133660642321217	0.22352971076359443	-0.071729546081625906
1	6	-0.17457622934173644	0.34518487955801197	-0.07732950802148586
1	7	-0.0024969557648386051	0.29122234141348097	-0.074845534607435135
1	8	0.050541701961084734	0.27458990232604613	-0.074079919527117954
2	3	0.12678945929625685	0.23242226257769349	0.10015593693995202
2	4	-0.036577220371276614	0.3019847528048587	-0.07534169622782845
2	5	0.21336606424865759	0.22352971080868639	-0.071729546068577468
2	6	-0.17457622932591041	0.34518487960522271	-0.077329508000636579
2	7	-0.0024969557146229527	0.2912223415276492	-0.074845534609080569
2	8	0.050541702006958338	0.27458990238958036	-0.074079919517629586
3	4	-0.036577220473944669	0.3019847524079472	-0.075341696543958545
3	5	0.21336606415199061	0.22352971076728873	-0.071729546121075335
3	6	-0.17457622932007433	0.34518487956635618	-0.077329508085013682
3	7	-0.0024969558575123766	0.29122234118120982	-0.074845534598581523
3	8	0.050541701834631421	0.27458990227364266	-0.074079919556056639
4	5	0.29126634849021171	0.18321375895033373	-0.066513449780570416
4	6	-0.31566893042595412	0.41832416505817865	-0.08680793352314807
4	7	0.56882058360710608	-0.0033650754132305409	-0.036871396553579551
4	8	0.27403680968276151	0.15904948730891352	-0.059147547452114514
5	6	-0.33866722500875895	0.032630710547029769	0.014171493871458652
5	7	-0.29739618047035432	-0.27049021025055242	0.089597349993292066
5	8	-0.34041844891095069	-0.47009573285185918	0.14392889719943297
6	7	0.279986917557835	-0.28627572871498902	0.054915472063184506
6	8	0.26647127912378171	-0.16684739705797141	0.025108915995968428
7	8	0.39253743599045787	0.46571538092013282	-0.1468003717419582
