root	run_index	gauge_sign	restart	raw_max	slope_rank	A_max	B_max	A_strength	B_strength	surface_strength	delta_max	delta_vs_x6	jvar_max	jvar_rel	A_degree	B_degree	delta_degree	cusp_like	nonisotrivial	nullity_1e-6	nullity_1e-8	nullity_1e-10	nullity_1e-12	jacobian_smax	jacobian_smin
root-000001	1	-1	0	6.9735883734267645e-15	3	0.011011701674810434	0.0007333251062814751	2.666786667304832	1.934605813745896	2.666786667304832	1.4185249263122283e-08	0.09872538613302895	6.703502753677712e-09	1.2944861563446908e-05	8	12	24	False	True	9	9	2	0	4.6007077373503495	3.242634672420021e-10
root-000029	29	1	12	8.138574449784164e-13	3	1.222142230776017e-08	8.56791149249616e-13	2.998543467957422	1.9991869174896892	2.998543467957422	3.301931730429793e-26	0.17977319995418195	1.2251120184545843e-23	1.5145244971115555e-05	8	12	24	False	True	11	10	2	0	6.172573732240989	4.629203086490129e-10
root-000032	32	1	15	3.2383790464463283e-13	3	3.6342832471189673e-16	6.797408446507774e-16	6644881.003047325	9.956575391971054e+17	9.956575391971054e+17	2.740299896737637e-29	5.879377335358057e+37	2.5879725573388737e-31	0.018568447370362125	8	12	24	False	True	32	11	0	0	4.669681395303986	6.699160064403949e-10
root-000020	20	1	3	1.1195644206587721e-13	3	1.6140588354612284e-16	2.6785508689215435e-16	111323851488.39305	3.705737547309412e+24	3.705737547309412e+24	5.9710264650928564e-30	1.14287442621358e+51	1.6393462569190915e-31	0.08660351919636011	8	12	23	False	True	65	2	0	0	4.284954314800214	5.96229209505331e-10
root-000010	10	-1	9	2.1642088245530424e-13	3	1.7333937796598022e-16	3.0781913864276437e-16	39975901002.915825	1.1101539404331942e+24	1.1101539404331942e+24	5.443409650605052e-30	7.080210850993026e+49	1.5567865464082678e-31	0.06866924025671267	8	11	18	False	True	65	2	2	0	4.003024370017434	3.2528507815042635e-10
root-000009	9	-1	8	1.0589880244663011e-13	3	1.9976393838222264e-16	1.844893324020894e-16	65847880702.50229	9.556171145634913e+23	9.556171145634913e+23	3.159000309172268e-30	8.475688518536232e+49	3.6762673527540518e-31	0.19028699974193478	8	12	24	False	True	65	2	0	0	3.9491573703778364	4.477955419753354e-10
root-000014	14	-1	13	2.9555522361700377e-13	3	2.973152212433161e-16	5.077920601209495e-16	8675900276.165262	5.904700917788796e+22	5.904700917788796e+22	2.204545471693585e-29	2.980870155845085e+47	5.401782008254345e-31	0.045515919530948926	8	12	24	False	True	65	2	0	0	4.964143684043859	5.2594653725754e-10
root-000002	2	-1	1	3.4601488341223785e-13	3	0.004183693203980813	0.00017678377046318692	2.999999999999391	2.0000000000001164	2.999999999999391	1.2819843656693836e-18	1.64080864464963e-10	2.151463686025923e-18	5.230677113189149e-14	8	12	24	False	False	21	9	9	0	4.565069747123929	1.4126174658536191e-11
root-000007	7	-1	6	7.79071251955088e-13	3	0.007444456963850763	0.0004177059540383914	2.9999999999991385	1.9999999999981504	2.9999999999991385	1.3193385186432982e-17	3.0246484303512477e-10	9.974659986866641e-18	3.885279923683538e-14	8	12	24	False	False	17	9	9	0	4.930218145399061	1.4395705024372651e-11
root-000005	5	-1	4	1.7269775887118755e-11	3	0.007380988907397486	0.0003198092655457521	3.0278621729129043	2.028424489219663	3.0278621729129043	1.4515735965994953e-16	5.8394866012246324e-09	2.0098397772450038e-16	1.6867525264791687e-12	8	12	24	False	False	12	10	10	0	5.309688471466279	2.058352364180224e-11
root-000028	28	1	11	2.570586452033119e-11	3	0.011118271675373038	0.0006018709348347906	3.0004065061606315	2.000480930899537	3.0004065061606315	7.018684407538583e-17	7.75385730713355e-10	8.921628626840095e-17	2.643174784994235e-13	8	12	24	False	False	12	10	10	0	5.060935628357175	2.591188802819359e-11
root-000016	16	-1	15	1.440381841577576e-11	3	0.003234987873346751	0.00011156591327362841	3.0000010046580066	2.000000871983781	3.0000010046580066	1.537894194858589e-18	4.942239390835465e-10	3.869246503057644e-18	1.3682502788872323e-13	8	12	24	False	False	12	10	9	0	8.770096397373301	1.1443104192344313e-11
root-000017	17	1	0	1.6320000906233645e-12	3	0.006163202547263055	0.00026341497264687126	3.000000133568782	2.0000001551325046	3.000000133568782	3.7996203947933405e-17	2.190379444070652e-09	5.592111517772891e-17	6.138796262932181e-13	8	12	24	False	False	12	10	10	0	5.800314812548208	1.7383004721673507e-11
