
RELATION -2
degree values: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79]
number eigenvalues: 1310
spectrum:
  -29.5574947609 x 1
  -29.3727585671 x 1
  -29.1848404565 x 1
  -29.0966744630 x 1
  -29.0086348416 x 1
  -28.9200173117 x 1
  -28.7959625407 x 1
  -28.5946278131 x 1
  -28.3764030219 x 1
  -28.1641178005 x 1
  -28.0782019419 x 1
  -28.0128043235 x 1
  -27.6441469917 x 1
  -26.8254099363 x 1
  -26.6064208853 x 1
  -22.7176444355 x 1
  -10.5267609117 x 1
  -10.5024312207 x 1
  -10.3663099962 x 1
  -10.3081889461 x 1
  -10.2328540251 x 1
  -10.2056333933 x 1
  -10.1484945078 x 1
  -10.0733316039 x 1
  -9.9869462688 x 1
  -9.9727593168 x 1
  -9.8968376142 x 1
  -9.8711749148 x 1
  -9.8529774823 x 1
  -9.8020691174 x 1
  -9.7260810133 x 1
  -9.7188425885 x 1
  -9.6885094356 x 1
  -9.6807200367 x 1
  -9.6592414826 x 1
  -9.5985733800 x 1
  -9.5937762801 x 1
  -9.5284709371 x 1
  -9.5219191908 x 1
  -9.5055616078 x 1
  -9.4703940498 x 1
  -9.4272651244 x 1
  -9.4082749063 x 1
  -9.3970303266 x 1
  -9.3074199457 x 1
  -9.3003352588 x 1
  -9.2644608758 x 1
  -9.2381559265 x 1
  -9.2271727193 x 1
  -9.2146873746 x 1
  -9.2039776104 x 1
  -9.1644737506 x 1
  -9.1041790812 x 1
  -9.0925083347 x 1
  -9.0575772624 x 1
  -9.0366102178 x 1
  -9.0310336834 x 1
  -8.9851612783 x 1
  -8.9797030341 x 1
  -8.9649437198 x 1
  -8.9499956912 x 1
  -8.9275940013 x 1
  -8.9045116575 x 1
  -8.8778342201 x 1
  -8.8490020008 x 1
  -8.8190704076 x 1
  -8.7997815089 x 1
  -8.7786273731 x 1
  -8.7777561126 x 1
  -8.7526737121 x 1
  -8.7282162077 x 1
  -8.7127402847 x 1
  -8.6886394208 x 1
  -8.6835499931 x 1
  -8.6502844647 x 1
  -8.6285744277 x 1
  -8.6001138350 x 1
  -8.5789986521 x 1
  -8.5723768182 x 1
  -8.5406346521 x 1
  -8.5115094018 x 1
  -8.5019575670 x 1
  -8.4775957145 x 1
  -8.4533909172 x 1
  -8.4140483551 x 1
  -8.4021310052 x 1
  -8.3995381918 x 1
  -8.3814284934 x 1
  -8.3596084923 x 1
  -8.3422350436 x 1
  -8.3101599266 x 1
  -8.2671742896 x 1
  -8.2611197805 x 1
  -8.2566242382 x 1
  -8.2135730640 x 1
  -8.1998156901 x 1
  -8.1872769777 x 1
  -8.1813258749 x 1
  -8.1618413168 x 1
  -8.1436269974 x 1
  -8.1213216327 x 1
  -8.1142756183 x 1
  -8.0981454180 x 1
  -8.0815200503 x 1
  -8.0763423653 x 1
  -8.0431521838 x 1
  -8.0317410897 x 1
  -8.0122381238 x 1
  -7.9968937269 x 1
  -7.9826738012 x 1
  -7.9504806236 x 1
  -7.9239995364 x 1
  -7.9035553811 x 1
  -7.8739278005 x 1
  -7.8640809995 x 1
  -7.8366251795 x 1
  -7.8291643630 x 1
  -7.8054614316 x 1
  -7.7887366067 x 1
  -7.7739056842 x 1
  -7.7476869197 x 1
  -7.7325177429 x 1
  -7.7199519952 x 1
  -7.7113772951 x 1
  -7.7006834462 x 1
  -7.6463321775 x 1
  -7.6381795855 x 1
  -7.6201369752 x 1
  -7.6161662974 x 1
  -7.6064977208 x 1
  -7.5902607455 x 1
  -7.5611421471 x 1
  -7.5423132137 x 1
  -7.5237306882 x 1
  -7.5020382214 x 1
  -7.5011869020 x 1
  -7.4913178841 x 1
  -7.4871784965 x 1
  -7.4457420241 x 1
  -7.4370597360 x 1
  -7.4061691430 x 1
  -7.3964616788 x 1
  -7.3764216450 x 1
  -7.3741745390 x 1
  -7.3470933964 x 1
  -7.3296877900 x 1
  -7.3146909157 x 1
  -7.2826113218 x 1
  -7.2766838599 x 1
  -7.2518835106 x 1
  -7.2347845457 x 1
  -7.2295588942 x 1
  -7.2131221377 x 1
  -7.1892082264 x 1
  -7.1744820924 x 1
  -7.1477716963 x 1
  -7.1381944145 x 1
  -7.1245535840 x 1
  -7.1041053695 x 1
  -7.0867839285 x 1
  -7.0746351334 x 1
  -7.0558720324 x 1
  -7.0419236647 x 1
  -7.0369002117 x 1
  -6.9933735073 x 1
  -6.9821012514 x 1
  -6.9617757223 x 1
  -6.9549806272 x 1
  -6.9280503484 x 1
  -6.9244550926 x 1
  -6.9002925679 x 1
  -6.8902615687 x 1
  -6.8689328103 x 1
  -6.8361591990 x 1
  -6.8292748506 x 1
  -6.8269586774 x 1
  -6.8076704028 x 1
  -6.7915588054 x 1
  -6.7676125294 x 1
  -6.7419666626 x 1
  -6.7289185317 x 1
  -6.7226290613 x 1
  -6.7127227717 x 1
  -6.6865854420 x 1
  -6.6786293604 x 1
  -6.6634561539 x 1
  -6.6486225582 x 1
  -6.6432413907 x 1
  -6.6242770413 x 1
  -6.6132825602 x 1
  -6.5985740726 x 1
  -6.5862167669 x 1
  -6.5443562279 x 1
  -6.5306546232 x 1
  -6.5221247281 x 1
  -6.5070540158 x 1
  -6.5016348185 x 1
  -6.4759365660 x 1
  -6.4731623248 x 1
  -6.4541984876 x 1
  -6.4372949555 x 1
  -6.4035771178 x 1
  -6.3902206512 x 1
  -6.3777720335 x 1
  -6.3554171242 x 1
  -6.3367804954 x 1
  -6.3306591984 x 1
  -6.3205468605 x 1
  -6.2957692548 x 1
  -6.2778586135 x 1
