root	fingerprint_index	identity	score	curve_max	line_max	anchor_count	v_pairings	anchors
root-000029	2452	0	5.85044504703737e-13	5.220100634428849e-14	5.85044504703737e-13	9	0 0 2 2 2 1 1 1 1	V2:+2 V3:+2 V4:+2 D02:-2 D03:-2 D04:-2 D12:-2 D13:-2 D14:-2
root-000029	2455	0	2.1955787589350288e-12	7.833202612509214e-16	2.1955787589350288e-12	9	0 0 -2 -2 -1 -1 -2 -1 -1	V2:-2 V3:-2 V6:-2 D02:+2 D03:+2 D06:+2 D12:+2 D13:+2 D16:+2
root-000029	2473	0	2.406868679581628e-12	6.076979618729316e-14	2.406868679581628e-12	9	0 0 -2 -1 -1 -2 -1 -1 -2	V2:-2 V5:-2 V8:-2 D02:+2 D05:+2 D08:+2 D12:+2 D15:+2 D18:+2
root-000029	2467	0	4.405773989361776e-12	3.6291904056807073e-16	4.405773989361776e-12	9	0 0 -2 -1 -2 -1 -1 -1 -2	V2:-2 V4:-2 V8:-2 D02:+2 D04:+2 D08:+2 D12:+2 D14:+2 D18:+2
root-000029	831	0	6.963899838562207e-12	5.7070563769508175e-15	6.963899838562207e-12	9	-2 0 0 -1 -1 -2 -1 -2 -1	V0:-2 V5:-2 V7:-2 D01:-2 D02:-2 D15:+2 D17:+2 D25:+2 D27:+2
root-000029	837	0	9.48451520757581e-12	3.129318614362189e-16	9.48451520757581e-12	9	-2 0 0 -1 -1 -1 -2 -1 -2	V0:-2 V6:-2 V8:-2 D01:-2 D02:-2 D16:+2 D18:+2 D26:+2 D28:+2
root-000029	817	0	1.0638768018784536e-11	2.997378261577181e-16	1.0638768018784536e-11	9	-2 0 0 -2 -1 -1 -1 -2 -1	V0:-2 V3:-2 V7:-2 D01:-2 D02:-2 D13:+2 D17:+2 D23:+2 D27:+2
root-000029	1536	0	1.9449685056989966e-11	2.9855452483474317e-16	1.9449685056989966e-11	9	1 1 1 0 2 1 2 0 2	V4:+2 V6:+2 V8:+2 D34:-2 D36:-2 D38:-2 D47:+2 D67:+2 D78:-2
root-000029	828	0	2.1946441324191023e-11	2.0491356582667883e-12	2.1946441324191023e-11	9	2 0 0 1 2 1 1 1 2	V0:+2 V4:+2 V8:+2 D01:+2 D02:+2 D14:-2 D18:-2 D24:-2 D28:-2
root-000029	397	0	2.7115906162503006e-11	3.01335939283328e-16	2.7115906162503006e-11	9	-2 -1 -1 -1 -2 -1 -2 0 0	V0:-2 V4:-2 V6:-2 D07:-2 D08:-2 D47:-2 D48:-2 D67:-2 D68:-2
root-000029	2463	0	2.790507784342947e-11	2.9022897974487387e-16	2.790507784342947e-11	9	0 0 -2 -1 -2 -1 -2 -1 -1	V2:-2 V4:-2 V6:-2 D02:+2 D04:+2 D06:+2 D12:+2 D14:+2 D16:+2
