stage_rank	section_position	section_signed_index	anchor_position	anchor_signed_index	pairing	operation	anchor_is_coxeter
10	9	961	5	1441	-2	sum	1
10	9	961	6	683	-2	sum	1
10	9	961	7	2351	-2	sum	1
11	10	2402	5	1441	-2	sum	1
11	10	2402	6	683	-2	sum	1
11	10	2402	7	2351	-2	sum	1
11	10	2402	9	961	2	difference	0
12	11	1642	1	2525	-2	sum	1
12	11	1642	4	1859	-2	sum	1
12	11	1642	7	2351	-2	sum	1
12	11	1642	10	2402	2	difference	0
13	12	1300	3	1303	-2	sum	1
13	12	1300	5	1441	-2	sum	1
13	12	1300	10	2402	2	difference	0
14	13	1023	3	1303	2	difference	1
14	13	1023	7	2351	2	difference	1
14	13	1023	10	2402	-2	sum	0
14	13	1023	11	1642	-2	sum	0
14	13	1023	12	1300	-2	sum	0
15	14	2216	0	2313	-2	sum	1
15	14	2216	1	2525	-2	sum	1
15	14	2216	2	307	-2	sum	1
15	14	2216	4	1859	-2	sum	1
15	14	2216	5	1441	-2	sum	1
15	14	2216	7	2351	-2	sum	1
15	14	2216	8	2143	-2	sum	1
15	14	2216	11	1642	2	difference	0
15	14	2216	13	1023	-2	sum	0
16	15	2392	1	2525	-2	sum	1
16	15	2392	3	1303	-2	sum	1
16	15	2392	5	1441	-2	sum	1
16	15	2392	6	683	-2	sum	1
16	15	2392	7	2351	-2	sum	1
16	15	2392	10	2402	2	difference	0
16	15	2392	11	1642	2	difference	0
16	15	2392	13	1023	-2	sum	0
17	16	2610	0	2313	-2	sum	1
17	16	2610	1	2525	-2	sum	1
17	16	2610	5	1441	-2	sum	1
17	16	2610	8	2143	-2	sum	1
17	16	2610	14	2216	2	difference	0
