rank	score	priority	multiplicity	norm	pair0	pair1	pair2	pair3plus	vector
1	38102	1	33	10	900	656	904	162	1 0 1 1 1 -2 -3 1 0 1 -1 -2 -2 2 -2 -1 -2
2	38102	3	33	10	900	656	904	162	0 1 2 2 2 -4 -7 3 0 3 -1 -5 -2 5 -3 -1 -4
3	37854	2	33	10	842	776	834	170	1 -1 0 0 2 -1 -2 0 0 0 0 -2 0 1 -1 -1 -2
4	37208	4	32	10	878	670	916	158	1 0 1 2 2 -2 -4 0 -2 0 0 -2 -1 1 -2 0 -2
5	35992	8	31	10	836	768	854	164	1 1 0 1 2 -1 -4 0 -1 1 1 -2 -1 1 -2 0 -2
6	35962	16	31	10	842	760	854	166	2 0 1 1 3 -3 -5 1 -3 0 0 -4 -1 1 -3 -1 -2
7	35928	12	31	10	858	720	872	172	1 0 0 0 0 -3 -2 2 1 1 -1 -2 -1 3 -1 -2 -2
8	35904	11	31	10	816	784	850	172	0 0 0 1 0 0 -1 -1 1 1 0 0 -1 1 -1 0 0
9	35872	5	31	10	830	786	836	170	1 0 0 1 2 0 -2 0 0 1 1 -2 -1 0 -2 0 -2
10	35872	7	31	10	830	786	836	170	2 -1 0 0 3 0 -2 0 -2 0 2 -2 0 -1 -2 0 -2
11	35864	9	31	10	826	784	840	172	1 0 -1 -1 2 -2 -2 0 0 0 0 -1 0 2 -1 -2 -2
12	35864	13	31	10	832	786	834	170	0 1 1 2 3 -2 -6 0 -2 1 1 -3 -1 1 -3 0 -2
13	35840	6	31	10	844	758	846	174	0 0 0 0 2 -1 -3 0 0 1 0 -1 -1 2 -2 0 -2
14	35812	19	31	10	836	758	850	178	0 0 0 0 1 1 0 -1 1 0 0 0 0 1 -1 -1 -1
15	35720	14	31	10	802	824	816	180	0 2 1 2 3 -2 -6 1 -1 2 0 -4 -2 2 -3 1 -2
16	35596	10	31	10	812	802	818	190	1 1 2 2 2 -3 -6 1 -2 2 0 -3 -2 2 -3 0 -2
17	35542	18	31	10	818	802	810	192	0 0 0 0 1 0 -1 0 0 1 2 -1 -2 0 -2 1 -1
18	35442	17	31	10	828	792	804	198	0 0 1 -1 0 -1 0 1 0 -1 -1 -1 1 1 1 -1 0
19	35432	15	31	10	796	828	798	200	0 0 0 1 0 1 0 -1 0 1 1 1 -2 0 -1 1 0
20	34936	27	30	10	844	756	854	168	1 1 0 0 2 -3 -5 1 -1 0 0 -3 -1 2 -2 -1 -2
21	34846	22	30	10	820	778	848	176	1 -1 1 0 1 0 -1 1 -3 -1 0 -1 1 0 0 0 0
22	34794	23	30	10	806	824	818	174	2 -1 1 1 3 -2 -4 0 -3 0 1 -3 -1 0 -2 0 -2
23	34742	26	30	10	840	746	852	184	1 1 2 1 2 -2 -5 1 -2 0 0 -4 -1 2 -2 -1 -2
24	34724	25	30	10	792	826	822	182	1 0 -1 -1 0 -1 0 -1 0 0 0 1 0 0 0 -1 0
25	34716	31	30	10	794	826	820	182	0 1 0 0 1 -1 -2 -1 0 0 0 -2 0 1 -1 -1 0
26	34706	33	30	10	816	810	816	180	1 1 2 2 3 -4 -8 2 -3 2 0 -5 -2 3 -4 -1 -3
