trial	row	vector
0	0	-1 0 1 0 0 1 0 1 -1 0 1 0 1 -1 0 0 -1 -1 0 0 0
0	1	1 1 -1 -1 -1 0 -2 -1 1 1 1 -1 0 0 0 0 0 1 0 -1 0
0	2	0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1 0 0 0 0 0
0	3	0 0 -1 0 0 0 -1 0 1 0 1 0 0 0 0 0 0 1 0 -1 0
0	4	1 -1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 -1
0	5	1 2 -2 -1 0 -2 -1 0 1 1 0 0 0 0 1 0 1 1 -1 -1 0
0	6	0 -1 1 1 0 1 1 1 -1 0 0 0 -1 1 0 0 -1 -1 0 0 -2
0	7	0 0 0 1 2 0 2 2 -2 -1 -1 0 1 1 -1 0 -1 -1 -1 -1 0
0	8	-1 -1 0 0 1 1 -1 1 0 -2 1 1 1 0 -1 1 -1 0 1 0 1
0	9	1 1 -1 0 0 0 1 0 0 1 0 -1 0 1 0 -1 -1 0 -1 -1 -1
0	10	-1 0 1 1 1 1 0 1 -1 -1 0 0 0 -1 -1 0 0 0 0 0 0
0	11	1 1 -1 0 -1 0 0 -1 1 1 -1 0 -1 1 1 0 0 1 -1 0 -1
0	12	-1 0 1 0 0 0 0 0 -1 0 -1 -1 0 0 -1 -1 0 0 1 0 1
0	13	-1 -2 1 1 1 1 1 1 -1 -1 0 1 1 0 -1 1 -1 0 0 0 1
0	14	0 1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0
0	15	-1 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0
0	16	0 -1 0 1 2 0 1 1 -1 -1 -1 2 1 0 -1 1 -1 0 0 0 1
1	0	-1 0 1 1 -1 0 1 0 -1 1 0 -1 -1 -1 0 -1 1 0 0 1 -1
1	1	0 -1 -1 0 1 0 -1 1 1 -1 1 1 1 0 -1 2 -1 0 0 -1 1
1	2	0 0 0 0 2 0 1 1 -1 -1 -1 0 1 0 -1 0 0 0 -1 -1 1
1	3	1 -1 -1 1 2 0 1 1 0 -1 -1 1 1 1 -1 1 -1 0 -1 -1 1
1	4	-1 -1 1 1 2 1 0 1 -1 -1 0 0 1 -1 -2 0 -1 0 0 0 1
1	5	0 0 0 1 0 0 1 0 0 0 -1 -1 0 0 0 -1 0 0 -1 0 0
1	6	-1 -1 0 1 1 0 1 0 -1 0 -1 0 0 0 -1 0 0 1 0 0 1
1	7	0 1 0 0 -1 0 -1 -2 0 1 0 -1 0 -1 0 -1 1 0 1 1 0
1	8	-1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0
1	9	0 1 0 -1 0 0 -1 -1 0 1 0 0 0 0 0 0 1 0 0 0 0
1	10	-1 0 1 1 0 0 1 0 -1 0 -1 -1 -1 0 0 -1 1 0 0 0 -1
1	11	0 0 0 1 -1 0 1 0 -1 0 0 0 -1 0 1 -1 1 0 0 0 -1
1	12	0 -1 0 1 1 0 1 1 0 -1 -1 0 0 1 0 0 -1 0 -1 0 0
1	13	-1 -2 1 1 1 1 1 1 0 -1 0 1 0 0 -1 1 -1 0 0 1 0
1	14	-1 1 0 0 1 -1 1 0 -1 0 -1 -1 1 0 -1 -1 0 0 0 0 1
1	15	0 2 -1 -1 0 -1 -1 -2 1 1 0 -1 0 0 0 0 1 1 0 -1 0
1	16	-1 0 1 0 0 1 -1 0 0 -1 0 0 1 -1 0 0 0 0 0 0 1
2	0	1 -2 0 1 0 0 1 1 -1 0 -1 2 0 1 0 1 0 0 0 0 0
2	1	0 0 0 1 1 -1 0 0 0 0 -1 0 0 0 -1 0 0 0 0 0 1
2	2	0 0 -1 -1 0 0 -1 0 1 0 1 1 0 0 1 1 0 0 0 0 0
2	3	0 -1 -1 0 1 1 -1 1 0 -2 1 1 1 0 0 1 -1 0 0 -1 1
2	4	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -1 0
2	5	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1
2	6	1 0 -1 0 1 0 0 1 0 -1 0 1 1 0 0 1 -1 0 -1 -1 1
2	7	0 -2 1 1 0 1 0 1 0 -1 0 1 0 0 0 1 -1 0 0 0 0
2	8	0 -1 0 0 0 1 -1 1 0 -1 1 1 0 0 0 1 -1 0 1 0 0
2	9	0 1 0 1 0 -1 0 -1 0 0 -1 0 0 -1 0 0 1 0 0 1 0
2	10	0 0 0 0 0 -1 -1 0 0 1 0 0 0 0 0 0 0 1 0 0 0
2	11	-1 -1 1 0 0 0 0 1 -1 -1 0 0 0 0 0 0 0 0 1 0 0
2	12	0 0 0 1 0 0 0 0 0 0 0 1 0 -1 0 1 0 0 0 0 0
2	13	-1 -1 1 0 0 1 -1 0 0 0 1 0 1 -1 -1 0 0 0 1 0 1
2	14	-1 0 1 1 1 0 1 1 -1 -1 -1 0 0 -1 0 0 0 0 -1 1 0
2	15	0 1 -1 -1 0 0 -1 -1 1 0 0 0 0 -1 0 0 1 1 0 0 1
2	16	0 -1 -1 0 2 0 -1 2 0 -2 1 1 1 0 -1 2 -1 0 0 -1 1
